"subagency","type","obligation"
"Office of the Inspector General","contract",55733.09
"Office of the National Coordinator for Health Information Technology","grant",-13027
"Office of the National Coordinator for Health Information Technology","contract",0
"Office of the National Drug Control Policy","grant",26804837.64
"Office of the National Drug Control Policy","contract",0
"Office of the Secretary","grant",0
"Office of the Secretary","contract",1400
"Office of the Under Secretary for Management","grant",0
"Office of the Under Secretary for Management","contract",2815864.68
"Office of the Under Secretary for Science and Technology","grant",0
"Office of the Under Secretary for Science and Technology","contract",32600089.41
"Office of Workers Compensation Program","grant",0
"Office of Workers Compensation Program","contract",-11532
"Offices, Boards and Divisions","grant",30599282.15
"Offices, Boards and Divisions","contract",557152.68
"Peace Corps","grant",0
"Peace Corps","contract",1233419.72
"Pension Benefit Guaranty Corporation","grant",0
"Pension Benefit Guaranty Corporation","contract",28152
"Pipeline and Hazardous Materials Safety Administration","grant",5693856.16
"Pipeline and Hazardous Materials Safety Administration","contract",950272
"President's Committee on Employment of the Handicapped","grant",2006453
"President's Committee on Employment of the Handicapped","contract",2828861
"Public Buildings Service","grant",0
"Public Buildings Service","contract",614523.02
"Risk Management Agency","grant",0
"Risk Management Agency","contract",81250
"Rural Business Cooperative Service","grant",8704753
"Rural Business Cooperative Service","contract",0
"Rural Housing Service","grant",4754803
"Rural Housing Service","contract",254162
"Rural Utilities Service","grant",14173607
"Rural Utilities Service","contract",0
"Securities and Exchange Commission","grant",42538
"Securities and Exchange Commission","contract",1333595
"Small Business Administration","grant",118212631.67
"Small Business Administration","contract",424731.92
"Smithsonian Institution","grant",0
"Smithsonian Institution","contract",2508035.31
"Social Security Administration","grant",7270190.9
"Social Security Administration","contract",4327583
"Substance Abuse and Mental Health Services Administration","grant",126627367
"Substance Abuse and Mental Health Services Administration","contract",7675625
"The Council of the Inspectors General on Integrity and Efficiency","grant",0
"The Council of the Inspectors General on Integrity and Efficiency","contract",509000
"Transportation Security Administration","grant",0
"Transportation Security Administration","contract",9016603.09
"U.S. Army Corps of Engineers - Civil Program Financing Only","grant",0
"U.S. Army Corps of Engineers - Civil Program Financing Only","contract",4852558.15
"U.S. Census Bureau","grant",499874
"U.S. Census Bureau","contract",309983.13
"U.S. Citizenship and Immigration Services","grant",0
"U.S. Citizenship and Immigration Services","contract",151095
"U.S. Coast Guard","grant",0
"U.S. Coast Guard","contract",2832912.62
"U.S. Customs and Border Protection","grant",0
"U.S. Customs and Border Protection","contract",21492974.36
"U.S. Fish and Wildlife Service","grant",20301896.51
"U.S. Fish and Wildlife Service","contract",1772462.89
"U.S. Geological Survey","grant",89769843.69
"U.S. Geological Survey","contract",5053188.43
"U.S. Immigration and Customs Enforcement","grant",0
"U.S. Immigration and Customs Enforcement","contract",735569.52
"U.S. Marshals Service","grant",0
"U.S. Marshals Service","contract",157683
"U.S. Secret Service","grant",0
"U.S. Secret Service","contract",2759467.42
"U.S. Special Operations Command","grant",0
"U.S. Special Operations Command","contract",17604074.75
"Under Secretary for Benefits/Veterans Benefits Administration","grant",39977
"Under Secretary for Benefits/Veterans Benefits Administration","contract",0
"Under Secretary for Health/Veterans Health Administration","grant",2173460.11
"Under Secretary for Health/Veterans Health Administration","contract",0
"Uniformed Services University of the Health Sciences","grant",4351861
"Uniformed Services University of the Health Sciences","contract",2708876.06
"United States Chemical Safety Board","grant",0
"United States Chemical Safety Board","contract",10300
"Veterans Employment and Training Services","grant",6704.68
"Veterans Employment and Training Services","contract",70299
"Washington Headquarters Services","grant",30016507
"Washington Headquarters Services","contract",1414730.4
