Recipient,INST_TYPE_1,INST_TYPE_2,total_awards,grants,contracts,student_aid,Total_Federal_Investment
Belmont University,Private not-for-profit, 4-year or above,0,0,0,99384556.5,99384556.5
Beloit College,Private not-for-profit, 4-year or above,0,924201,0,8090904,9015105
Bemidji State University,Public, 4-year or above,0,1809190,0,27492699,29301889
Ben Franklin Career Center,Public, less-than 2-year,0,0,0,239519,239519
Benedict College,Private not-for-profit, 4-year or above,-288.75,6013010,-288.75,30233186,36245907.2
Benedictine College,Private not-for-profit, 4-year or above,0,0,0,14540012.1,14540012.1
Benedictine University,Private not-for-profit, 4-year or above,0,-91474,0,48229779,48138305
Benjamin Franklin Institute of Technology,Private not-for-profit, 4-year or above,0,449595,0,4311012,4760607
Bennett College,Private not-for-profit, 4-year or above,0,4059326,0,5498339.4,9557665.4
Bennington College,Private not-for-profit, 4-year or above,10000,339374,10000,4613337,4962711
Bentley University,Private not-for-profit, 4-year or above,9190,384155.76,9190,27113601,27506946.8
Berea College,Private not-for-profit, 4-year or above,0,43210709,0,8032815,51243524
Bergen Community College,Public, 2-year,0,2235599,0,37303174,39538773
Bergin University of Canine Studies,Private not-for-profit, 4-year or above,0,0,0,202913,202913
Berkeley City College,Public, 2-year,0,0,0,6434740.2,6434740.2
Berklee College of Music,Private not-for-profit, 4-year or above,0,25000,0,55846142,55871142
Berks Career & Technology Center,Public, less-than 2-year,0,0,0,124144,124144
Berkshire Community College,Public, 2-year,0,646757,0,5629526.4,6276283.4
Berry College,Private not-for-profit, 4-year or above,0,784813,0,12905548,13690361
Bet Medrash Gadol Ateret Torah,Private not-for-profit, 4-year or above,0,0,0,428045,428045
Beth Hamedrash Shaarei Yosher Institute,Private not-for-profit, 4-year or above,0,0,0,177630,177630
Beth Hatalmud Rabbinical College,Private not-for-profit, 4-year or above,0,0,0,58968,58968
Beth Medrash Govoha,Private not-for-profit, 4-year or above,0,0,0,10227471,10227471
Beth Medrash Meor Yitzchok,Private not-for-profit, 4-year or above,0,0,0,405810,405810
Beth Medrash of Asbury Park,Private not-for-profit, 4-year or above,0,0,0,188533,188533
Bethany College,Private not-for-profit, 4-year or above,0,0,0,7991423,7991423
Bethany College,Private not-for-profit, 4-year or above,0,0,0,6392297,6392297
Bethany Global University,Private not-for-profit, 4-year or above,0,0,0,1988608.5,1988608.5
Bethany Lutheran College,Private not-for-profit, 4-year or above,0,0,0,3349533,3349533
Bethany Theological Seminary,Private not-for-profit, 4-year or above,0,0,0,94347,94347
Bethel College,Private not-for-profit, 4-year or above,0,0,0,267239,267239
Bethel College-Indiana,Private not-for-profit, 4-year or above,0,0,0,12303755.2,12303755.2
Bethel College-North Newton,Private not-for-profit, 4-year or above,0,0,0,4346268,4346268
Bethel University,Private not-for-profit, 4-year or above,0,71160,0,33329196,33400356
Bethel University,Private not-for-profit, 4-year or above,0,0,0,49919581.9,49919581.9
