"activity","activity_plain","sub_activity","sub_activity_plain","fiscal_year","revenue","cpi_auc_start","cpi_auc_end","inflation_rate","revenue_adjusted","percent_total","revenue_source","revenue_source_url","cpi_source","cpi_source_url"
"Excise Taxes","Excise Taxes","Airport and Airway Trust Fund Refunds","Airport and Airway Trust Fund Refunds",2014,-16340801,238.031,252.439,1.06052993097538,-17329909,-0.02,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Excise Taxes","Excise Taxes","Highway Trust Fund","Highway Trust Fund",2014,39049228537,238.031,252.439,1.06052993097538,41412875645,41.82,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Excise Taxes","Excise Taxes","Highway Trust Fund Refunds","Highway Trust Fund Refunds",2014,0,238.031,252.439,1.06052993097538,0,0,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Excise Taxes","Excise Taxes","Black Lung Disability Trust Fund","Black Lung Disability Trust Fund",2014,579168738,238.031,252.439,1.06052993097538,614225781,0.62,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Estate and Gift Taxes","Estate and Gift Taxes","","",2014,19300322255,238.031,252.439,1.06052993097538,20468569429,0.64,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Estate and Gift Taxes","Estate and Gift Taxes","Estate and Gift Taxes Refunds","Estate and Gift Taxes Refunds",2014,-854633175,238.031,252.439,1.06052993097538,-906364063,-4.43,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Estate and Gift Taxes","Estate and Gift Taxes","Estate and Gift Taxes","Estate and Gift Taxes",2014,20154955431,238.031,252.439,1.06052993097538,21374933492,104.43,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Customs Duties","Customs Duties","","",2014,33925821867,238.031,252.439,1.06052993097538,35979349523,1.12,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Customs Duties","Customs Duties","Customs Duties Refunds","Customs Duties Refunds",2014,-1422998182,238.031,252.439,1.06052993097538,-1509132164,-4.19,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Customs Duties","Customs Duties","Customs Duties","Customs Duties",2014,35348820050,238.031,252.439,1.06052993097538,37488481688,104.19,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
