"activity","activity_plain","sub_activity","sub_activity_plain","fiscal_year","revenue","cpi_auc_start","cpi_auc_end","inflation_rate","revenue_adjusted","percent_total","revenue_source","revenue_source_url","cpi_source","cpi_source_url"
"Excise Taxes","Excise Taxes","Miscellaneous Excise Taxes Refunds","Miscellaneous Excise Taxes Refunds",2017,-5160104181,246.819,252.439,1.02276972194199,-5277598318,-6.16,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Excise Taxes","Excise Taxes","Airport and Airway Trust Fund","Airport and Airway Trust Fund",2017,14951680921,246.819,252.439,1.02276972194199,15292126538,17.84,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Excise Taxes","Excise Taxes","Airport and Airway Trust Fund Refunds","Airport and Airway Trust Fund Refunds",2017,-14800679,246.819,252.439,1.02276972194199,-15137686,-0.02,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Excise Taxes","Excise Taxes","Highway Trust Fund","Highway Trust Fund",2017,41558485850,246.819,252.439,1.02276972194199,42504761017,49.58,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Excise Taxes","Excise Taxes","Highway Trust Fund Refunds","Highway Trust Fund Refunds",2017,-431744000,246.819,252.439,1.02276972194199,-441574690,-0.52,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Excise Taxes","Excise Taxes","Black Lung Disability Trust Fund","Black Lung Disability Trust Fund",2017,425321372,246.819,252.439,1.02276972194199,435005821,0.51,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Estate and Gift Taxes","Estate and Gift Taxes","","",2017,22767709579,246.819,252.439,1.02276972194199,23286123996,0.69,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Estate and Gift Taxes","Estate and Gift Taxes","Estate and Gift Taxes Refunds","Estate and Gift Taxes Refunds",2017,-1012733995,246.819,252.439,1.02276972194199,-1035793666,-4.45,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Estate and Gift Taxes","Estate and Gift Taxes","Estate and Gift Taxes","Estate and Gift Taxes",2017,23780443575,246.819,252.439,1.02276972194199,24321917662,104.45,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Customs Duties","Customs Duties","","",2017,34575150111,246.819,252.439,1.02276972194199,35362416665,1.04,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Customs Duties","Customs Duties","Customs Duties Refunds","Customs Duties Refunds",2017,-1684687144,246.819,252.439,1.02276972194199,-1723047002,-4.87,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Customs Duties","Customs Duties","Customs Duties","Customs Duties",2017,36259837256,246.819,252.439,1.02276972194199,37085463668,104.87,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Miscellaneous Receipts","Miscellaneous Revenue","","",2017,127666088630,246.819,252.439,1.02276972194199,130573009970,3.85,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Miscellaneous Receipts","Miscellaneous Revenue","Miscellaneous Receipts Refunds","Miscellaneous Receipts Refunds",2017,-49939319,246.819,252.439,1.02276972194199,-51076423,-0.04,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Miscellaneous Receipts","Miscellaneous Revenue","Deposit of Earnings, Federal Reserve System","Federal Reserve Deposit of Earnings",2017,81287184039,246.819,252.439,1.02276972194199,83138070617,63.67,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Miscellaneous Receipts","Miscellaneous Revenue","Universal Service Fund","Universal Service Fund",2017,9154213022,246.819,252.439,1.02276972194199,9362651907,7.17,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Miscellaneous Receipts","Miscellaneous Revenue","Other Miscellaneous Receipts","Other Miscellaneous Revenue",2017,37274630887,246.819,252.439,1.02276972194199,38123363868,29.2,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Individual Income Taxes","Individual Income Taxes","","",2018,1683537216744,252.439,252.439,1,1683537216744,50.58,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Individual Income Taxes","Individual Income Taxes","Individual Income Taxes Refunds","Individual Income Taxes Refunds",2018,-268125461950,252.439,252.439,1,-268125461950,-15.93,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Individual Income Taxes","Individual Income Taxes","Individual Income Taxes Withheld","Individual Income Taxes Withheld",2018,1325106232590,252.439,252.439,1,1325106232590,78.71,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Individual Income Taxes","Individual Income Taxes","Presidential Election Campaign Fund","Presidential Election Campaign Fund",2018,25843086,252.439,252.439,1,25843086,0,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Individual Income Taxes","Individual Income Taxes","Other Individual Income Taxes","Other Individual Income Taxes",2018,626530603018,252.439,252.439,1,626530603018,37.22,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Corporation Income Taxes","Corporate Income Taxes","","",2018,204733303759,252.439,252.439,1,204733303759,6.15,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Corporation Income Taxes","Corporate Income Taxes","Corporation Income Taxes Refunds","Corporate Income Taxes Refunds",2018,-58434188302,252.439,252.439,1,-58434188302,-28.54,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Corporation Income Taxes","Corporate Income Taxes","Corporation Income Taxes","Corporate Income Taxes",2018,263167492061,252.439,252.439,1,263167492061,128.54,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Employment and General Retirement","Social Security and Medicare Taxes","","",2018,1115405956031,252.439,252.439,1,1115405956031,33.51,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Employment and General Retirement","Social Security and Medicare Taxes","Federal Old-Age and Survivors Insurance Trust Fund","Social Security - Old-Age and Survivors Insurance Trust Fund Taxes",2018,693831030508,252.439,252.439,1,693831030508,61.89,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Employment and General Retirement","Social Security and Medicare Taxes","Federal Old-Age and Survivors Insurance Trust Fund Refunds","Social Security - Old-Age and Survivors Insurance Trust Fund Taxes Refunds",2018,-2615773850,252.439,252.439,1,-2615773850,-0.23,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Employment and General Retirement","Social Security and Medicare Taxes","Federal Disability Insurance Trust Fund","Social Security - Disability Insurance Trust Fund Taxes",2018,164149758351,252.439,252.439,1,164149758351,14.64,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Employment and General Retirement","Social Security and Medicare Taxes","Federal Disability Insurance Trust Fund Refunds","Social Security - Disability Insurance Trust Fund Taxes Refunds",2018,-618084150,252.439,252.439,1,-618084150,-0.06,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Employment and General Retirement","Social Security and Medicare Taxes","Federal Hospital Insurance Trust Fund","Medicare Part A Taxes",2018,260659025171,252.439,252.439,1,260659025171,23.25,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Employment and General Retirement","Other Retirement","Railroad Retirement","Railroad Retirement",2018,5753160813,252.439,252.439,1,5753160813,0.51,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Employment and General Retirement","Other Retirement","Railroad Retirement Refunds","Railroad Retirement Refunds",2018,-4143918,252.439,252.439,1,-4143918,0,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Unemployment Insurance","Unemployment Insurance","","",2018,45041614844,252.439,252.439,1,45041614844,1.35,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Unemployment Insurance","Unemployment Insurance","Deposits by States","Deposits by States",2018,36221878722,252.439,252.439,1,36221878722,80.42,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Unemployment Insurance","Unemployment Insurance","Federal Unemployment Taxes","Federal Unemployment Taxes",2018,8806552587,252.439,252.439,1,8806552587,19.55,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Unemployment Insurance","Unemployment Insurance","Federal Unemployment Taxes Refunds","Federal Unemployment Taxes Refunds",2018,-120631588,252.439,252.439,1,-120631588,-0.27,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Unemployment Insurance","Unemployment Insurance","Railroad Unemployment Taxes","Railroad Unemployment Taxes",2018,133815122,252.439,252.439,1,133815122,0.3,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Other Retirement","Other Retirement","","",2018,10251841223,252.439,252.439,1,10251841223,0.31,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Other Retirement","Other Retirement","Federal Employees' Retirement - Employee Share","Federal Government Pension: FERS",2018,4471710154,252.439,252.439,1,4471710154,99.31,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Other Retirement","Other Retirement","Non-Federal Federal Employees' Retirement","Non-Federal Federal Employees' Retirement",2018,31114174,252.439,252.439,1,31114174,0.69,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Excise Taxes","Excise Taxes","","",2018,94988171025,252.439,252.439,1,94988171025,2.85,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Excise Taxes","Excise Taxes","Miscellaneous Excise Taxes","Miscellaneous Excise Taxes",2018,39649721543,252.439,252.439,1,39649721543,41.74,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Excise Taxes","Excise Taxes","Miscellaneous Excise Taxes Refunds","Miscellaneous Excise Taxes Refunds",2018,-3115532253,252.439,252.439,1,-3115532253,-3.28,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Excise Taxes","Excise Taxes","Airport and Airway Trust Fund","Airport and Airway Trust Fund",2018,15531904106,252.439,252.439,1,15531904106,16.35,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Excise Taxes","Excise Taxes","Airport and Airway Trust Fund Refunds","Airport and Airway Trust Fund Refunds",2018,-15353485,252.439,252.439,1,-15353485,-0.02,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Excise Taxes","Excise Taxes","Highway Trust Fund","Highway Trust Fund",2018,42979507983,252.439,252.439,1,42979507983,45.25,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Excise Taxes","Excise Taxes","Highway Trust Fund Refunds","Highway Trust Fund Refunds",2018,-436754000,252.439,252.439,1,-436754000,-0.46,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Excise Taxes","Excise Taxes","Black Lung Disability Trust Fund","Black Lung Disability Trust Fund",2018,394677130,252.439,252.439,1,394677130,0.42,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Estate and Gift Taxes","Estate and Gift Taxes","","",2018,22983076198,252.439,252.439,1,22983076198,0.69,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Estate and Gift Taxes","Estate and Gift Taxes","Estate and Gift Taxes Refunds","Estate and Gift Taxes Refunds",2018,-882592720,252.439,252.439,1,-882592720,-3.84,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Estate and Gift Taxes","Estate and Gift Taxes","Estate and Gift Taxes","Estate and Gift Taxes",2018,23865668919,252.439,252.439,1,23865668919,103.84,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Customs Duties","Customs Duties","","",2018,41298963821,252.439,252.439,1,41298963821,1.24,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Customs Duties","Customs Duties","Customs Duties Refunds","Customs Duties Refunds",2018,-1797302386,252.439,252.439,1,-1797302386,-4.35,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Customs Duties","Customs Duties","Customs Duties","Customs Duties",2018,43096266208,252.439,252.439,1,43096266208,104.35,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Miscellaneous Receipts","Miscellaneous Revenue","","",2018,110505101069,252.439,252.439,1,110505101069,3.32,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Miscellaneous Receipts","Miscellaneous Revenue","Miscellaneous Receipts Refunds","Miscellaneous Receipts Refunds",2018,-25693572,252.439,252.439,1,-25693572,-0.02,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Miscellaneous Receipts","Miscellaneous Revenue","Deposit of Earnings, Federal Reserve System","Federal Reserve Deposit of Earnings",2018,70749918052,252.439,252.439,1,70749918052,64.02,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Miscellaneous Receipts","Miscellaneous Revenue","Universal Service Fund","Universal Service Fund",2018,9396053384,252.439,252.439,1,9396053384,8.5,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Miscellaneous Receipts","Miscellaneous Revenue","Other Miscellaneous Receipts","Other Miscellaneous Revenue",2018,30384823204,252.439,252.439,1,30384823204,27.5,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
