activity,activity_plain,sub_activity,sub_activity_plain,fiscal_year,income,cpi_auc_start,cpi_auc_end,inflation_rate,income_adjusted,percent_total,income_url,cpi_url
Unemployment Insurance,Unemployment Insurance,Federal Unemployment Taxes,Federal Unemployment Taxes,2017,8284000000.00,246.819,246.819,1,8280000000,18.08,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Unemployment Insurance,Unemployment Insurance,Federal Unemployment Taxes Refunds,Federal Unemployment Taxes Refunds,2017,-154000000.00,246.819,246.819,1,-154000000,-0.34,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Unemployment Insurance,Unemployment Insurance,Railroad Unemployment Taxes,Railroad Unemployment Taxes,2017,126000000.00,246.819,246.819,1,126000000,0.28,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Other Retirement,Other Retirement,,,2017,4191000000.00,246.819,246.819,1,4190000000,0.13,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Other Retirement,Other Retirement,Federal Employees' Retirement - Employee Share,Government Pension: FERS,2017,4157000000.00,246.819,246.819,1,4160000000,99.19,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Other Retirement,Other Retirement,Non-Federal Employees' Retirement,Civil Service Retirement Fund,2017,34000000.00,246.819,246.819,1,34000000,0.81,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,,,2017,83822000000.00,246.819,246.819,1,83800000000,2.53,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,Miscellaneous Excise Taxes,Other Excise Taxes,2017,32494000000.00,246.819,246.819,1,32500000000,38.77,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,Miscellaneous Excise Taxes Refunds,Other Excise Taxes Refunds,2017,-5160000000.00,246.819,246.819,1,-5160000000,-6.16,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,Airport and Airway Trust Fund,Airport and Airway Trust Fund,2017,14952000000.00,246.819,246.819,1,15000000000,17.84,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,Airport and Airway Trust Fund Refunds,Airport and Airway Trust Fund Refunds,2017,-15000000.00,246.819,246.819,1,-15000000,-0.02,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,Highway Trust Fund,Highway Trust Fund,2017,41558000000.00,246.819,246.819,1,41600000000,49.58,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,Highway Trust Fund Refunds,Highway Trust Fund Refunds,2017,-432000000.00,246.819,246.819,1,-432000000,-0.52,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,Black Lung Disability Trust Fund,Black Lung Disability Trust Fund,2017,425000000.00,246.819,246.819,1,425000000,0.51,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Estate and Gift Taxes,Estate and Gift Taxes,,,2017,22768000000.00,246.819,246.819,1,22800000000,0.69,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Estate and Gift Taxes,Estate and Gift Taxes,Estate and Gift Taxes,Estate and Gift Taxes,2017,23780000000.00,246.819,246.819,1,23800000000,104.45,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Estate and Gift Taxes,Estate and Gift Taxes,Estate and Gift Taxes Refunds,Estate and Gift Taxes Refunds,2017,-1013000000.00,246.819,246.819,1,-1010000000,-4.45,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Customs Duties,Customs Duties,,,2017,34575000000.00,246.819,246.819,1,34600000000,1.04,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Customs Duties,Customs Duties,Customs Duties,Customs Duties,2017,36260000000.00,246.819,246.819,1,36300000000,104.87,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Customs Duties,Customs Duties,Customs Duties Refunds,Customs Duties Refunds,2017,-1685000000.00,246.819,246.819,1,-1690000000,-4.87,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Miscellaneous Receipts,Income from Non-Tax Sources,,,2017,127666000000.00,246.819,246.819,1,1.28E+11,3.85,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Miscellaneous Receipts,Income from Non-Tax Sources,"Deposit of Earnings, Federal Reserve System",Federal Reserve Deposit of Earnings,2017,81287000000.00,246.819,246.819,1,81300000000,63.67,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Miscellaneous Receipts,Income from Non-Tax Sources,Universal Service Fund,Universal Service Fund,2017,9154000000.00,246.819,246.819,1,9150000000,7.17,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Miscellaneous Receipts,Income from Non-Tax Sources,Other Miscellaneous Receipts,Other Income from Non-Tax Sources,2017,37275000000.00,246.819,246.819,1,37300000000,29.2,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Miscellaneous Receipts,Income from Non-Tax Sources,Miscellaneous Receipts Refunds,Refunds on Income from Non-Tax Sources,2017,-50000000.00,246.819,246.819,1,-50000000,-0.04,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
