activity,activity_plain,sub_activity,sub_activity_plain,fiscal_year,income,cpi_auc_start,cpi_auc_end,inflation_rate,income_adjusted,percent_total,income_url,cpi_url
Individual Income Taxes,Individual Income Taxes,Presidential Election Campaign Fund,Presidential Election Campaign Fund,2014,30000000.00,238.031,246.819,1.036919561,31000000,0,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Individual Income Taxes,Individual Income Taxes,Other Individual Income Taxes,Other Individual Income Taxes,2014,476562000000.00,238.031,246.819,1.036919561,4.94E+11,34.17,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Individual Income Taxes,Individual Income Taxes,Individual Income Taxes Refunds,Individual Income Taxes Refunds,2014,-231733000000.00,238.031,246.819,1.036919561,-2.4E+11,-16.62,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Corporation Income Taxes,Corporate Income Taxes,,,2014,320731000000.00,238.031,246.819,1.036919561,3.33E+11,10.62,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Corporation Income Taxes,Corporate Income Taxes,Corporation Income Taxes,Corporate Income Taxes,2014,353553000000.00,238.031,246.819,1.036919561,3.67E+11,110.23,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Corporation Income Taxes,Corporate Income Taxes,Corporation Income Taxes Refunds,Corporate Income Taxes Refunds,2014,-32822000000.00,238.031,246.819,1.036919561,-34000000000,-10.23,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",,,2014,965067000000.00,238.031,246.819,1.036919561,1E+12,31.95,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Federal Old-Age and Survivors Insurance Trust Fund,Social Security: OASI,2014,630986000000.00,238.031,246.819,1.036919561,6.54E+11,65.38,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Federal Old-Age and Survivors Insurance Trust Fund Refunds,Social Security OASI Refunds,2014,-2162000000.00,238.031,246.819,1.036919561,-2240000000,-0.22,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Federal Disability Insurance Trust Fund,Social Security: DI,2014,107145000000.00,238.031,246.819,1.036919561,1.11E+11,11.1,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Federal Disability Insurance Trust Fund Refunds,Social Security DI Refunds,2014,-367000000.00,238.031,246.819,1.036919561,-381000000,-0.04,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Federal Hospital Insurance Trust Fund,Medicare Part A,2014,224107000000.00,238.031,246.819,1.036919561,2.32E+11,23.22,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Railroad Retirement,Railroad Retirement,2014,5373000000.00,238.031,246.819,1.036919561,5570000000,0.56,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Railroad Retirement Refunds,Railroad Retirement Refunds,2014,-16000000.00,238.031,246.819,1.036919561,-17000000,0,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Unemployment Insurance,Unemployment Insurance,,,2014,55394000000.00,238.031,246.819,1.036919561,57400000000,1.83,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Unemployment Insurance,Unemployment Insurance,Deposits by States,Deposits by States,2014,46889000000.00,238.031,246.819,1.036919561,48600000000,84.65,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Unemployment Insurance,Unemployment Insurance,Federal Unemployment Taxes,Federal Unemployment Taxes,2014,8612000000.00,238.031,246.819,1.036919561,8930000000,15.55,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Unemployment Insurance,Unemployment Insurance,Federal Unemployment Taxes Refunds,Federal Unemployment Taxes Refunds,2014,-142000000.00,238.031,246.819,1.036919561,-147000000,-0.26,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Unemployment Insurance,Unemployment Insurance,Railroad Unemployment Taxes,Railroad Unemployment Taxes,2014,35000000.00,238.031,246.819,1.036919561,36000000,0.06,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Other Retirement,Other Retirement,,,2014,3472000000.00,238.031,246.819,1.036919561,3600000000,0.11,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Other Retirement,Other Retirement,Federal Employees' Retirement - Employee Share,Government Pension: FERS,2014,3446000000.00,238.031,246.819,1.036919561,3570000000,99.25,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Other Retirement,Other Retirement,Non-Federal Employees' Retirement,Civil Service Retirement Fund,2014,26000000.00,238.031,246.819,1.036919561,27000000,0.75,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,,,2014,93368000000.00,238.031,246.819,1.036919561,96800000000,3.09,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,Miscellaneous Excise Taxes,Other Excise Taxes,2014,44715000000.00,238.031,246.819,1.036919561,46400000000,47.89,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,Miscellaneous Excise Taxes Refunds,Other Excise Taxes Refunds,2014,-4405000000.00,238.031,246.819,1.036919561,-4570000000,-4.72,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,Airport and Airway Trust Fund,Airport and Airway Trust Fund,2014,13466000000.00,238.031,246.819,1.036919561,14000000000,14.42,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,Airport and Airway Trust Fund Refunds,Airport and Airway Trust Fund Refunds,2014,-16000000.00,238.031,246.819,1.036919561,-17000000,-0.02,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,Highway Trust Fund,Highway Trust Fund,2014,39035000000.00,238.031,246.819,1.036919561,40500000000,41.81,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,Highway Trust Fund Refunds,Highway Trust Fund Refunds,2014,0.00,238.031,246.819,1.036919561,0,0,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
