"parent","parent_plain","child","child_plain","fiscal_year","federal_revenue","cpi_auc_start","cpi_auc_end","inflation_rate","federal_revenue_adjusted","percent_total","federal_revenue_source_url","federal_revenue_source_url_name","cpi_source_url","cpi_source_url_name"
"Excise Taxes","Excise Taxes","Airport and Airway Trust Fund Refunds","Airport and Airway Trust Fund Refunds",2015,-19052057,237.945,256.759,1.07906869234487,-20558478,-0.02,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Excise Taxes","Excise Taxes","Highway Trust Fund","Highway Trust Fund",2015,38131980757,237.945,256.759,1.07906869234487,41147026612,38.8,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Excise Taxes","Excise Taxes","Highway Trust Fund Refunds","Highway Trust Fund Refunds",2015,0,237.945,256.759,1.07906869234487,0,0,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Excise Taxes","Excise Taxes","Black Lung Disability Trust Fund","Black Lung Disability Trust Fund",2015,546452932,237.945,256.759,1.07906869234487,589660251,0.56,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Estate and Gift Taxes","Estate and Gift Taxes","","",2015,19231606071,237.945,256.759,1.07906869234487,20752224015,0.59,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Estate and Gift Taxes","Estate and Gift Taxes","Estate and Gift Taxes Refunds","Estate and Gift Taxes Refunds",2015,-810433029,237.945,256.759,1.07906869234487,-874512909,-4.21,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Estate and Gift Taxes","Estate and Gift Taxes","Estate and Gift Taxes","Estate and Gift Taxes",2015,20042039101,237.945,256.759,1.07906869234487,21626736924,104.21,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Customs Duties","Customs Duties","","",2015,35041196205,237.945,256.759,1.07906869234487,37811857767,1.08,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Customs Duties","Customs Duties","Customs Duties Refunds","Customs Duties Refunds",2015,-2664712690,237.945,256.759,1.07906869234487,-2875408038,-7.6,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Customs Duties","Customs Duties","Customs Duties","Customs Duties",2015,37705908895,237.945,256.759,1.07906869234487,40687265805,107.6,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Miscellaneous Receipts","Miscellaneous Revenue","","",2015,146294446260,237.945,256.759,1.07906869234487,157861756824,4.5,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Miscellaneous Receipts","Miscellaneous Revenue","Miscellaneous Receipts Refunds","Miscellaneous Receipts Refunds",2015,-33518203,237.945,256.759,1.07906869234487,-36168444,-0.02,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Miscellaneous Receipts","Miscellaneous Revenue","Deposit of Earnings, Federal Reserve System","Federal Reserve Deposit of Earnings",2015,96467554322,237.945,256.759,1.07906869234487,104095117696,65.94,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Miscellaneous Receipts","Miscellaneous Revenue","Universal Service Fund","Universal Service Fund",2015,9556277793,237.945,256.759,1.07906869234487,10311880182,6.53,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Miscellaneous Receipts","Miscellaneous Revenue","Other Miscellaneous Receipts","Other Miscellaneous Revenue",2015,40304132349,237.945,256.759,1.07906869234487,43490927390,27.55,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Individual Income Taxes","Individual Income Taxes","","",2016,1546074928108,241.428,256.759,1.06350133373097,1644252748091,47.33,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Individual Income Taxes","Individual Income Taxes","Individual Income Taxes Refunds","Individual Income Taxes Refunds",2016,-251285655185,241.428,256.759,1.06350133373097,-267242629436,-16.25,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Individual Income Taxes","Individual Income Taxes","Individual Income Taxes Withheld","Individual Income Taxes Withheld",2016,1245698622742,241.428,256.759,1.06350133373097,1324802146713,80.57,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Individual Income Taxes","Individual Income Taxes","Presidential Election Campaign Fund","Presidential Election Campaign Fund",2016,28616487,241.428,256.759,1.06350133373097,30433672,0,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
