"opeid","school","subsidized13","unsubsidized13","parent13","grad_plus13","grants13","perkins13","FSEOG13","FWS13","subsidized14","unsubsidized14","parent14","grad_plus14","grants14","perkins14","FSEOG14","FWS14","subsidized15","unsubsidized15","parent15","grad_plus15","grants15","perkins15","FSEOG15","FWS15","subsidized16","unsubsidized16","parent16","grad_plus16","grants16","perkins16","FSEOG16","FWS16","subsidized17","unsubsidized17","parent17","grad_plus17","grants17","perkins17","FSEOG17","FWS17"
"00104000","SOUTHERN UNION STATE COMMUNITY COLLEGE",3653683,2810995,103574,0,10532597,137539,NA,143977,3440537,2769980,70693,0,10062501,96154,NA,103712,3021491,2406532,81593,0,9769668.16,101457,NA,114052,3034621,2895475,86159,0,8889635.1,98537,NA,120538,2923755,3296552,108124,0,8728424.69,NA,122859,100714
"00104100","SPRING HILL COLLEGE",2893247,4202538,2179612,0,1794858,183729,204000,141323,2756568,3898088,2139793,0,1730671,173171,244123,141323,3046675,4186308,2606902,0,2130924.19,223800,221726,141323,2986686,3746396,3914878,0,2036842.16,224066,278222,151104,3067938,3575918,3862264,0,2265492.65,170313,170784,177778
"00104400","STILLMAN COLLEGE",3212888,3609300,1108082,0,3193530,204184,NA,314865,3092495,3568849,974976,0,3167073,160076,NA,352041,2869169,3055941,1165902,0,3033561.65,162675,NA,349672,2335287,2280170,1053182,0,3221647.38,219843,NA,291914,2230371,2190014,1083520,0,2598951.34,NA,307199,187082
"00104600","TALLADEGA COLLEGE",1958629,2121437,119531,0,3075222,130542,NA,330174,2909044,3223234,389018,0,3543866,171012,NA,269606,2584745,2551478,412358,0,3375758,144746,NA,337656,2972137,2769723,1400943,0,3683401.74,162608,NA,321995,2582521,2508563,681028,0,3144165.21,NA,362507,122095
"00104700","TROY UNIVERSITY",38499087,99926029,3161457,835311,33017598,1165936,353924,896153,32501438,86814117,3766964,1040098,27671990,739840,471095,490711,29009906,77471399,4524930,1812632,26354975,815890,152178,949772,26919267,70370709,6690416,1977679,24204823,930656,169309,961366,26053549,64249559,7875586,1873591,23470851.16,NA,769232,811184
"00105000","TUSKEGEE UNIVERSITY",8188360,20994239,7422779,4363549,7350111,762598,533482,1177400,8121529,20946753,8134500,5985331,7409601,886357,1742883,1188664,7859840,20380275,10952969,7496489,6731851.06,947812,1643625,1282739,7544051,18803488,14539499,7771431,6794607.61,713872,1692249,1173515,7149704,18268090,16479335,7880782,6754740.12,1363226,1323316,700959
"00105100","UNIVERSITY OF ALABAMA",40237898,80332620,47525097,5473934,24973584,1271133,1891962,1205827,40880958,80701702,53290056,5348704,26067806,1207258,1870483,1203567,41097712,79589140,64034034,5452136,26519884.5,1355621,1775758,1136751,41225769,76487510,78376989,5773040,25781746.61,1395904,1619708,1153122,41574870,76244333,88803418,5716527,26449596.15,2288175,1307852,1281844
"00105200","UNIVERSITY OF ALABAMA AT BIRMINGHAM",21695745,92440965,4406094,7634988,17180589,1267472,2065474,708107,21781139,97479768,5887965,9530266,17587560,1215412,1721203,851838,21342314,101937476,7510042,12558279,17760709,1276038,1921821,784650,22791885,98522382,10487611,14690167,18768807.43,1401901,1494849,744520,23814601,110700964,11353884,19544455,20730341.96,2047501,851000,1102395
"00105500","UNIVERSITY OF ALABAMA IN HUNTSVILLE",10036752,16564731,1982929,173584,7414150,199013,NA,178372,9854286,16670815,2134010,152354,7524708,212487,NA,154896,8916180,16698935,2473843,230333,7482974.03,202224,NA,195585,8964759,17282192,3571348,238153,7696090.86,152270,NA,221643,9541643,18180096,4326659,310242,8074182,NA,183428,241508
"00105700","UNIVERSITY OF SOUTH ALABAMA",23679643,69696429,9338475,3674557,19278367,197316,627811,562561,23680903,74400933,13100593,4759474,19889382,382537,558000,535976,23061859,75874694,16899216,5923351,20322274.67,329675,642000,590807,22363264,78545153,21416813,9995779,20049065.19,277393,557500,605433,21875846,75554179,23734158,9786537,19692331,423000,642437,323353
"00106000","JAMES H. FAULKNER STATE COMMUNITY COLLEGE",4875868,4526539,101276,0,9310619,78535,NA,105810,4904020,5221924,144460,0,9568120,131165,NA,98684,4366914,5089953,255061,0,11666493.35,144941,NA,89900,NA,NA,NA,NA,NA,143201,NA,96848,NA,NA,NA,NA,NA,NA,118745,126875
"00569700","NORTHWEST - SHOALS COMMUNITY COLLEGE",2790874,2367572,0,0,7678680,120317,NA,67734,3677150,2765763,7470,0,10094805,102656,NA,61052,3604936,3387421,17741,0,8199635,99633,NA,64314,2793859,3392394,9950,0,7206303,91599,NA,92757,2356751,2560472,8528,0,6464048,NA,118426,94732
"00787100","GEORGE C. WALLACE STATE COMMUNITY COLLEGE",7820591,7264118,82080,0,NA,185382,NA,243391,NA,NA,NA,NA,NA,166906,NA,162407,NA,NA,NA,NA,NA,120890,NA,147979,NA,NA,NA,NA,NA,111502,NA,138510,NA,NA,NA,NA,NA,NA,94500,111873
"00831000","AUBURN UNIVERSITY MONTGOMERY",8376759,16743070,832032,125199,7348092,130411,345832,150162,9001671,16333037,1095610,110319,7961668,128315,490409,136735,8606738,15054100,1526208,131687,8170908,147525,374056,152332,8669205,14041569,2277882,146317,8012567,158054,432596,233713,8625545,13632621,2315842,218581,8631152,420000,186525,134165
"01055400","CONCORDIA COLLEGE ALABAMA",2136109,2083277,117220,0,2627265,31031,NA,52124,1671599,1934938,123750,0,2166500,28072,NA,49420,1525793,1798049,214791,0,2116546.68,33988,NA,47640,1307192,1624725,462037,0,1685050.86,33988,NA,47043,1124617,1188202,271024,0,1414475.18,NA,52025,31031
"01218200","CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE",1242786,1161049,21335,0,5246422,77515,NA,38700,1609883,1583547,9674,0,5410773,64262,NA,23100,1665855,1558658,3000,0,4980549,66624,NA,38840,1614585,1673663,0,0,4205182.99,68225,NA,46200,1192358,1285655,0,0,3558053.93,NA,38900,59886
"02170600","UNITED STATES SPORTS ACADEMY",424361,5141111,0,110180,271296,NA,NA,36000,394903,4452721,0,68020,258201,NA,NA,35500,335083,3314193,5215,104725,232970,NA,NA,36000,338132,3006022,0,103200,253957,NA,NA,36000,232523,2110608,6561,167060,172482,NA,25750,NA
"02199700","HERITAGE CHRISTIAN UNIVERSITY",118836,116820,0,0,113915,6895,NA,7392,100339,30355,0,0,151722,5611,NA,6670,85100,28646,0,0,136440,7909,NA,7392,53233,6063,0,0,115780.22,5004,NA,7392,19087,5302,0,0,102924,NA,7392,4871
"02270400","SOUTHEASTERN BIBLE COLLEGE",597882,716690,60224,0,523062,13212,NA,14457,524417,684208,65030,0,465581,12842,NA,8320,461181,595868,41306,0,400666.5,12842,NA,11503,445459,583020,80818,0,376890.33,12842,NA,11632,230709,295253,62966,0,193189.67,NA,8656,9632
"02285000","PAUL MITCHELL THE SCHOOL HUNTSVILLE",344675,482645,73894,0,347284,NA,NA,NA,399618,568169,87317,0,406765,NA,NA,NA,281280,410221,63024,0,319355,NA,NA,NA,280698,369834,63468,0,265105.84,NA,NA,NA,276803,345966,68969,0,289508.98,NA,NA,NA
