"Recipient","INST_TYPE_1","INST_TYPE_2","total_awards","grants","contracts","student_aid","Total_Federal_Investment"
"Notre Dame of Maryland University","Private not-for-profit"," 4-year or above",0,0,0,18109444.97,18109445
"Nova Southeastern University","Private not-for-profit"," 4-year or above",17171961.75,16569832.98,602128.77,553078685.28,570250647.1
"NTMA Training Centers of Southern California","Private not-for-profit"," less-than 2-year",0,0,0,2609714.57,2609714.6
"Nunez Community College","Public"," 2-year",0,0,0,11195519.74,11195519.7
"Nyack College","Private not-for-profit"," 4-year or above",0,0,0,19573362.71,19573362.7
"O C Collins Career Center","Public"," 2-year",49641,49641,0,5176948,5226589
"O'More College of Design","Private not-for-profit"," 4-year or above",0,0,0,720476,720476
"Oak Hills Christian College","Private not-for-profit"," 4-year or above",0,0,0,530013.43,530013.4
"Oakland City University","Private not-for-profit"," 4-year or above",949325,949325,0,4344473,5293798
"Oakland Community College","Public"," 2-year",0,0,0,28412621.12,28412621.1
"Oakland University","Public"," 4-year or above",5440788.44,5231520,209268.44,130012249.56,135453038
"Oakton Community College","Public"," 2-year",472270,472270,0,6962426,7434696
"Oakwood University","Private not-for-profit"," 4-year or above",3713875,3713875,0,17565387.3,21279262.3
"Oberlin College","Private not-for-profit"," 4-year or above",1272927,1272927,0,10909168,12182095
"Oblate School of Theology","Private not-for-profit"," 4-year or above",0,0,0,12742,12742
"Occidental College","Private not-for-profit"," 4-year or above",1935313.18,1935313.18,0,11064751,13000064.18
"Ocean County College","Public"," 2-year",1511462,1511462,0,19343363.14,20854825.1
"Ocean County Vocational-Technical School","Public"," less-than 2-year",0,0,0,1301674.5,1301674.5
"Oconee Fall Line Technical College","Public"," 2-year",1374185,1374185,0,3331143.7,4705328.7
"Odessa College","Public"," 2-year",0,0,0,8474218.85,8474218.8
"Ogden-Weber Applied Technology College","Public"," less-than 2-year",0,0,0,1293307.38,1293307.4
"Ogeechee Technical College","Public"," 2-year",99999,99999,0,4793871.31,4893870.3
"Oglala Lakota College","Public"," 4-year or above",21046113.17,21046113.17,0,3772974,24819087.17
"Oglethorpe University","Private not-for-profit"," 4-year or above",0,0,0,8851037.28,8851037.3
"Ohio Christian University","Private not-for-profit"," 4-year or above",0,0,0,41213683,41213683
"Ohio Dominican University","Private not-for-profit"," 4-year or above",0,0,0,16515850,16515850
"Ohio Institute of Allied Health","Private not-for-profit"," less-than 2-year",0,0,0,361234,361234
"Ohio Northern University","Private not-for-profit"," 4-year or above",2374327,2374327,0,26958968,29333295
"Ohio State University","Public"," 4-year or above",340976399.84,323013542.43,17962857.41,378127012,719103411.8
"Ohio Technical Center at Vantage Career Center","Public"," less-than 2-year",0,0,0,99346.08,99346.1
"Ohio University","Public"," 4-year or above",18311320.35,18109320.35,202000,248276901.59,266588222
"Ohio Valley University","Private not-for-profit"," 4-year or above",495534,495534,0,3319017,3814551
"Ohio Wesleyan University","Private not-for-profit"," 4-year or above",470348,470348,0,12143247,12613595
"Ohlone College","Public"," 2-year",0,0,0,5975947.19,5975947.2
"Ohr Hameir Theological Seminary","Private not-for-profit"," 4-year or above",0,0,0,464757,464757
"Okaloosa Technical College","Public"," 2-year",3639335.43,3639335.43,0,845367.29,4484702.73
"Oklahoma Baptist University","Private not-for-profit"," 4-year or above",0,0,0,13334470.35,13334470.4
"Oklahoma Christian University","Private not-for-profit"," 4-year or above",0,0,0,13258090.77,13258090.8
"Oklahoma City Community College","Public"," 2-year",1044539,1044539,0,26820857,27865396
"Oklahoma City University","Private not-for-profit"," 4-year or above",225000,225000,0,33327791,33552791
"Oklahoma Panhandle State University","Public"," 4-year or above",328125,328125,0,5288279.26,5616404.3
"Oklahoma State University","Public"," 4-year or above",65132991.76,62073478.83,3059512.93,160277857.46,225410849.3
"Oklahoma Wesleyan University","Private not-for-profit"," 4-year or above",0,0,0,13110600,13110600
"Old Dominion University","Public"," 4-year or above",27614929.63,25850720.39,1764209.24,160251567.46,187866497.1
"Olivet College","Private not-for-profit"," 4-year or above",0,0,0,13414207,13414207
"Olivet Nazarene University","Private not-for-profit"," 4-year or above",5000,5000,0,38615309.72,38620309.7
"Olney Central College","Public"," 2-year",2047165.88,2047165.88,0,2511111,4558276.88
"Olympic College","Public"," 4-year or above",2475320.18,334468.29,2140851.89,9902134.5,12377454.68
"Onondaga Community College","Public"," 2-year",1703312.81,1703312.81,0,29581107.68,31284420.51
"Opportunities Industrialization Center","Private not-for-profit"," less-than 2-year",0,0,0,129177,129177
"Oral Roberts University","Private not-for-profit"," 4-year or above",0,0,0,31665223.14,31665223.1
"Orange County Community College","Public"," 2-year",242136,242136,0,15204590.22,15446726.2
"Orange Technical College-Mid Florida Campus","Public"," 2-year",0,0,0,1073057,1073057
"Orange Technical College-Orlando Campus","Public"," 2-year",0,0,0,814206,814206
"Orange Technical College-Westside Campus","Public"," 2-year",0,0,0,693835.2,693835.2
"Orange Technical College-Winter Park Campus","Public"," less-than 2-year",0,0,0,569356,569356
"Orange Ulster BOCES-Practical Nursing Program","Public"," less-than 2-year",32997,0,32997,699388,732385
"Orangeburg Calhoun Technical College","Public"," 2-year",996816,996816,0,7782196.18,8779012.2
"Oregon College of Art and Craft","Private not-for-profit"," 4-year or above",0,0,0,1688424,1688424
"Oregon College of Oriental Medicine","Private not-for-profit"," 4-year or above",0,0,0,9335768,9335768
"Oregon Health & Science University","Public"," 4-year or above",290519175.16,274533850.46,15985324.7,49109042,339628217.2
"Oregon Institute of Technology","Public"," 4-year or above",3231801.27,3231801.27,0,20961681.94,24193483.17
"Oregon State University","Public"," 4-year or above",202450004.69,195993392.06,6456612.63,157143603.88,359593608.6
"Orleans Niagara BOCES-Practical Nursing Program","Public"," less-than 2-year",0,0,0,496641.61,496641.6
"Orleans Technical College","Private not-for-profit"," 2-year",610283,539984,70299,2657612.41,3267895.4
"Otero Junior College","Public"," 2-year",6991632,6991632,0,4066735.24,11058367.2
"Otis College of Art and Design","Private not-for-profit"," 4-year or above",0,0,0,13410601.9,13410601.9
"Otsego Area BOCES-Practical Nursing Program","Public"," less-than 2-year",499926,499926,0,313860.46,813786.5
"Otterbein University","Private not-for-profit"," 4-year or above",12442.71,15000,-2557.29,23310959,23323401.71
"Ouachita Baptist University","Private not-for-profit"," 4-year or above",1681188.84,1681188.84,0,9402198,11083386.84
"Our Lady of the Lake College","Private not-for-profit"," 4-year or above",93732.27,93732.27,0,17319143.92,17412876.17
"Our Lady of the Lake University","Private not-for-profit"," 4-year or above",1018938,1018938,0,45137813.47,46156751.5
"Owens Community College","Public"," 2-year",235084,235084,0,29351693.48,29586777.5
"Owensboro Community and Technical College","Public"," 2-year",765307,765307,0,9214888.07,9980195.1
"Oxford Graduate School","Private not-for-profit"," 4-year or above",0,0,0,180085,180085
"Oxnard College","Public"," 2-year",2284603,2284603,0,10915774,13200377
"Ozark Christian College","Private not-for-profit"," 4-year or above",0,0,0,2815449,2815449
"Ozarka College","Public"," 2-year",306436,306436,0,4292278.63,4598714.6
"Ozarks Technical Community College","Public"," 2-year",166075.56,166075.56,0,45921741.33,46087816.86
"Pace University-New York","Private not-for-profit"," 4-year or above",7116427,7116427,0,137876431,144992858
"Pacific Lutheran University","Private not-for-profit"," 4-year or above",930358,930358,0,25518923.12,26449281.1
"Pacific Northwest College of Art","Private not-for-profit"," 4-year or above",9000,9000,0,6753664,6762664
"Pacific Northwest University of Health Sciences","Private not-for-profit"," 4-year or above",1013368.92,740688,272680.92,26030631,27043999.92
"Pacific Oaks College","Private not-for-profit"," 4-year or above",0,0,0,22308524,22308524
"Pacific School of Religion","Private not-for-profit"," 4-year or above",0,0,0,1274693,1274693
"Pacific Union College","Private not-for-profit"," 4-year or above",20390,20390,0,11017273.02,11037663
"Pacific University","Private not-for-profit"," 4-year or above",810129.23,708996,101133.23,89636203,90446332.23
"Paine College","Private not-for-profit"," 4-year or above",2716218,2716218,0,4616582,7332800
"Palm Beach Atlantic University","Private not-for-profit"," 4-year or above",0,0,0,37177852,37177852
"Palm Beach State College","Public"," 4-year or above",1846316.25,1846316.25,0,69331537.77,71177854.05
"Palmer College of Chiropractic","Private not-for-profit"," 4-year or above",965520,965520,0,93353105,94318625
"Palo Alto College","Public"," 2-year",2857540.38,2857540.38,0,17345222.6,20202762.98
"Palo Alto University","Private not-for-profit"," 4-year or above",0,0,0,35006484,35006484
"Palo Verde College","Public"," 2-year",0,0,0,757251.89,757251.9
"Palomar College","Public"," 2-year",4906178.35,4906178.35,0,16815938.83,21722117.15
"Pamlico Community College","Public"," 2-year",0,0,0,356990.94,356990.9
"Panola College","Public"," 2-year",0,0,0,8446802.24,8446802.2
"Paradise Valley Community College","Public"," 2-year",0,0,0,9784000,9784000
"Pardee RAND Graduate School","Private not-for-profit"," 4-year or above",325577191.11,61512305.33,264064885.78,69185,325646376.1
"Paris Junior College","Public"," 2-year",1136072.26,1136072.26,0,6083336,7219408.26
"Park University","Private not-for-profit"," 4-year or above",0,0,0,58158961,58158961
"Parker University","Private not-for-profit"," 4-year or above",0,0,0,51671023.27,51671023.3
"Parkland College","Public"," 2-year",1052165,1052165,0,17156764.45,18208929.4
"Pasadena City College","Public"," 2-year",4247821.96,4247821.96,0,36197803.26,40445625.26
"Pasco-Hernando State College","Public"," 4-year or above",0,0,0,26681743.09,26681743.1
"Passaic County Community College","Public"," 2-year",3248224.09,3248224.09,0,14844392.12,18092616.19
"Patrick Henry Community College","Public"," 2-year",1204250.03,1204250.03,0,3895538.78,5099788.83
"Paul D Camp Community College","Public"," 2-year",608673,608673,0,2581231.87,3189904.9
"Paul Quinn College","Private not-for-profit"," 4-year or above",2624311,2624311,0,4957683.41,7581994.4
"Paul Smiths College of Arts and Science","Private not-for-profit"," 4-year or above",559781,559781,0,9132599,9692380
"Pawnee Nation College",NA,NA,489024,489024,0,0,489024
"Payne Theological Seminary","Private not-for-profit"," 4-year or above",0,0,0,1772302,1772302
"Pearl River Community College","Public"," 2-year",331370,331370,0,21292049,21623419
"Peirce College","Private not-for-profit"," 4-year or above",0,0,0,13181513.72,13181513.7
"Pellissippi State Community College","Public"," 2-year",1961750.99,1961750.99,0,18506050,20467800.99
"Peninsula College","Public"," 4-year or above",763526,763526,0,4966311.25,5729837.2
"Pennsylvania Academy of the Fine Arts","Private not-for-profit"," 4-year or above",0,0,0,3408875,3408875
"Pennsylvania College of Art and Design","Private not-for-profit"," 4-year or above",0,0,0,2822661,2822661
"Pennsylvania College of Health Sciences","Private not-for-profit"," 4-year or above",0,0,0,9818703,9818703
"Pennsylvania College of Technology","Public"," 4-year or above",191760,194235,-2475,52431182,52622942
"Pennsylvania Highlands Community College","Public"," 2-year",0,0,0,5965609,5965609
"Pennsylvania Institute of Technology","Private not-for-profit"," 2-year",346845,346845,0,5694707.31,6041552.3
"Pennsylvania State University","Public"," 4-year or above",535370720.32,318893423.41,216477296.91,627422667,1162793387
"Pensacola State College","Public"," 4-year or above",2154968.69,1936484.1,218484.59,21790111.55,23945080.29
"Penta County Joint Vocational School","Public"," less-than 2-year",0,0,0,149759.5,149759.5
"Pentecostal Theological Seminary","Private not-for-profit"," 4-year or above",0,0,0,2146473,2146473
"Pepperdine University","Private not-for-profit"," 4-year or above",1459235,1459235,0,130185056.4,131644291.4
"Perry Technical Institute","Private not-for-profit"," 2-year",0,0,0,9508344,9508344
"Peru State College","Public"," 4-year or above",306003,306003,0,12468903,12774906
"Pfeiffer University","Private not-for-profit"," 4-year or above",1742817,1742817,0,13968470.22,15711287.2
"Philadelphia College of Osteopathic Medicine","Private not-for-profit"," 4-year or above",1664884.08,557092,1107792.08,96301259,97966143.08
"Philadelphia Technician Training","Private not-for-profit"," less-than 2-year",0,0,0,5558831,5558831
"Philander Smith College","Private not-for-profit"," 4-year or above",2756838,2756838,0,12616354,15373192
"Phillips Community College of the University of Arkansas","Public"," 2-year",1554355,1554355,0,2709359.51,4263714.5
"Phillips School of Nursing at Mount Sinai Beth Israel","Private not-for-profit"," 4-year or above",0,0,0,1376813,1376813
"Phillips Theological Seminary","Private not-for-profit"," 4-year or above",0,0,0,648611,648611
"Phoenix College","Public"," 2-year",600713.46,600713.46,0,22577702,23178415.46
"Phoenix Seminary","Private not-for-profit"," 4-year or above",0,0,0,164646,164646
"Pickaway Ross Joint Vocational School District","Public"," less-than 2-year",0,0,0,995656.1,995656.1
"Pickens Technical College","Public"," 2-year",0,0,0,1045137,1045137
"Piedmont College","Private not-for-profit"," 4-year or above",0,0,0,27173297,27173297
"Piedmont Community College","Public"," 2-year",1326498,1326498,0,1674293.77,3000791.8
"Piedmont International University","Private not-for-profit"," 4-year or above",0,0,0,3826986,3826986
"Piedmont Technical College","Public"," 2-year",1911894,1911894,0,23770096.54,25681990.5
"Piedmont Virginia Community College","Public"," 2-year",0,0,0,7128870.86,7128870.9
"Pierce College","Public"," 4-year or above",829510,829510,0,23961313.99,24790824
"Pike-Lincoln Technical Center","Public"," less-than 2-year",0,0,0,186778,186778
"Pikes Peak Community College","Public"," 2-year",1074381.14,1074381.14,0,32485543,33559924.14
"Pillar College","Private not-for-profit"," 4-year or above",0,0,0,6117416.27,6117416.3
"Pima Community College","Public"," 2-year",6433048.33,6103841.61,329206.72,39727989.03,46161037.33
"Pine Technical & Community College","Public"," 2-year",-327480.98,-327480.98,0,3792557.18,3465076.22
"Pinellas Technical College-Clearwater","Public"," 2-year",0,0,0,1447301.06,1447301.1
"Pinellas Technical College-St. Petersburg","Public"," 2-year",225560.63,227489.33,-1928.7,2343501.32,2569061.93
"Pioneer Career and Technology Center","Public"," less-than 2-year",0,0,0,9869,9869
"Pioneer Technology Center","Public"," less-than 2-year",0,0,0,308429,308429
"Pitt Community College","Public"," 2-year",957499,957499,0,28400190.04,29357689
"Pittsburg State University","Public"," 4-year or above",1863872,1863872,0,35434537.15,37298409.2
"Pittsburgh Institute of Aeronautics","Private not-for-profit"," 2-year",0,0,0,5043262,5043262
"Pittsburgh Institute of Mortuary Science Inc","Private not-for-profit"," 2-year",0,0,0,2230006.09,2230006.1
"Pittsburgh Theological Seminary","Private not-for-profit"," 4-year or above",0,0,0,548826,548826
"Pittsburgh's Ohio Valley Hospital School of Nursing","Private not-for-profit"," less-than 2-year",0,0,0,225011.6,225011.6
"Pitzer College","Private not-for-profit"," 4-year or above",0,0,0,4210084,4210084
"Plymouth State University","Public"," 4-year or above",1833841,1833841,0,41265736.34,43099577.3
"Point Loma Nazarene University","Private not-for-profit"," 4-year or above",92510,0,92510,45195197,45287707
"Point Park University","Private not-for-profit"," 4-year or above",0,0,0,42846451.18,42846451.2
"Point University","Private not-for-profit"," 4-year or above",0,0,0,11260546.29,11260546.3
"Polaris Career Center","Public"," less-than 2-year",0,0,0,1394628.36,1394628.4
"Polk State College","Public"," 4-year or above",1095978.55,1095978.55,0,24107310.74,25203289.25
"Pomeroy College of Nursing at Crouse Hospital","Private not-for-profit"," 2-year",0,0,0,2033830.24,2033830.2
"Pomona College","Private not-for-profit"," 4-year or above",589951,589951,0,3942998,4532949
"Pomona Unified School District Adult and Career Education","Public"," less-than 2-year",0,0,0,400780,400780
"Pontifical Catholic University of Puerto Rico-Ponce","Private not-for-profit"," 4-year or above",2345627.67,2345627.67,0,109954525.74,112300153.4
"Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies","Private not-for-profit"," 4-year or above",0,0,0,69815,69815
"Pontifical John Paul II Institute for Studies on Marriage and Family","Private not-for-profit"," 4-year or above",0,0,0,180912,180912
"Pontotoc Technology Center","Public"," less-than 2-year",0,0,0,260498.1,260498.1
"Pope St John XXIII National Seminary","Private not-for-profit"," 4-year or above",0,0,0,26850,26850
"Poplar Bluff Technical Career Center","Public"," less-than 2-year",0,0,0,178389,178389
"Portage Lakes Career Center","Public"," less-than 2-year",0,0,0,627603.5,627603.5
"Portland Actors Conservatory","Private not-for-profit"," 2-year",0,0,0,129058,129058
"Portland Community College","Public"," 2-year",2291475,2291475,0,81648860.25,83940335.2
"Portland State University","Public"," 4-year or above",29265780.38,28161827.88,1103952.5,161519512.59,190785293
"Prairie State College","Public"," 2-year",1679796.71,1679796.71,0,11705654.94,13385451.61
"Prairie View A & M University","Public"," 4-year or above",13655420.26,13655420.26,0,89006871.57,102662291.9
"Pratt Community College","Public"," 2-year",0,0,0,2861770,2861770
"Pratt Institute-Main","Private not-for-profit"," 4-year or above",134010,134010,0,57258037,57392047
"Precision Manufacturing Institute","Private not-for-profit"," less-than 2-year",0,0,0,345063,345063
"Presbyterian College","Private not-for-profit"," 4-year or above",0,0,0,17568024,17568024
"Prescott College","Private not-for-profit"," 4-year or above",876000,876000,0,8784218,9660218
"Presentation College","Private not-for-profit"," 4-year or above",0,0,0,7016788.27,7016788.3
"Presidio Graduate School","Private not-for-profit"," 4-year or above",0,0,0,1864316,1864316
"Prince George's Community College","Public"," 2-year",1255605.56,1255605.56,0,30673177.93,31928783.46
"Princeton University","Private not-for-profit"," 4-year or above",293436915.79,168304975.58,125131940.21,7570542,301007457.8
"Providence Christian College","Private not-for-profit"," 4-year or above",0,0,0,1509151,1509151
"Providence College","Private not-for-profit"," 4-year or above",423331.14,423331.14,0,28042671,28466002.14
"Pueblo Community College","Public"," 4-year or above",2251080.02,2078722.82,172357.2,18558250,20809330.02
"Pulaski Technical College","Public"," 2-year",1565558.86,1565558.86,0,26944144,28509702.86
"Purdue University-Calumet Campus","Public"," 4-year or above",0,0,0,48987346.82,48987346.8
"Purdue University-Main Campus","Public"," 4-year or above",212705510.72,205282451.39,7423059.33,154840636,367546146.7
"Putnam Career and Technical Center","Public"," less-than 2-year",0,0,0,238627,238627
"Queens University of Charlotte","Private not-for-profit"," 4-year or above",434208,434208,0,22619987.97,23054196
"Quincy College","Public"," 2-year",-26069.75,-26069.75,0,22155289,22129219.25
"Quincy University","Private not-for-profit"," 4-year or above",555447,555447,0,8600171,9155618
"Quinebaug Valley Community College","Public"," 2-year",0,0,0,2177535.77,2177535.8
"Quinnipiac University","Private not-for-profit"," 4-year or above",578339.4,100000,478339.4,114405625.92,114983965.3
"Quinsigamond Community College","Public"," 2-year",1192136,1192136,0,37302721,38494857
"Rabbi Jacob Joseph School","Private not-for-profit"," 4-year or above",0,0,0,169983,169983
"Rabbinical Academy Mesivta Rabbi Chaim Berlin","Private not-for-profit"," 4-year or above",0,0,0,166210,166210
"Rabbinical College Beth Shraga","Private not-for-profit"," 4-year or above",0,0,0,68710,68710
"Rabbinical College Bobover Yeshiva Bnei Zion","Private not-for-profit"," 4-year or above",0,0,0,1418530,1418530
"Rabbinical College of America","Private not-for-profit"," 4-year or above",0,0,0,541285,541285
"Rabbinical College of Long Island","Private not-for-profit"," 4-year or above",0,0,0,319647,319647
"Rabbinical College of Ohr Shimon Yisroel","Private not-for-profit"," 4-year or above",0,0,0,1101490,1101490
"Rabbinical College Ohr Yisroel","Private not-for-profit"," 4-year or above",0,0,0,337110,337110
"Rabbinical College Telshe","Private not-for-profit"," 4-year or above",0,0,0,133042.42,133042.4
"Rabbinical Seminary of America","Private not-for-profit"," 4-year or above",0,0,0,222125,222125
"Radford M Locklin Technical Center","Public"," 2-year",0,0,0,413060.83,413060.8
"Radford University","Public"," 4-year or above",6457118.23,6457118.23,0,74381397.43,80838515.63
"Rainy River Community College","Public"," 2-year",0,0,0,748273,748273
"Ramapo College of New Jersey","Public"," 4-year or above",1079912,1079912,0,37975729.46,39055641.5
"Randall University","Private not-for-profit"," 4-year or above",0,0,0,2790021.14,2790021.1
"Randolph College","Private not-for-profit"," 4-year or above",0,0,0,6422644,6422644
"Randolph Community College","Public"," 2-year",0,0,0,4716202.95,4716203
"Randolph Technical Center","Public"," less-than 2-year",0,0,0,63550,63550
"Randolph-Macon College","Private not-for-profit"," 4-year or above",13000,13000,0,12437033,12450033
"Ranger College","Public"," 2-year",325027,325027,0,6152233.53,6477260.5
"Ranken Technical College","Private not-for-profit"," 4-year or above",0,0,0,14001078,14001078
"Rappahannock Community College","Public"," 2-year",323189,323189,0,2941976.13,3265165.1
"Raritan Valley Community College","Public"," 2-year",0,0,0,11441496,11441496
"Reading Area Community College","Public"," 2-year",694400,694400,0,19407798.24,20102198.2
"Reading Hospital School of Health Sciences","Private not-for-profit"," 2-year",0,0,0,2317766,2317766
"Reconstructionist Rabbinical College","Private not-for-profit"," 4-year or above",0,0,0,314864,314864
"Red Rocks Community College","Public"," 4-year or above",709213.29,709213.29,0,16040855,16750068.29
"Redlands Community College","Public"," 2-year",1913172.1,1913172.1,0,3527891.43,5441063.5
"Reed College","Private not-for-profit"," 4-year or above",2203192.84,2203192.84,0,6074849,8278041.84
"Reedley College","Public"," 2-year",4397927.71,4397927.71,0,16022906,20420833.71
"Regent University","Private not-for-profit"," 4-year or above",3900,0,3900,116247244.77,116251144.8
"Regional Center for Border Health","Private not-for-profit"," less-than 2-year",114000,114000,0,62752,176752
"Regis College","Private not-for-profit"," 4-year or above",1528971,1528971,0,27153363,28682334
"Regis University","Private not-for-profit"," 4-year or above",178980,178980,0,69618024.55,69797004.5
"Reid State Technical College","Public"," 2-year",0,0,0,824397,824397
"Reinhardt University","Private not-for-profit"," 4-year or above",0,0,0,12554678,12554678
"Relay Graduate School of Education","Private not-for-profit"," 4-year or above",-6086.72,-6086.72,0,4159256,4153169.28
"Rend Lake College","Public"," 2-year",694583.71,694583.71,0,3300738,3995321.71
"Rensselaer Polytechnic Institute","Private not-for-profit"," 4-year or above",37760191.06,37655006.03,105185.03,38215232,75975423.06
"Renton Technical College","Public"," 4-year or above",0,0,0,6237827.24,6237827.2
"Research Foundation of CUNY",NA,NA,2522625.42,2522625.42,0,0,2522625.42
"Resurrection University","Private not-for-profit"," 4-year or above",62442,62442,0,11654001.77,11716443.8
"Rhode Island College","Public"," 4-year or above",2844063,2844063,0,45426754,48270817
"Rhode Island School of Design","Private not-for-profit"," 4-year or above",30000,30000,0,17755982.91,17785982.9
"Rhodes College","Private not-for-profit"," 4-year or above",651390,651390,0,8582064.46,9233454.5
"Rice University","Private not-for-profit"," 4-year or above",77964057.63,77620253.63,343804,18893064,96857121.63
"Richard Bland College of William and Mary","Public"," 2-year",0,0,0,4861526.71,4861526.7
"Richland College","Public"," 2-year",626625.58,626625.58,0,20270856.3,20897481.88
"Richland Community College","Public"," 2-year",308922,308922,0,5262362.08,5571284.1
"Richmond Community College","Public"," 2-year",0,0,0,5257375.55,5257375.5
"Richmont Graduate University","Private not-for-profit"," 4-year or above",0,0,0,3053677,3053677
"Rider University","Private not-for-profit"," 4-year or above",602475,602475,0,43549892.5,44152367.5
"Ridgewater College","Public"," 2-year",253403,253403,0,12753767.44,13007170.4
"Ringling College of Art and Design","Private not-for-profit"," 4-year or above",0,0,0,20541247,20541247
"Rio Hondo College","Public"," 4-year or above",2036445,1321405,715040,18718881,20755326
"Rio Salado College","Public"," 2-year",4363099.27,4363099.27,0,18153653,22516752.27
"Ripon College","Private not-for-profit"," 4-year or above",304657,304657,0,6068278,6372935
"River Parishes Community College","Public"," 2-year",242136,242136,0,8750584.7,8992720.7
"River Valley Community College","Public"," 2-year",-1691528.13,-1691528.13,0,3497907,1806378.87
"Riverland Community College","Public"," 2-year",242133,242133,0,8588349.51,8830482.5
"RIVEROAK Technical College","Public"," 2-year",0,0,0,571945.14,571945.1
"Riverside City College","Public"," 2-year",2367965,2366965,1000,29791310.48,32159275.5
"Riverside College of Health Careers","Private not-for-profit"," 2-year",0,0,0,2491135.68,2491135.7
"Riverside County Office of Education-School of Career Education","Public"," less-than 2-year",0,0,0,339236,339236
"Rivier University","Private not-for-profit"," 4-year or above",897565,897565,0,17551873.11,18449438.1
"Roane State Community College","Public"," 2-year",480502,480502,0,12253835.1,12734337.1
"Roane-Jackson Technical Center","Public"," less-than 2-year",0,0,0,252672,252672
"Roanoke College","Private not-for-profit"," 4-year or above",0,0,0,16550881.33,16550881.3
"Robert Morris University","Private not-for-profit"," 4-year or above",22495,-5,22500,46149415,46171910
"Robert Morris University Illinois","Private not-for-profit"," 4-year or above",1566985,1566985,0,28301321,29868306
"Roberts Wesleyan College","Private not-for-profit"," 4-year or above",0,0,0,19493043,19493043
"Robeson Community College","Public"," 2-year",-276338.1,-276338.1,0,4184950.28,3908612.2
"Rochester College","Private not-for-profit"," 4-year or above",0,0,0,9297069.22,9297069.2
"Rochester Community and Technical College","Public"," 2-year",417563,417563,0,18653260,19070823
"Rochester Institute of Technology","Private not-for-profit"," 4-year or above",24525286.19,24347491.23,177794.96,105421739,129947025.2
"Rockford University","Private not-for-profit"," 4-year or above",0,0,0,10831727,10831727
"Rockhurst University","Private not-for-profit"," 4-year or above",0,0,0,21183979.7,21183979.7
"Rockingham Community College","Public"," 2-year",0,0,0,2465058.39,2465058.4
"Rockland Community College","Public"," 2-year",489934,489934,0,11517800.01,12007734
"Rockland County BOCES-Practical Nursing Program","Public"," less-than 2-year",0,0,0,433237,433237
"Rocky Mountain College","Private not-for-profit"," 4-year or above",320242,320242,0,11509611,11829853
"Roger Williams University","Private not-for-profit"," 4-year or above",1354280,1150630,203650,49977571,51331851
"Rogers State University","Public"," 4-year or above",511735.6,511735.6,0,19337824.82,19849560.4
"Rogue Community College","Public"," 2-year",3988279.45,3988279.45,0,17407374.25,21395653.65
"Rolf Institute of Structural Integration","Private not-for-profit"," less-than 2-year",0,0,0,188447,188447
"Rolla Technical Institute/Center","Public"," 2-year",0,0,0,702373.58,702373.6
"Rollins College","Private not-for-profit"," 4-year or above",630496,630496,0,23910188.66,24540684.7
"Roosevelt University","Private not-for-profit"," 4-year or above",1994442.24,1978330,16112.24,55398700,57393142.24
