"Recipient","INST_TYPE_1","INST_TYPE_2","total_awards","grants","contracts","student_aid","Total_Federal_Investment"
"Saint Paul College","Public"," 2-year",842136,842136,0,26904793.54,27746929.5
"Saint Paul School of Theology","Private not-for-profit"," 4-year or above",0,0,0,471964,471964
"Saint Peter's University","Private not-for-profit"," 4-year or above",2504231,2504231,0,32614994.01,35119225
"Saint Vincent College","Private not-for-profit"," 4-year or above",246592.64,246592.64,0,18767873,19014465.64
"Saint Vladimirs Orthodox Theological Seminary","Private not-for-profit"," 4-year or above",0,0,0,162896,162896
"Saint Xavier University","Private not-for-profit"," 4-year or above",2321869,2321869,0,31278711.65,33600580.7
"Salem College","Private not-for-profit"," 4-year or above",0,0,0,7924319,7924319
"Salem State University","Public"," 4-year or above",1283658,1283658,0,62033531,63317189
"Salina Area Technical College","Public"," 2-year",0,0,0,763376.5,763376.5
"Saline County Career Center","Public"," less-than 2-year",0,0,0,374087,374087
"Salisbury University","Public"," 4-year or above",1769430.8,1769430.8,0,63296114.87,65065545.7
"Salish Kootenai College","Private not-for-profit"," 4-year or above",14802359.99,14778068.79,24291.2,3380886,18183245.99
"Salt Lake Community College","Public"," 2-year",1582418.08,1575788.08,6630,40794778,42377196.08
"Salus University","Private not-for-profit"," 4-year or above",1657253.29,1666926,-9672.71,29832957,31490210.29
"Salve Regina University","Private not-for-profit"," 4-year or above",-11265,-11265,0,21319673,21308408
