"institution","state","type","undergrad_students","grad_students","non-research_grants","research_grants","contracts","subsidized_student_loans","unsubsidized_student_loan","parent_plus","grad_plus","pell_teach_service_grants","perkins_loans_AY17","fseog_AY17","federal_work_study_AY17"
"George Mason University","VA","Public, 4-year or above","22349","10863",18473075.35,37265725.39,43644871.94,43213108,84814175,31453873,11179416,36743286.59,NA,NA,NA
"George Stone Technical Center","FL","Public, 2-year","778","NULL",440660.33,0,0,NA,NA,NA,NA,840191.35,NA,NA,NA
"George Washington University","DC","Private not-for-profit, 4-year or above","10433","15055",16255949.86,125250014.92,6196799.35,15641172,165612197,19737347,90151108,7239976.24,NA,NA,NA
"Georgetown College","KY","Private not-for-profit, 4-year or above","979","380",0,0,0,2117686,6140198,2517414,0,2324288.99,NA,NA,NA
"Georgetown University","DC","Private not-for-profit, 4-year or above","7595","10897",44045525.73,60330813.18,3133867.78,7280410,113013263,9906648,134956079,4591252.39,NA,NA,NA
"Georgia Christian University","GA","Private not-for-profit, 4-year or above","165","86",0,0,0,8250,15625,0,0,19570,NA,NA,NA
"Georgia College and State University","GA","Public, 4-year or above","5927","853",1579799,-2658.07,0,7769324,19375885,5613181,517278,5454141,NA,NA,NA
"Georgia Gwinnett College","GA","Public, 4-year or above","10828","NULL",-0.95,450506,0,17261339,13173469,5587757,0,31801643.24,NA,NA,NA
"Georgia Highlands College","GA","Public, 4-year or above","5358","NULL",0,0,0,3932646,4411262,67258,0,11129213.47,NA,NA,NA
"Georgia Institute of Technology-Main Campus","GA","Public, 4-year or above","14682","9892",38107499.08,166528007.3,400536420.53,14475946,36213804,25286969,8276663,11450574.38,NA,NA,NA
"Georgia Military College","GA","Public, 4-year or above","7221","NULL",448574,0,91072,8437373,7222908,643750,0,12980079.65,NA,NA,NA
"Georgia Northwestern Technical College","GA","Public, 2-year","5816","NULL",493626,0,0,1105869,819692,0,0,10126370.56,NA,NA,NA
