"institution","state","type","undergrad_students","grad_students","non-research_grants","research_grants","contracts","subsidized_student_loans","unsubsidized_student_loan","parent_plus","grad_plus","pell_teach_service_grants","perkins_loans_AY17","fseog_AY17","federal_work_study_AY17"
"Marymount California University","CA","Private not-for-profit, 4-year or above","1086","40",0,0,0,1822826,1616559,2484141,108556,1923050,NA,NA,NA
"Marymount Manhattan College","NY","Private not-for-profit, 4-year or above","1858","NULL",0,0,0,3826134,3080653,14343120,0,2549056.41,NA,NA,NA
"Marymount University","VA","Private not-for-profit, 4-year or above","2363","1040",542554,109597,0,4360572,15274403,7944973,4900316,2892937.95,NA,NA,NA
"Maryville College","TN","Private not-for-profit, 4-year or above","1213","NULL",0,0,0,2818387,2649992,2526720,0,2240262,NA,NA,NA
"Maryville University of Saint Louis","MO","Private not-for-profit, 4-year or above","2818","3619",0,0,0,7762986,86724969,6980565,12378899,4376246.98,NA,NA,NA
"Marywood University","PA","Private not-for-profit, 4-year or above","1875","1077",0,0,0,4921550,18621608,5140068,2644091,2770153.72,NA,NA,NA
"Massachusetts Bay Community College","MA","Public, 2-year","5369","NULL",434452,0,0,1406427,1400116,49135,0,4680641,NA,NA,NA
"Massachusetts College of Liberal Arts","MA","Public, 4-year or above","1562","184",659028,0,0,3563440,3493890,1156911,0,2866937.02,193660,69119,320043
"Massachusetts Institute of Technology","MA","Private not-for-profit, 4-year or above","4512","6804",41544951.91,318296764.94,1053512253.69,874855,8021972,3400296,5933550,3798731,1968864,2500079,2308490
"Massachusetts Maritime Academy","MA","Public, 4-year or above","1401","103",88000,0,438383.32,3355151,4037774,2362844,0,1169785.5,NA,NA,NA
"Massachusetts School of Law","MA","Private not-for-profit, 4-year or above","NULL","363",0,0,0,0,4308444,0,1491622,NA,NA,NA,NA
"Massasoit Community College","MA","Public, 2-year","7905","NULL",309835,0,0,2327332,3097094,0,0,9794741.25,NA,NA,NA
"Mayland Community College","NC","Public, 2-year","973","NULL",284863.02,0,0,NA,NA,NA,NA,1357421.45,NA,NA,NA
"Mayo Clinic School of Medicine","MN","Private not-for-profit, 4-year or above","NULL","218",37011608,192048291,25463654.43,254994,8037829,7600,2520243,62307.27,NA,NA,NA
"Maysville Community and Technical College","KY","Public, 2-year","3478","NULL",703865,0,0,2927592,2628096,4750,0,7513953.11,NA,NA,NA
"Mayville State University","ND","Public, 4-year or above","1056","19",3440619,0,0,1677294,2331015,223288,0,1314406,NA,NA,NA
"McDaniel College","MD","Private not-for-profit, 4-year or above","1667","1336",-359.49,14219,0,3435416,5214800,3729280,102180,2190576.44,NA,NA,NA
"McDowell Technical Community College","NC","Public, 2-year","1056","NULL",-1751,0,0,NA,NA,NA,NA,1415925.45,NA,NA,NA
"McHenry County College","IL","Public, 2-year","6567","NULL",378884,650000,0,647447,950644,1804,0,5945123.86,NA,44200,65781
"McKendree University","IL","Private not-for-profit, 4-year or above","2521","659",0,0,0,3827258,7181403,4415682,0,3064880.68,1000,157837,347419
"McLennan Community College","TX","Public, 2-year","8294","NULL",543085,222274,0,6096231,5035144,107171,0,16587665.29,NA,NA,NA
"McMurry University","TX","Private not-for-profit, 4-year or above","1003","2",750000,0,0,2606960,2730773,1941647,0,2578192,109996,159210,304565
"McNeese State University","LA","Public, 4-year or above","7484","767",354848,-3505,0,8177786,13785036,1110783,0,10553924.39,NA,NA,NA
"McPherson College","KS","Private not-for-profit, 4-year or above","619","34",0,0,0,1825268,1648229,1703040,0,1223749,NA,NA,NA
"MCPHS University","MA","Private not-for-profit, 4-year or above","4027","3127",1772574,377550,0,11233620,70027488,15376419,35803542,5385354,NA,NA,NA
"Meadville Lombard Theological School","IL","Private not-for-profit, 4-year or above","NULL","98",0,0,0,0,343090,0,127720,NA,NA,NA,NA
"Medaille College","NY","Private not-for-profit, 4-year or above","1914","585",1672743,0,0,3938839,16053502,1408054,1419251,5383066.47,NA,NA,NA
"Medical College of Wisconsin","WI","Private not-for-profit, 4-year or above","NULL","1217",19913769,86835809,9184417.55,0,31855836,0,10892462,NA,NA,NA,NA
"Medical University of South Carolina","SC","Public, 4-year or above","293","2668",25106094,116904830,9117486.96,1043766,51608219,654984,29317847,229469.67,1408637,19467,426070
"Meharry Medical College","TN","Private not-for-profit, 4-year or above","NULL","829",21629683,13857558,619769.4,0,17087919,0,17752815,NA,NA,NA,NA
"Memorial Hospital School of Radiation Therapy Technology","NY","Private not-for-profit, 2-year","15","NULL",0,0,-30000,15937,6000,0,0,7340,NA,NA,NA
"Memphis College of Art","TN","Private not-for-profit, 4-year or above","368","52",0,0,0,655461,697817,999564,13763,601071,NA,NA,NA
"Mendocino College","CA","Public, 2-year","3769","NULL",1335875,0,0,393977,541485,9000,0,4743944,NA,NA,NA
"Menlo College","CA","Private not-for-profit, 4-year or above","794","NULL",447151,0,0,1375676,1090321,2223534,0,1033059,NA,NA,NA
"Merced College","CA","Public, 2-year","10196","NULL",375000,0,0,NA,NA,NA,NA,17636256.19,NA,NA,NA
"Mercer County Career Center","PA","Public, less-than 2-year","47","NULL",0,0,0,62695,62163,0,0,71462,NA,NA,NA
"Mercer County Community College","NJ","Public, 2-year","7839","NULL",1272690,0,0,1025301,1245925,0,0,8657297.52,NA,NA,NA
"Mercer County Technical Education Center","WV","Public, 2-year","213","NULL",0,0,0,NA,NA,NA,NA,316287,NA,NA,NA
"Mercer University","GA","Private not-for-profit, 4-year or above","4570","3933",2710723.95,1516241,597029.78,10139439,79810147,5605790,24972642,7742318.07,NA,NA,NA
"Mercy College","NY","Private not-for-profit, 4-year or above","7939","3279",1333893,1700023,0,14681567,42482837,5944006,9733961,17122107.85,NA,NA,NA
"Mercy College of Health Sciences","IA","Private not-for-profit, 4-year or above","774","NULL",327658,0,0,2162735,2556246,580355,0,1499069,NA,NA,NA
"Mercy College of Ohio","OH","Private not-for-profit, 4-year or above","1197","NULL",279104,0,0,3199682,4849201,955861,0,2252423.95,NA,NA,NA
"Mercy Hospital School of Nursing","PA","Private not-for-profit, 2-year","160","NULL",0,0,82099.48,439563,629084,75569,0,290012.21,NA,NA,NA
"Mercy-St Luke's School of Radiologic Technology","IA","Private not-for-profit, 2-year","23","NULL",0,0,0,36532,42577,0,0,19536,NA,NA,NA
"Mercyhurst University","PA","Private not-for-profit, 4-year or above","2564","315",7799705.12,0,0,7250109,10676314,6533868,1067877,5036917.5,NA,NA,NA
"Meredith College","NC","Private not-for-profit, 4-year or above","1645","270",0,0,0,3998528,5713074,6354731,97454,2377408,NA,NA,NA
"Meridian Community College","MS","Public, 2-year","3390","NULL",0,0,0,792126,925615,29235,0,6893859.97,NA,NA,NA
"Meridian Technology Center","OK","Public, 2-year","873","NULL",0,0,0,NA,NA,NA,NA,382238.82,NA,NA,NA
"Merkaz Bnos-Business School","NY","Private not-for-profit, 2-year","182","NULL",0,0,0,NA,NA,NA,NA,912732,NA,NA,NA
"Merrimack College","MA","Private not-for-profit, 4-year or above","3033","453",28427,181778,0,8549948,13192755,10335834,244787,3122296,NA,NA,NA
"Merritt College","CA","Public, 2-year","6055","NULL",0,0,0,353475,416804,0,0,5409729.1,NA,NA,NA
"Mesa Community College","AZ","Public, 2-year","22711","NULL",18126.18,0,0,7810033,3070063,188453,0,21648006.36,NA,NA,NA
"Mesabi Range College","MN","Public, 2-year","1265","NULL",550310,0,0,1058577,1264742,150293,0,1773890.3,NA,138197,138324
"Mesalands Community College","NM","Public, 2-year","769","NULL",0,0,0,68112,32661,2000,0,753290,NA,NA,NA
"Mesivta of Eastern Parkway-Yeshiva Zichron Meilech","NY","Private not-for-profit, 4-year or above","34","2",0,0,0,NA,NA,NA,NA,165185,NA,NA,NA
"Mesivta Torah Vodaath Rabbinical Seminary","NY","Private not-for-profit, 4-year or above","276","74",0,0,0,NA,NA,NA,NA,1008575.54,NA,NA,NA
"Mesivtha Tifereth Jerusalem of America","NY","Private not-for-profit, 4-year or above","45","23",0,0,0,NA,NA,NA,NA,109540,NA,NA,NA
"Messenger College","TX","Private not-for-profit, 4-year or above","168","NULL",0,0,0,177749,187152,17000,0,149656,NA,9531,8532
"Messiah College","PA","Private not-for-profit, 4-year or above","2789","483",0,17838,0,6308526,10760042,4821471,417693,2372138,NA,NA,NA
"Methodist College","IL","Private not-for-profit, 4-year or above","595","3",0,0,622691.35,2828590,3736311,652494,0,1579925.3,NA,NA,NA
"Methodist Theological School in Ohio","OH","Private not-for-profit, 4-year or above","NULL","148",0,0,0,0,840592,0,17500,NA,NA,NA,NA
"Methodist University","NC","Private not-for-profit, 4-year or above","2228","249",480000,0,0,3778874,7491579,4681352,4786547,3410578,NA,NA,NA
"Metropolitan College of New York","NY","Private not-for-profit, 4-year or above","897","416",1142883,0,0,3234777,12864424,122813,1994995,4250461,NA,NA,NA
"Metropolitan Community College Area","NE","Public, 2-year","14675","NULL",1831091,590577,0,3848961,4030856,10469,0,16526575.35,NA,NA,NA
"Metropolitan Community College-Kansas City","MO","Public, 2-year","18222","NULL",845200.31,0,0,4182793,5297259,56534,0,21537099.38,NA,NA,NA
"Metropolitan Learning Institute","NY","Private not-for-profit, less-than 2-year","1061","NULL",0,0,0,NA,NA,NA,NA,2281318,NA,NA,NA
"Metropolitan State University","MN","Public, 4-year or above","7595","841",1205332,499287,0,13488894,22238073,266360,180449,14043112,NA,NA,NA
"Metropolitan State University of Denver","CO","Public, 4-year or above","21196","490",4515346.08,109995,0,29601559,38609136,3181127,238990,31412848.18,NA,NA,NA
"MGH Institute of Health Professions","MA","Private not-for-profit, 4-year or above","195","916",988443,3046034,0,1175226,20524122,380417,18049179,NA,NA,NA,NA
"Miami Dade College","FL","Public, 4-year or above","66046","NULL",10020479.08,2682641.93,0,11315241,12504310,76746,0,142759755.52,NA,NA,NA
"Miami Lakes Educational Center and Technical College","FL","Public, 2-year","1806","NULL",0,0,0,NA,NA,NA,NA,815684.42,NA,NA,NA
"Miami University-Oxford","OH","Public, 4-year or above","15813","2689",1778455.73,7871893,910666.29,21521809,34281081,24772021,336461,16155011.34,NA,NA,NA
"Miami Valley Career Technology Center","OH","Public, less-than 2-year","422","NULL",0,0,0,345354,673772,17895,0,727417,NA,NA,NA
"Michigan Barber School Inc","MI","Private not-for-profit, 2-year","238","NULL",0,0,0,NA,NA,NA,NA,778564.28,NA,NA,NA
"Michigan Career and Technical Institute","MI","Public, less-than 2-year","220","NULL",0,0,0,NA,NA,NA,NA,482614,NA,NA,NA
"Michigan School of Professional Psychology","MI","Private not-for-profit, 4-year or above","NULL","141",0,0,0,0,3390686,0,2283981,NA,NA,NA,NA
"Michigan State University","MI","Public, 4-year or above","38786","11395",61206184.99,294153039.35,2677954.08,61006383,179430146,80401979,37994474,44213887,NA,NA,NA
"Michigan State University-College of Law","MI","Private not-for-profit, 4-year or above","NULL","890",100000,0,0,0,11774126,0,7074193,NA,NA,NA,NA
"Michigan Technological University","MI","Public, 4-year or above","5658","1521",6992037.29,15564101.29,6664613.17,10860366,10727354,8232243,122101,5918608,NA,NA,NA
"Mid Michigan Community College","MI","Public, 2-year","4422","NULL",493396.34,0,0,3455834,3895041,584719,0,5903729.51,NA,NA,NA
"Mid-America Christian University","OK","Private not-for-profit, 4-year or above","2076","471",0,0,0,4025584,10622586,406626,46986,4007792.24,NA,NA,NA
"Mid-America College of Funeral Service","IN","Private not-for-profit, 4-year or above","58","NULL",0,0,0,413834,619213,50437,0,383570,NA,NA,NA
"Mid-America Technology Center","OK","Public, less-than 2-year","1080","NULL",0,0,0,NA,NA,NA,NA,130828,NA,NA,NA
"Mid-Atlantic Christian University","NC","Private not-for-profit, 4-year or above","196","NULL",0,0,0,469314,394026,256109,0,537156.63,NA,11131,9381
"Mid-Del Technology Center","OK","Public, less-than 2-year","138","NULL",0,0,0,NA,NA,NA,NA,320572.9,NA,NA,NA
"Mid-EastCTC-Adult Education","OH","Public, less-than 2-year","539","NULL",0,0,0,350920,662460,76332,0,554518.16,NA,NA,NA
"Mid-Plains Community College","NE","Public, 2-year","2143","NULL",101133,0,0,1086677,1184529,30251,0,2117915,NA,NA,NA
"Mid-South Christian College","TN","Private not-for-profit, 4-year or above","21","NULL",0,0,0,NA,NA,NA,NA,34536,NA,NA,NA
"Mid-State Technical College","WI","Public, 2-year","2792","NULL",-130947.29,0,0,2522622,1204677,23250,0,3928724.82,NA,NA,NA
"MidAmerica Nazarene University","KS","Private not-for-profit, 4-year or above","1368","506",1388130,0,0,3298276,8362954,2248937,246857,2248570.42,NA,NA,NA
"Middle Georgia State University","GA","Public, 4-year or above","7927","NULL",0,0,0,12323727,13362852,6323333,55991,15853934.05,NA,NA,NA
"Middle Tennessee School of Anesthesia Inc","TN","Private not-for-profit, 4-year or above","NULL","224",274539,0,0,0,5580673,0,4626098,NA,NA,NA,NA
"Middle Tennessee State University","TN","Public, 4-year or above","20262","2371",2272269.16,2373612,0,31399978,43521440,12120953,405747,34987599,NA,NA,NA
"Middlebury College","VT","Private not-for-profit, 4-year or above","2526","16",615545.05,699267,325505.32,2016783,9548313,2138733,5001865,2001561,NA,NA,NA
"Middlesex Community College","CT","Public, 2-year","3005","NULL",-2690.9,0,0,183171,307539,10000,0,3374271.17,NA,NA,NA
"Middlesex Community College","MA","Public, 2-year","9205","NULL",2520891.58,0,0,1687351,2300761,24939,0,9643136,NA,NA,NA
"Middlesex County College","NJ","Public, 2-year","12059","NULL",317802,0,0,1940857,1959596,60395,0,18553669.1,NA,NA,NA
"Midfield Institute of Cosmetology","AL","Private not-for-profit, less-than 2-year",NA,NA,0,0,0,5250,9000,0,0,74394,NA,NA,NA
"Midland College","TX","Public, 4-year or above","4618","NULL",0,0,0,376111,760468,2650,0,4160674,NA,NA,NA
"Midland University","NE","Private not-for-profit, 4-year or above","1236","148",796777,0,0,3471086,4111501,3666765,1860,2003629,NA,NA,NA
"Midlands Technical College","SC","Public, 2-year","11424","NULL",-1215205.73,0,0,7950555,6523719,1457552,0,17392934.41,NA,NA,NA
"Midway University","KY","Private not-for-profit, 4-year or above","1067","111",0,0,0,2680225,4239097,1112380,65385,2174611.3,NA,NA,NA
"Midwestern Baptist Theological Seminary","MO","Private not-for-profit, 4-year or above","351","1094",0,0,0,805580,4434524,59814,89637,1025407.46,NA,NA,NA
"Midwestern State University","TX","Public, 4-year or above","5144","756",918546,276794,0,9442809,16259686,6285264,29476,10534352.84,NA,NA,NA
"Midwives College of Utah","UT","Private not-for-profit, 4-year or above","207","7",0,0,0,194833,242848,0,0,386197.14,NA,NA,NA
"Mifflin County Academy of Science and Technology","PA","Public, less-than 2-year","76","NULL",0,0,0,131092,192603,22500,0,131258,NA,NA,NA
"Miles College","AL","Private not-for-profit, 4-year or above","1782","NULL",3601066,0,0,5638946,5451078,2974008,0,8279928.26,NA,NA,NA
"Miles Community College","MT","Public, 2-year","420","NULL",-48648.1,0,0,592161,774692,83517,0,753318.36,NA,NA,NA
"Millersville University of Pennsylvania","PA","Public, 4-year or above","7171","904",459429,136824.98,0,14637790,18498750,13929958,128423,9215711.88,NA,NA,NA
"Milligan College","TN","Private not-for-profit, 4-year or above","953","302",0,0,0,1571098,5347473,1208967,1401916,1058892,NA,NA,NA
"Millikin University","IL","Private not-for-profit, 4-year or above","2112","91",0,0,0,5223523,6253006,5205436,1308280,3493710.19,NA,NA,NA
"Mills College","CA","Private not-for-profit, 4-year or above","917","538",1670608,879488,0,2243999,7099685,1481724,1943462,1868728.84,NA,NA,NA
"Millsaps College","MS","Private not-for-profit, 4-year or above","768","49",0,0,0,1588266,2238107,2693330,45706,1014065,NA,NA,NA
"Milwaukee Area Technical College","WI","Public, 2-year","16712","NULL",153799.96,0,0,16803868,10801139,161151,0,24942911.09,NA,758585,778328
"Milwaukee Institute of Art & Design","WI","Private not-for-profit, 4-year or above","621","NULL",0,0,0,2306760,1943936,2668277,0,1438361,NA,NA,NA
"Milwaukee School of Engineering","WI","Private not-for-profit, 4-year or above","2596","225",0,267268,7334,6337858,7059194,4030215,102964,3002695.5,NA,NA,NA
"Mineral Area College","MO","Public, 2-year","4632","NULL",1584919.36,0,0,1491555,1578690,87475,0,5464822,NA,NA,NA
"Mineral County Vocational Technical Center","WV","Public, less-than 2-year","41","NULL",0,0,0,NA,NA,NA,NA,81876,NA,NA,NA
"Mingo Extended Learning Center","WV","Public, less-than 2-year","52","NULL",0,0,0,NA,NA,NA,NA,90610,NA,NA,NA
"Minneapolis College of Art and Design","MN","Private not-for-profit, 4-year or above","672","118",0,0,0,2134344,2461089,1955882,76819,1337591,NA,NA,NA
"Minnesota State College Southeast","MN","Public, 2-year","2177","NULL",-69631.98,0,0,1830112,2865312,16661,0,2232352,NA,NA,NA
"Minnesota State Community and Technical College","MN","Public, 2-year","6415","NULL",0,0,0,5833083,8324626,121765,0,7621591,NA,NA,NA
"Minnesota State University Moorhead","MN","Public, 4-year or above","5731","601",0,0,0,8548341,15071988,571656,11100,6279278.76,NA,NA,NA
"Minnesota State University-Mankato","MN","Public, 4-year or above","13395","2044",1502271.23,1766971,0,17964031,31200922,5358097,177338,14847824,NA,NA,NA
"Minnesota West Community and Technical College","MN","Public, 2-year","3182","NULL",0,0,0,2345739,2975545,33101,0,3663250.38,NA,NA,NA
"Minot State University","ND","Public, 4-year or above","3116","284",1530616,620000,0,3018212,5784495,127747,0,2920220,NA,NA,NA
"MiraCosta College","CA","Public, 2-year","14680","NULL",1902166,0,0,1272826,1416658,0,0,15138100,NA,NA,NA
"Mirrer Yeshiva Cent Institute","NY","Private not-for-profit, 4-year or above","132","58",0,0,0,NA,NA,NA,NA,320119,NA,NA,NA
"Misericordia University","PA","Private not-for-profit, 4-year or above","2465","563",99985,0,0,5385482,13002170,5132683,863500,2297728,NA,NA,NA
"Mission College","CA","Public, 2-year","8435","NULL",1690477,0,0,136245,192792,0,0,5707329.12,NA,NA,NA
"Mississippi College","MS","Private not-for-profit, 4-year or above","2984","2032",0,0,0,5272208,28081794,2911939,11505642,4603920.73,NA,NA,NA
"Mississippi Delta Community College","MS","Public, 2-year","2705","NULL",571635.37,0,0,NA,NA,NA,NA,8468466.74,NA,89858,98043
"Mississippi Gulf Coast Community College","MS","Public, 2-year","9793","NULL",0,0,0,7659901,8336227,59704,0,20409649,NA,NA,NA
"Mississippi State University","MS","Public, 4-year or above","16536","3452",39685085.63,35457986.11,13441039.43,30501143,54203539,27334229,4308674,29946828,2679633,1405741,1145412
"Mississippi University for Women","MS","Public, 4-year or above","2527","203",401628,0,0,5329091,7529248,903940,47056,6063043.17,NA,NA,NA
"Mississippi Valley State University","MS","Public, 4-year or above","1885","361",6875192.41,312037,0,5897347,10901421,1637001,71035,7532075.3,NA,NA,NA
"Missouri Baptist University","MO","Private not-for-profit, 4-year or above","3855","1106",0,0,0,4673856,14292772,2706715,57038,4031933,NA,NA,NA
"Missouri Southern State University","MO","Public, 4-year or above","5561","51",870634,0,0,8812173,10892326,429242,0,12427563.17,NA,NA,NA
"Missouri State University-Springfield","MO","Public, 4-year or above","18517","3293",3592607.76,2227833,305272.17,30212348,50168391,11568349,2344611,27456730.87,NA,NA,NA
"Missouri State University-West Plains","MO","Public, 2-year","2164","NULL",0,0,0,758678,719412,25670,0,3106241.86,NA,NA,NA
"Missouri University of Science and Technology","MO","Public, 4-year or above","6520","2047",5144313.47,10178352,783099.28,10524775,13349940,13642651,423046,7180500.5,NA,NA,NA
"Missouri Valley College","MO","Private not-for-profit, 4-year or above","1683","16",0,0,0,3213127,3440424,2260146,0,3089181.21,NA,NA,NA
"Missouri Western State University","MO","Public, 4-year or above","5650","217",0,0,18000,6536516,8267372,1613000,0,8589997.66,NA,NA,NA
"Mitchell College","CT","Private not-for-profit, 4-year or above","778","NULL",0,0,0,1537304,1272677,2022969,0,1092830,NA,NA,NA
"Mitchell Community College","NC","Public, 2-year","3106","NULL",0,0,0,NA,NA,NA,NA,3525488.77,NA,47619,46795
"Mitchell Hamline School of Law","MN","Private not-for-profit, 4-year or above","NULL","738",0,499506,0,0,14069201,0,13000754,NA,NA,NA,NA
"Mitchell Technical Institute","SD","Public, 2-year","1245","NULL",-128487.61,0,0,1501498,2155886,614990,0,1981379,5750,72800,28031
"Moberly Area Community College","MO","Public, 2-year","5431","NULL",0,0,0,2344387,2360801,149492,0,7395283.54,NA,129268,86568
"Modesto Junior College","CA","Public, 2-year","17586","NULL",1769619.12,0,0,NA,NA,NA,NA,27418248.05,NA,NA,NA
"Mohave Community College","AZ","Public, 2-year","4744","NULL",0,0,0,1702129,1475108,0,0,6055643,NA,NA,NA
"Mohawk Valley Community College","NY","Public, 2-year","7149","NULL",1063735.67,557487,0,4238740,4890823,462340,0,12030349.81,NA,NA,NA
"Molloy College","NY","Private not-for-profit, 4-year or above","3336","1469",660365,1506740,0,9341924,18814960,12807376,1064435,4964425,NA,NA,NA
"Monmouth College","IL","Private not-for-profit, 4-year or above","1296","NULL",0,0,0,2532178,2224358,2816433,0,1701018.78,NA,NA,NA
"Monmouth University","NJ","Private not-for-profit, 4-year or above","4634","1701",310059.43,0,0,12024331,25865604,15288194,2262510,7054233.19,NA,NA,NA
"Monongalia County Technical Education Center","WV","Public, less-than 2-year","97","NULL",0,0,0,NA,NA,NA,NA,152450,NA,NA,NA
"Monroe 2 Orleans BOCES-Center for Workforce Development","NY","Public, less-than 2-year","191","NULL",0,0,0,76109,180124,0,0,188823,NA,NA,NA
"Monroe Community College","NY","Public, 2-year","15335","NULL",1043149.14,0,0,12650425,9158391,773359,0,28182463.12,NA,NA,NA
"Monroe County Community College","MI","Public, 2-year","3482","NULL",817450,224906,0,1263655,1961716,20249,0,3056436.26,NA,NA,NA
"Montana State University","MT","Public, 4-year or above","13298","1603",13872380.12,51243205.71,5801349.36,19100009,26997617,23999359,756776,14315220.01,NA,NA,NA
"Montana State University-Billings","MT","Public, 4-year or above","4340","395",1635450.09,395533,41526,5368880,9230348,1118248,47185,5647885,NA,NA,NA
"Montana State University-Northern","MT","Public, 4-year or above","1162","80",1202870.25,0,0,1709412,1991205,173013,0,2288694.1,NA,NA,NA
"Montana Tech of the University of Montana","MT","Public, 4-year or above","1891","210",1602792.03,724356.5,23386.21,2670696,3890126,1371934,44105,2872165,NA,NA,NA
"Montcalm Community College","MI","Public, 2-year","1832","NULL",0,0,0,1209541,1312358,0,0,2458154,NA,NA,NA
"Montclair State University","NJ","Public, 4-year or above","15885","4129",1449247,2640812,0,34830671,53495875,23470873,1709120,34770754,NA,NA,NA
"Monterey Peninsula College","CA","Public, 2-year","7727","NULL",1991150,120402,0,497707,463686,150525,0,6480930,NA,NA,NA
"Montessori Casa International","CO","Private not-for-profit, less-than 2-year","15","NULL",0,0,0,1750,0,0,0,NA,NA,NA,NA
"Montessori Education Center of the Rockies","CO","Private not-for-profit, 4-year or above","15","64",0,0,0,28000,41106,0,0,38929,NA,NA,NA
"Montessori Institute of Milwaukee","WI","Private not-for-profit, 4-year or above","NULL","58",0,0,0,0,67680,0,0,NA,NA,NA,NA
"Montgomery College","MD","Public, 2-year","25517","NULL",504001.87,561250,7920,7547371,7366131,151522,0,25937070.7,NA,NA,NA
"Montgomery Community College","NC","Public, 2-year","863","NULL",0,0,0,NA,NA,NA,NA,1072724.16,NA,NA,NA
"Montgomery County Community College","PA","Public, 2-year","12805","NULL",420254,0,0,6489659,8609263,122794,0,11095476.92,NA,NA,NA
"Montreat College","NC","Private not-for-profit, 4-year or above","735","200",0,0,0,1955727,3501998,1573078,14323,1558594,NA,NA,NA
"Montserrat College of Art","MA","Private not-for-profit, 4-year or above","380","NULL",0,0,0,1227840,849731,1511950,0,699689,NA,NA,NA
"Monty Tech","MA","Public, less-than 2-year","45","NULL",0,0,0,105083,233078,0,0,87224,NA,NA,NA
"Moore College of Art and Design","PA","Private not-for-profit, 4-year or above","412","34",0,0,0,1206883,1428655,3157447,254783,746993,NA,NA,NA
"Moore Norman Technology Center","OK","Public, 2-year","1377","NULL",0,0,0,NA,NA,NA,NA,550195.18,NA,NA,NA
"Moorpark College","CA","Public, 2-year","13880","NULL",0,0,0,615296,657050,42091,0,10888084,NA,NA,NA
"Moraine Park Technical College","WI","Public, 2-year","6280","NULL",240466.83,0,0,2607949,1528380,5712,0,3551930.01,NA,NA,NA
"Moraine Valley Community College","IL","Public, 2-year","15286","NULL",1286883.42,1305497,0,1839389,2973544,74380,0,16341538.6,NA,NA,NA
"Moravian College","PA","Private not-for-profit, 4-year or above","1603","430",0,0,0,5762208,6768551,8589874,65353,2776093,207650,223864,178744
"Morehead State University","KY","Public, 4-year or above","9951","1092",4097958.1,-44794.4,111033.06,12676398,22981414,3599770,288082,14572773,NA,NA,NA
"Morehouse College","GA","Private not-for-profit, 4-year or above","2109","NULL",6634899,4353321,0,5712326,4819771,28315580,0,5390852.05,NA,NA,NA
"Morehouse School of Medicine","GA","Private not-for-profit, 4-year or above","NULL","452",18501734.96,17816635,102639.36,0,15373699,0,9109034,NA,NA,NA,NA
"Moreno Valley College","CA","Public, 2-year","8731","NULL",2945256.01,0,0,461343,537202,0,0,10876526.14,NA,NA,NA
"Morgan Community College","CO","Public, 2-year","1837","NULL",0,0,0,587487,318967,3000,0,1498105,NA,NA,NA
"Morgan State University","MD","Public, 4-year or above","6302","1406",15170137.41,3836229.52,150000,16346246,26261332,14792746,1556777,16197679.65,NA,NA,NA
"Morningside College","IA","Private not-for-profit, 4-year or above","1321","1490",0,0,0,3745074,5176928,2184473,0,2411002.68,NA,NA,NA
"Morris College","SC","Private not-for-profit, 4-year or above","780","NULL",2942123,198804,0,2333750,2180703,913574,0,3222600.77,NA,NA,NA
"Morris County Vocational School District","NJ","Public, less-than 2-year","76","NULL",0,0,0,71250,81914,0,0,84493.09,NA,NA,NA
"Morrisville State College","NY","Public, 4-year or above","2910","NULL",0,0,0,6758626,6792421,8806359,0,7191470.89,NA,NA,NA
"Morton College","IL","Public, 2-year","4653","NULL",0,0,0,296156,227665,0,0,6563495,NA,NA,NA
"Motlow State Community College","TN","Public, 2-year","4769","NULL",0,545000,0,NA,NA,NA,NA,8065711,NA,NA,NA
"Mott Community College","MI","Public, 2-year","8937","NULL",1328545,0,0,6827059,10125912,93897,0,14110427.95,NA,NA,NA
"Mount Aloysius College","PA","Private not-for-profit, 4-year or above","1794","74",645000,0,0,2925712,3343924,2742582,10125,1943063,NA,NA,NA
"Mount Angel Seminary","OR","Private not-for-profit, 4-year or above","61","97",0,0,0,0,0,0,11344,58405,NA,NA,NA
"Mount Carmel College of Nursing","OH","Private not-for-profit, 4-year or above","927","165",0,0,0,2166067,3351197,1513719,9974,1088815,NA,NA,NA
"Mount Holyoke College","MA","Private not-for-profit, 4-year or above","2189","89",0,1939396,0,3998814,2611369,2721861,0,2065702,NA,NA,NA
"Mount Ida College","MA","Private not-for-profit, 4-year or above","1290","25",0,0,0,3052587,2803079,3731379,0,2583755,NA,NA,NA
"Mount Marty College","SD","Private not-for-profit, 4-year or above","1108","143",0,0,0,1353504,3751971,708174,2240417,975155.12,NA,NA,NA
"Mount Mary University","WI","Private not-for-profit, 4-year or above","802","566",1489136,0,0,2013112,8789344,499336,222169,1922638,NA,NA,NA
"Mount Mercy University","IA","Private not-for-profit, 4-year or above","1444","334",0,0,0,3884995,7418865,2554052,49182,2523892,NA,NA,NA
"Mount Saint Joseph University","OH","Private not-for-profit, 4-year or above","1657","546",582764,0,0,2826998,11435238,2822352,1493773,2067337.03,NA,NA,NA
"Mount Saint Mary College","NY","Private not-for-profit, 4-year or above","2123","351",0,0,0,5157115,6864756,9272096,6650,2771638,NA,NA,NA
"Mount Saint Mary's University","CA","Private not-for-profit, 4-year or above","2668","644",1563031.69,1349872,0,7966929,16224313,8584296,3736607,5149746.33,NA,NA,NA
"Mount St Mary's University","MD","Private not-for-profit, 4-year or above","1810","462",5749,0,11030,3699557,5275372,7005151,25520,2180298,NA,NA,NA
