"agency","subagency","institution","contracts","grants"
"Department of Defense","Department of the Air Force","George Mason University",29015137,2764066
"Department of Defense","Department of the Air Force","George Washington University",335318.98,301342
"Department of Defense","Department of the Air Force","Georgia Institute of Technology-Main Campus",111380553.45,7903634
"Department of Defense","Department of the Air Force","Harvard University",211815,4114182
"Department of Defense","Department of the Air Force","Indiana University-Bloomington",3594.65,275288
"Department of Defense","Department of the Air Force","Iowa State University",394697,2469222
"Department of Defense","Department of the Air Force","Johns Hopkins University",31185469.12,4315677
"Department of Defense","Department of the Air Force","Louisiana State University",40000,150000
"Department of Defense","Department of the Air Force","Massachusetts Institute of Technology",942717759.71,13378676
"Department of Defense","Department of the Air Force","Michigan State University",55000,3348384
"Department of Defense","Department of the Air Force","Michigan Technological University",715624,140443
"Department of Defense","Department of the Air Force","Mississippi State University",22817.5,622058
"Department of Defense","Department of the Air Force","Missouri University of Science and Technology",58471,NA
"Department of Defense","Department of the Air Force","Montana State University",770313,266866
"Department of Defense","Department of the Air Force","New Mexico Institute of Mining and Technology",136626,10086872
"Department of Defense","Department of the Air Force","North Carolina State University at Raleigh",-41638.73,1878459
"Department of Defense","Department of the Air Force","Northern Virginia Community College",37764.2,NA
"Department of Defense","Department of the Air Force","Ohio State University",191759.85,10533935
"Department of Defense","Department of the Air Force","Oklahoma State University",24993.5,674580
"Department of Defense","Department of the Air Force","Pardee RAND Graduate School",47866151.51,NA
"Department of Defense","Department of the Air Force","Pima Community College",329206.72,NA
"Department of Defense","Department of the Air Force","Rush University",63149,NA
"Department of Defense","Department of the Air Force","San Diego State University",87465.53,759534
"Department of Defense","Department of the Air Force","Southern Methodist University",2058662.84,NA
"Department of Defense","Department of the Air Force","Stanford University",426209,10828652
"Department of Defense","Department of the Air Force","Stevens Institute of Technology",75000,584751
"Department of Defense","Department of the Air Force","Syracuse University",3700,1095683
"Department of Defense","Department of the Air Force","Texas A & M University-College Station",65250,4803106
"Department of Defense","Department of the Air Force","The University of Tennessee-Knoxville",362058.81,1075420
"Department of Defense","Department of the Air Force","The University of Texas at Arlington",7657,2101481
"Department of Defense","Department of the Air Force","The University of Texas at Austin",627819,4794216
"Department of Defense","Department of the Air Force","The University of Texas at San Antonio",79910,703522
"Department of Defense","Department of the Air Force","Trident Technical College",7475,NA
"Department of Defense","Department of the Air Force","University of Alabama at Birmingham",965549,NA
"Department of Defense","Department of the Air Force","University of Alaska Fairbanks",175532.32,NA
"Department of Defense","Department of the Air Force","University of California-Berkeley",56971,3902307
"Department of Defense","Department of the Air Force","University of California-Davis",248920,1467722
"Department of Defense","Department of the Air Force","University of California-Los Angeles",32225.49,3395055
"Department of Defense","Department of the Air Force","University of California-San Francisco",10000,NA
"Department of Defense","Department of the Air Force","University of California-Santa Barbara",255000,1164656
"Department of Defense","Department of the Air Force","University of California-Santa Cruz",60445,497631
"Department of Defense","Department of the Air Force","University of Central Florida",46696,5367919
"Department of Defense","Department of the Air Force","University of Cincinnati",412000,5208096
"Department of Defense","Department of the Air Force","University of Colorado Boulder",402771,10935485
"Department of Defense","Department of the Air Force","University of Colorado Colorado Springs",9500,41874
"Department of Defense","Department of the Air Force","University of Colorado Denver/Anschutz Medical Campus",274272,1412262
"Department of Defense","Department of the Air Force","University of Connecticut",5416632,3050375
"Department of Defense","Department of the Air Force","University of Dayton",109508563.58,12468593
"Department of Defense","Department of the Air Force","University of Florida",1883114.39,2374417
"Department of Defense","Department of the Air Force","University of Georgia",62000,NA
"Department of Defense","Department of the Air Force","University of Hawaii at Manoa",-60510.74,440855
"Department of Defense","Department of the Air Force","University of Illinois at Urbana-Champaign",110803,9398283
"Department of Defense","Department of the Air Force","University of Maryland-College Park",786180,8482176
"Department of Defense","Department of the Air Force","University of Massachusetts-Lowell",271000,65005
"Department of Defense","Department of the Air Force","University of Memphis",52925,NA
"Department of Defense","Department of the Air Force","University of Miami",6508,628143
"Department of Defense","Department of the Air Force","University of Michigan-Ann Arbor",360036,10591529
"Department of Defense","Department of the Air Force","University of Minnesota-Duluth",12000,NA
"Department of Defense","Department of the Air Force","University of Minnesota-Twin Cities",160096,3696253
"Department of Defense","Department of the Air Force","University of Missouri-Columbia",104248,854617
"Department of Defense","Department of the Air Force","University of Nevada-Reno",26880,259798
"Department of Defense","Department of the Air Force","University of New Mexico-Main Campus",4880952,6281958
"Department of Defense","Department of the Air Force","University of Northern Iowa",56500,NA
"Department of Defense","Department of the Air Force","University of Oklahoma-Norman Campus",300000,NA
"Department of Defense","Department of the Air Force","University of Pennsylvania",218760,3672530
"Department of Defense","Department of the Air Force","University of Rhode Island",266498,92433
"Department of Defense","Department of the Air Force","University of South Florida",4035,175400
"Department of Defense","Department of the Air Force","University of Southern California",8955765,11645988
"Department of Defense","Department of the Air Force","University of Texas Southwestern Medical Center",16847,NA
"Department of Defense","Department of the Air Force","University of the Incarnate Word",381623.42,NA
"Department of Defense","Department of the Air Force","University of Toledo",-2599840,NA
"Department of Defense","Department of the Air Force","University of Utah",603983,4067449
"Department of Defense","Department of the Air Force","Utah State University",50958838.42,163320
"Department of Defense","Department of the Air Force","Vanderbilt University",46546,3101467
"Department of Defense","Department of the Air Force","Virginia Polytechnic Institute and State University",220000,2272856
"Department of Defense","Department of the Air Force","Wake Forest University",642833,NA
"Department of Defense","Department of the Air Force","Weber State University",12301.87,NA
"Department of Defense","Department of the Air Force","Wichita State University",5099993,100000
"Department of Defense","Department of the Air Force","Wright State University-Main Campus",3572425,2982593
"Department of Defense","Department of the Army","Alcorn State University",-28867.82,-2141
"Department of Defense","Department of the Army","American University",149600,NA
"Department of Defense","Department of the Army","Auburn University",199994,2044604
"Department of Defense","Department of the Army","Augusta University",60952,1942330
"Department of Defense","Department of the Army","Barton County Community College",-76309.2,NA
"Department of Defense","Department of the Army","Baylor University",740970.2,265000
"Department of Defense","Department of the Army","Boise State University",387961,625472
"Department of Defense","Department of the Army","Boston University",-3629.15,7175311
"Department of Defense","Department of the Army","Bowling Green State University-Main Campus",29296.58,NA
"Department of Defense","Department of the Army","Brown University",544914,7243965
"Department of Defense","Department of the Army","Bucks County Community College",227235,NA
"Department of Defense","Department of the Army","California Institute of Technology",617314.3,4987112
"Department of Defense","Department of the Army","Carnegie Mellon University",259288,9817664
"Department of Defense","Department of the Army","Case Western Reserve University",250000,3942413
"Department of Defense","Department of the Army","Central Texas College",1755889.34,NA
"Department of Defense","Department of the Army","Clarkson University",464255,289000
"Department of Defense","Department of the Army","Clemson University",439776.09,554418
"Department of Defense","Department of the Army","Clover Park Technical College",367155.62,NA
"Department of Defense","Department of the Army","Colorado Mesa University",12000,NA
"Department of Defense","Department of the Army","Colorado School of Mines",1147541,770014
"Department of Defense","Department of the Army","Colorado State University-Fort Collins",519861.56,48035187
"Department of Defense","Department of the Army","Columbia University in the City of New York",165138,10613782
"Department of Defense","Department of the Army","Columbus State University",121286.5,NA
"Department of Defense","Department of the Army","Cornell University",224160.26,20491986
"Department of Defense","Department of the Army","Dartmouth College",228208.49,1636942
"Department of Defense","Department of the Army","Drexel University",199677,2212607
"Department of Defense","Department of the Army","Duke University",1977136.99,24337007
"Department of Defense","Department of the Army","East Carolina University",20000,NA
"Department of Defense","Department of the Army","Eastern Iowa Community College District",4650,NA
"Department of Defense","Department of the Army","Eastern Kentucky University",18500,NA
"Department of Defense","Department of the Army","Eastern Michigan University",245786,NA
"Department of Defense","Department of the Army","Emory University",291190,4543214
"Department of Defense","Department of the Army","Fayetteville State University",-56297.7,566252
"Department of Defense","Department of the Army","Fayetteville Technical Community College",172350,NA
"Department of Defense","Department of the Army","Florida Atlantic University",138645,753445
"Department of Defense","Department of the Army","Florida Gulf Coast University",62973.02,NA
"Department of Defense","Department of the Army","Florida Polytechnic University",158592,NA
"Department of Defense","Department of the Army","Florida State University",64847,1314895
"Department of Defense","Department of the Army","GateWay Community College",62070,NA
"Department of Defense","Department of the Army","George Mason University",176753.52,2314673
"Department of Defense","Department of the Army","Georgetown University",476146.72,1498254
"Department of Defense","Department of the Army","Georgia Institute of Technology-Main Campus",65653043.1,6934552
"Department of Defense","Department of the Army","Georgia Military College",91072,NA
"Department of Defense","Department of the Army","Great Oaks Career Campuses",42791.08,NA
"Department of Defense","Department of the Army","Harrisburg Area Community College-Harrisburg",18493.66,NA
"Department of Defense","Department of the Army","Harvard University",454461.99,31346743
"Department of Defense","Department of the Army","Hood College",35578.88,NA
"Department of Defense","Department of the Army","Hudson Valley Community College",138161.49,NA
"Department of Defense","Department of the Army","Icahn School of Medicine at Mount Sinai",6000,5816226
"Department of Defense","Department of the Army","Indiana University-Bloomington",30090,21517191
"Department of Defense","Department of the Army","Iowa State University",873100,2338672
"Department of Defense","Department of the Army","Jackson State University",20993.2,1493511
"Department of Defense","Department of the Army","Johns Hopkins University",25259141.88,50607134
"Department of Defense","Department of the Army","Kansas State University",204640.35,1180448
"Department of Defense","Department of the Army","Lawrence Technological University",-37949.74,NA
"Department of Defense","Department of the Army","Lehigh University",315715,313765
"Department of Defense","Department of the Army","Lincoln Land Community College",59200,NA
"Department of Defense","Department of the Army","Lincoln University",230224.95,NA
"Department of Defense","Department of the Army","Louisiana State University",646474.79,1454372
"Department of Defense","Department of the Army","Marion Military Institute",11268.75,NA
"Department of Defense","Department of the Army","Massachusetts General Hospital Dietetic Internship",139438.38,8174289
"Department of Defense","Department of the Army","Massachusetts Institute of Technology",4446129.76,17836234
"Department of Defense","Department of the Army","Mayo Clinic School of Medicine",1278265.74,7012445
"Department of Defense","Department of the Army","Meharry Medical College",-0.02,NA
"Department of Defense","Department of the Army","Miami University-Oxford",199980,320493
"Department of Defense","Department of the Army","Michigan State University",190111,156054
"Department of Defense","Department of the Army","Michigan Technological University",4766358.66,617796
"Department of Defense","Department of the Army","Mississippi State University",12994295.9,2059125
"Department of Defense","Department of the Army","Missouri University of Science and Technology",234843,84277
"Department of Defense","Department of the Army","Missouri Western State University",18000,NA
"Department of Defense","Department of the Army","Montana State University",4820460,20000
"Department of Defense","Department of the Army","Mount St Mary's University",11030,NA
"Department of Defense","Department of the Army","Napa Valley College",7933.33,NA
"Department of Defense","Department of the Army","New Jersey Institute of Technology",5410511.06,40000
"Department of Defense","Department of the Army","New Mexico Institute of Mining and Technology",-12620,NA
"Department of Defense","Department of the Army","New Mexico Military Institute",30388,NA
"Department of Defense","Department of the Army","New Mexico State University-Main Campus",11960465.22,1607920
"Department of Defense","Department of the Army","New York University",450000,7894954
"Department of Defense","Department of the Army","North Carolina A & T State University",61986,801486
"Department of Defense","Department of the Army","North Carolina State University at Raleigh",936121.8,7884156
"Department of Defense","Department of the Army","North Dakota State University-Main Campus",19193.36,NA
"Department of Defense","Department of the Army","Northeastern University",61400,8940078
"Department of Defense","Department of the Army","Northern Arizona University",779378,1410601
"Department of Defense","Department of the Army","Northern Virginia Community College",5952,NA
"Department of Defense","Department of the Army","Northwest Missouri State University",20000,NA
"Department of Defense","Department of the Army","Ohio State University",163650,10753345
"Department of Defense","Department of the Army","Ohio University",50000,749994
"Department of Defense","Department of the Army","Old Dominion University",170564,71018
"Department of Defense","Department of the Army","Oregon Health & Science University",687709.4,5595982
"Department of Defense","Department of the Army","Oregon State University",2403234.18,888740
"Department of Defense","Department of the Army","Otterbein University",-2557.29,NA
"Department of Defense","Department of the Army","Pardee RAND Graduate School",37926772.58,NA
"Department of Defense","Department of the Army","Pennsylvania State University",1315311.8,11088124
"Department of Defense","Department of the Army","Portland State University",294479,635769
"Department of Defense","Department of the Army","Purdue University-Main Campus",1296109.75,5522808
"Department of Defense","Department of the Army","Rice University",302655,2521702
"Department of Defense","Department of the Army","Rowan University",3400000,NA
"Department of Defense","Department of the Army","Rutgers University-New Brunswick",1222662,3764788
"Department of Defense","Department of the Army","Rutgers University-Newark",279246,599793
"Department of Defense","Department of the Army","Saint Louis University",-78168.81,2848479
"Department of Defense","Department of the Army","Salt Lake Community College",6630,NA
"Department of Defense","Department of the Army","Sam Houston State University",240951.89,NA
"Department of Defense","Department of the Army","San Diego State University",39067.63,1261581
"Department of Defense","Department of the Army","South Dakota State University",194738.53,28704
"Department of Defense","Department of the Army","Southern Connecticut State University",4999,NA
"Department of Defense","Department of the Army","Southern Methodist University",478514,50000
"Department of Defense","Department of the Army","Spring Hill College",81635,NA
"Department of Defense","Department of the Army","Stanford University",1739838,15386966
"Department of Defense","Department of the Army","Stevens Institute of Technology",361415.09,960439
"Department of Defense","Department of the Army","SUNY Buffalo State",118980,2408587
"Department of Defense","Department of the Army","SUNY College of Agriculture and Technology at Cobleskill",610000,NA
"Department of Defense","Department of the Army","Syracuse University",30000,180745
"Department of Defense","Department of the Army","Tallahassee Community College",40004,NA
"Department of Defense","Department of the Army","Temple University",-147790.56,2454670
"Department of Defense","Department of the Army","Texas A & M University-College Station",300699.53,6193870
"Department of Defense","Department of the Army","Texas Tech University",406701.33,368427
"Department of Defense","Department of the Army","The College of Wooster",199998,NA
"Department of Defense","Department of the Army","The University of Alabama",521654.41,864531
"Department of Defense","Department of the Army","The University of Tennessee-Knoxville",10000,1220928
"Department of Defense","Department of the Army","The University of Texas at Arlington",237865.9,1363573
"Department of Defense","Department of the Army","The University of Texas at Austin",4961255.97,6636076
"Department of Defense","Department of the Army","The University of Texas at El Paso",343747.17,86995
"Department of Defense","Department of the Army","The University of Texas at San Antonio",50810,809972
"Department of Defense","Department of the Army","The University of Texas Health Science Center at Houston",1439950,4399880
"Department of Defense","Department of the Army","The University of Texas Health Science Center at San Antonio",2459916.47,8009642
"Department of Defense","Department of the Army","The University of Texas Medical Branch",718879,1749984
"Department of Defense","Department of the Army","Towson University",48846,50000
"Department of Defense","Department of the Army","Trinity University",486863,NA
"Department of Defense","Department of the Army","Truckee Meadows Community College",554743,NA
"Department of Defense","Department of the Army","Tufts University",1054213,3216139
"Department of Defense","Department of the Army","Tulane University of Louisiana",50000,57370
"Department of Defense","Department of the Army","University of Alabama in Huntsville",10499800.49,282288
"Department of Defense","Department of the Army","University of Alaska Anchorage",3280,2487515
"Department of Defense","Department of the Army","University of Alaska Fairbanks",201322.84,NA
"Department of Defense","Department of the Army","University of Arizona",522146.78,10832143
"Department of Defense","Department of the Army","University of Arkansas at Pine Bluff",1900,NA
"Department of Defense","Department of the Army","University of California-Berkeley",235000,5046516
"Department of Defense","Department of the Army","University of California-Davis",241756.65,12578642
"Department of Defense","Department of the Army","University of California-Los Angeles",1095900,12128216
"Department of Defense","Department of the Army","University of California-Riverside",516630,2133918
"Department of Defense","Department of the Army","University of California-San Diego",415831.6,32872927
"Department of Defense","Department of the Army","University of California-San Francisco",224375,26363988
"Department of Defense","Department of the Army","University of California-Santa Barbara",10092023.36,6746186
"Department of Defense","Department of the Army","University of Central Florida",7397625.3,6243677
"Department of Defense","Department of the Army","University of Cincinnati",49989,1429028
"Department of Defense","Department of the Army","University of Colorado Boulder",222448,4320011
"Department of Defense","Department of the Army","University of Colorado Denver/Anschutz Medical Campus",159999,9542335
"Department of Defense","Department of the Army","University of Connecticut",49452.11,2999554
"Department of Defense","Department of the Army","University of Delaware",1201181.4,1774330
"Department of Defense","Department of the Army","University of Florida",471774.65,10900433
"Department of Defense","Department of the Army","University of Georgia",369363.99,963386
"Department of Defense","Department of the Army","University of Hawaii at Hilo",20527.07,44070
"Department of Defense","Department of the Army","University of Hawaii at Manoa",21194.9,6533638
"Department of Defense","Department of the Army","University of Houston",224958,309128
"Department of Defense","Department of the Army","University of Illinois at Chicago",391073,9683885
"Department of Defense","Department of the Army","University of Illinois at Urbana-Champaign",2964542.56,8685851
"Department of Defense","Department of the Army","University of Iowa",65488,14171530
"Department of Defense","Department of the Army","University of Kansas",440579.74,3478150
"Department of Defense","Department of the Army","University of Kentucky",217511.5,1512663
"Department of Defense","Department of the Army","University of Maine",3900000,NA
"Department of Defense","Department of the Army","University of Maryland-Baltimore County",278799,860254
"Department of Defense","Department of the Army","University of Maryland-College Park",5197165.3,12368964
"Department of Defense","Department of the Army","University of Maryland, Baltimore",239928,3930692
"Department of Defense","Department of the Army","University of Massachusetts-Amherst",173404.93,1861742
"Department of Defense","Department of the Army","University of Massachusetts-Lowell",4833468.28,5896230
"Department of Defense","Department of the Army","University of Miami",1629338.4,4980518
"Department of Defense","Department of the Army","University of Michigan-Ann Arbor",1617185.69,37335339
"Department of Defense","Department of the Army","University of Minnesota-Twin Cities",1075425,14904674
"Department of Defense","Department of the Army","University of Mississippi",1346579,5176014
"Department of Defense","Department of the Army","University of Missouri-Columbia",119858.88,9366795
"Department of Defense","Department of the Army","University of Nebraska at Omaha",8150,-3934
"Department of Defense","Department of the Army","University of Nebraska Medical Center",315804.97,1065685
"Department of Defense","Department of the Army","University of Nebraska-Lincoln",191281,244532
"Department of Defense","Department of the Army","University of Nevada-Reno",681936,166675
"Department of Defense","Department of the Army","University of New Hampshire-Main Campus",1203866,63270
"Department of Defense","Department of the Army","University of New Haven",4999,NA
"Department of Defense","Department of the Army","University of New Mexico-Main Campus",41700,1887970
"Department of Defense","Department of the Army","University of North Carolina at Chapel Hill",255656.2,15199977
"Department of Defense","Department of the Army","University of North Dakota",362467,NA
"Department of Defense","Department of the Army","University of North Georgia",6353.1,NA
"Department of Defense","Department of the Army","University of North Texas",89600,1079902
"Department of Defense","Department of the Army","University of North Texas Health Science Center",-15000,NA
"Department of Defense","Department of the Army","University of Notre Dame",171671,2380482
"Department of Defense","Department of the Army","University of Pennsylvania",-1267259.48,10982121
"Department of Defense","Department of the Army","University of Pittsburgh-Pittsburgh Campus",6863028.18,23412171
"Department of Defense","Department of the Army","University of Puerto Rico-Mayaguez",20250.01,-35115
"Department of Defense","Department of the Army","University of Rhode Island",525214.82,19836
"Department of Defense","Department of the Army","University of Saint Francis-Fort Wayne",15000,NA
"Department of Defense","Department of the Army","University of Saint Mary",-7415,NA
"Department of Defense","Department of the Army","University of South Carolina-Beaufort",34700,1611076
"Department of Defense","Department of the Army","University of Southern California",21160648.97,22038698
"Department of Defense","Department of the Army","University of Southern Mississippi",3055058,1205007
"Department of Defense","Department of the Army","University of Texas Southwestern Medical Center",94733,6258595
"Department of Defense","Department of the Army","University of Toledo",-64000,NA
"Department of Defense","Department of the Army","University of Utah",717692.44,13598877
"Department of Defense","Department of the Army","University of Vermont",12096.64,345242
"Department of Defense","Department of the Army","University of Virginia",1180447.94,5936559
"Department of Defense","Department of the Army","University of Washington",3305025.58,26333746
"Department of Defense","Department of the Army","University of Wisconsin-Madison",138296,13004856
"Department of Defense","Department of the Army","Upstate Medical University",835000,539500
"Department of Defense","Department of the Army","Utah State University",350657.37,330902
"Department of Defense","Department of the Army","Vanderbilt University",200000,19655700
"Department of Defense","Department of the Army","Virginia Polytechnic Institute and State University",802271.32,6127719
"Department of Defense","Department of the Army","Wake Forest University",72262.6,11836790
"Department of Defense","Department of the Army","Washington State University",362827,5046329
"Department of Defense","Department of the Army","Wesley Theological Seminary",123350,NA
"Department of Defense","Department of the Army","West Virginia University",24995,549883
"Department of Defense","Department of the Army","Westmoreland County Community College",-3502.5,NA
"Department of Defense","Department of the Army","Wichita State University",69970,2577914
"Department of Defense","Department of the Army","William Carey University",35171.5,NA
"Department of Defense","Department of the Army","Worcester Polytechnic Institute",773981,2825000
"Department of Defense","Department of the Navy","A T Still University of Health Sciences",1467225.94,NA
"Department of Defense","Department of the Navy","Adler University",5655,NA
"Department of Defense","Department of the Navy","Alabama College of Osteopathic Medicine",516012,NA
"Department of Defense","Department of the Navy","Albany Medical College",150224,NA
"Department of Defense","Department of the Navy","Alfred University",2500,994650
"Department of Defense","Department of the Navy","American University",82046,85379
"Department of Defense","Department of the Navy","Arizona State University-Tempe",2137448.02,8889768
"Department of Defense","Department of the Navy","Auburn University",1318707.5,596065
"Department of Defense","Department of the Navy","Augusta University",166966.04,NA
"Department of Defense","Department of the Navy","Baylor College of Medicine",12726.25,NA
"Department of Defense","Department of the Navy","Baylor University",71151,441754
"Department of Defense","Department of the Navy","Boston College",1211280,303581
"Department of Defense","Department of the Navy","Boston University",837127.62,4083590
"Department of Defense","Department of the Navy","Bucks County Community College",411147.2,NA
"Department of Defense","Department of the Navy","California Institute of Technology",1452208.57,6101673
"Department of Defense","Department of the Navy","California State University Maritime Academy",9188,NA
"Department of Defense","Department of the Navy","Camden County College",5900,NA
"Department of Defense","Department of the Navy","Campbell University",693258.78,NA
"Department of Defense","Department of the Navy","Carnegie Mellon University",2206886,11799650
"Department of Defense","Department of the Navy","Case Western Reserve University",429695.81,2010989
"Department of Defense","Department of the Navy","Catholic University of America",242820,138652
"Department of Defense","Department of the Navy","Central Michigan University",169219.97,NA
"Department of Defense","Department of the Navy","Central Texas College",4835627.26,NA
"Department of Defense","Department of the Navy","Christopher Newport University",250,NA
"Department of Defense","Department of the Navy","Citadel Military College of South Carolina",1152924.04,10925
"Department of Defense","Department of the Navy","Clemson University",203802.88,3550062
"Department of Defense","Department of the Navy","Coastal Carolina Community College",48503.24,NA
"Department of Defense","Department of the Navy","College of Southern Maryland",78885,NA
"Department of Defense","Department of the Navy","College of William and Mary",81158,443208
"Department of Defense","Department of the Navy","Colorado School of Mines",27618.06,828036
"Department of Defense","Department of the Navy","Colorado State University-Fort Collins",41003.08,3041459
"Department of Defense","Department of the Navy","Columbia University in the City of New York",1089789.18,5193943
"Department of Defense","Department of the Navy","Cornell University",159031.43,7562867
"Department of Defense","Department of the Navy","Creighton University",1030471.46,185644
"Department of Defense","Department of the Navy","Dartmouth College",363978.07,1065955
"Department of Defense","Department of the Navy","Des Moines University-Osteopathic Medical Center",636267.35,NA
"Department of Defense","Department of the Navy","Drexel University",467031.88,418915
"Department of Defense","Department of the Navy","Duke University",1625935.87,5438739
"Department of Defense","Department of the Navy","East Carolina University",97401.23,170023
"Department of Defense","Department of the Navy","East Tennessee State University",158864.13,NA
"Department of Defense","Department of the Navy","Eastern Kentucky University",9971,NA
"Department of Defense","Department of the Navy","Eastern Michigan University",-23724.28,NA
"Department of Defense","Department of the Navy","Eastern Virginia Medical School",1132329,NA
"Department of Defense","Department of the Navy","Edward Via College of Osteopathic Medicine",2039201,NA
"Department of Defense","Department of the Navy","Embry-Riddle Aeronautical University",2875133.92,410000
"Department of Defense","Department of the Navy","Emory University",195690.32,1051998
"Department of Defense","Department of the Navy","Fisk University",146800,NA
"Department of Defense","Department of the Navy","Florida Agricultural and Mechanical University",4880,30000
"Department of Defense","Department of the Navy","Florida Atlantic University",255279.5,473731
"Department of Defense","Department of the Navy","Florida Institute of Technology",10141,320857
"Department of Defense","Department of the Navy","Florida International University",263269.87,859521
"Department of Defense","Department of the Navy","Florida State University",4979329.19,6030930
"Department of Defense","Department of the Navy","Fuller Theological Seminary in California",2436.15,NA
"Department of Defense","Department of the Navy","Gannon University",80684,NA
"Department of Defense","Department of the Navy","George Mason University",2391384.15,4456693
"Department of Defense","Department of the Navy","George Washington University",4609310.71,2148452
"Department of Defense","Department of the Navy","Georgetown University",1549090.76,6164565
"Department of Defense","Department of the Navy","Georgia Institute of Technology-Main Campus",48649379.16,13831105
"Department of Defense","Department of the Navy","Gulf Coast State College",7568.55,NA
"Department of Defense","Department of the Navy","Hampton University",500,NA
"Department of Defense","Department of the Navy","Hazelden Betty Ford Graduate School of Addiction Studies",829832.68,NA
"Department of Defense","Department of the Navy","Hobart Institute of Welding Technology",9910,NA
"Department of Defense","Department of the Navy","Hofstra University",130495.22,NA
"Department of Defense","Department of the Navy","Holy Cross College",1305145,NA
"Department of Defense","Department of the Navy","Howard University",490304.2,75743
"Department of Defense","Department of the Navy","Icahn School of Medicine at Mount Sinai",136279,NA
"Department of Defense","Department of the Navy","Idaho State University",4037,NA
"Department of Defense","Department of the Navy","Indiana University-Bloomington",151199.17,318988
"Department of Defense","Department of the Navy","Indiana University-Purdue University-Indianapolis",849636.69,NA
"Department of Defense","Department of the Navy","Iowa State University",769694.37,1228320
"Department of Defense","Department of the Navy","Jacksonville University",1560483.06,NA
"Department of Defense","Department of the Navy","Johns Hopkins University",590988298.36,5766519
"Department of Defense","Department of the Navy","Kansas City University of Medicine and Biosciences",685854.54,NA
"Department of Defense","Department of the Navy","Kansas State University",151798,111000
"Department of Defense","Department of the Navy","Kent State University at Kent",50000,NA
"Department of Defense","Department of the Navy","Lake Erie College of Osteopathic Medicine",1476902.02,NA
"Department of Defense","Department of the Navy","Liberty University",486165,NA
"Department of Defense","Department of the Navy","Lincoln Memorial University",558850.4,NA
"Department of Defense","Department of the Navy","Loma Linda University",667496.47,NA
"Department of Defense","Department of the Navy","Louisiana State University",303106.39,34000
"Department of Defense","Department of the Navy","Louisiana Universities Marine Consortium",101900,NA
"Department of Defense","Department of the Navy","Loyola University Chicago",182975.38,NA
"Department of Defense","Department of the Navy","Macalester College",26247,NA
"Department of Defense","Department of the Navy","Marian University",664522,NA
"Department of Defense","Department of the Navy","Marquette University",1389054.12,NA
"Department of Defense","Department of the Navy","Marshall B Ketchum University",48161,NA
"Department of Defense","Department of the Navy","Marshall University",217291,NA
"Department of Defense","Department of the Navy","Massachusetts Institute of Technology",26701493.71,13370576
"Department of Defense","Department of the Navy","Massachusetts Maritime Academy",85944,NA
"Department of Defense","Department of the Navy","Mayo Clinic School of Medicine",9044216,140000
"Department of Defense","Department of the Navy","Medical University of South Carolina",1864235.01,81957
"Department of Defense","Department of the Navy","Meharry Medical College",619769.42,NA
"Department of Defense","Department of the Navy","Mercer University",577772.38,NA
"Department of Defense","Department of the Navy","Miami University-Oxford",519444.34,NA
"Department of Defense","Department of the Navy","Michigan State University",990813.34,3779209
"Department of Defense","Department of the Navy","Middlebury College",229585,-65870
"Department of Defense","Department of the Navy","Midwestern University-Glendale",3562419.2,NA
"Department of Defense","Department of the Navy","Morehouse School of Medicine",229198.36,NA
"Department of Defense","Department of the Navy","Morgan State University",150000,NA
"Department of Defense","Department of the Navy","Murray State University",16263.01,NA
"Department of Defense","Department of the Navy","National University",18000,NA
"Department of Defense","Department of the Navy","New Mexico Institute of Mining and Technology",30198.9,NA
"Department of Defense","Department of the Navy","New Mexico State University-Main Campus",2755777.46,305939
"Department of Defense","Department of the Navy","New York Institute of Technology",849613.74,NA
"Department of Defense","Department of the Navy","New York Medical College",235638.98,NA
"Department of Defense","Department of the Navy","New York University",881984.12,846329
"Department of Defense","Department of the Navy","North Carolina State University at Raleigh",13089.8,5538360
"Department of Defense","Department of the Navy","Northeast Ohio Medical University",171213.5,NA
"Department of Defense","Department of the Navy","Northeastern University",88772,1950580
"Department of Defense","Department of the Navy","Northern Virginia Community College",78092.79,NA
"Department of Defense","Department of the Navy","Northwestern University",1236530,6156162
"Department of Defense","Department of the Navy","Norwich University",1446279,NA
"Department of Defense","Department of the Navy","Nova Southeastern University",602128.77,2514001
"Department of Defense","Department of the Navy","Oakland University",209268.44,NA
"Department of Defense","Department of the Navy","Ohio State University",1312209.09,4697693
"Department of Defense","Department of the Navy","Oklahoma State University",109587.59,190000
"Department of Defense","Department of the Navy","Old Dominion University",757234.1,799350
"Department of Defense","Department of the Navy","Olympic College",2140851.89,NA
"Department of Defense","Department of the Navy","Oregon Health & Science University",406546.07,NA
"Department of Defense","Department of the Navy","Oregon State University",1055226.01,6811861
"Department of Defense","Department of the Navy","Pacific Northwest University of Health Sciences",272680.92,NA
"Department of Defense","Department of the Navy","Pacific University",101133.23,NA
"Department of Defense","Department of the Navy","Pennsylvania State University",208507594,8204743
"Department of Defense","Department of the Navy","Pensacola State College",218484.59,NA
"Department of Defense","Department of the Navy","Philadelphia College of Osteopathic Medicine",1107792.08,NA
"Department of Defense","Department of the Navy","Philadelphia University",98223.35,NA
"Department of Defense","Department of the Navy","Point Loma Nazarene University",92510,NA
"Department of Defense","Department of the Navy","Princeton University",649495,3844183
"Department of Defense","Department of the Navy","Purdue University-Main Campus",2691055.7,9507777
