"family","program_title","agency","subagency","Recipient","obligation"
"Academic Exchange Programs","Professional and Cultural Exchange Programs - Citizen Exchanges","Department of State","Department of State","Indiana University-Bloomington",190000
"Academic Exchange Programs","Professional and Cultural Exchange Programs - Citizen Exchanges","Department of State","Department of State","Michigan State University",529460
"Academic Exchange Programs","Professional and Cultural Exchange Programs - Citizen Exchanges","Department of State","Department of State","Northern Illinois University",702602
"Academic Exchange Programs","Professional and Cultural Exchange Programs - Citizen Exchanges","Department of State","Department of State","Purdue University-Main Campus",250000
"Academic Exchange Programs","Professional and Cultural Exchange Programs - Citizen Exchanges","Department of State","Department of State","SIT Graduate Institute",11846675
"Academic Exchange Programs","Professional and Cultural Exchange Programs - Citizen Exchanges","Department of State","Department of State","Smith College",-46477
"Academic Exchange Programs","Professional and Cultural Exchange Programs - Citizen Exchanges","Department of State","Department of State","The University of Montana",799194
"Academic Exchange Programs","Professional and Cultural Exchange Programs - Citizen Exchanges","Department of State","Department of State","The University of Tennessee-Knoxville",1085831
"Academic Exchange Programs","Professional and Cultural Exchange Programs - Citizen Exchanges","Department of State","Department of State","University of Iowa",840000
"Academic Exchange Programs","Professional and Cultural Exchange Programs - Citizen Exchanges","Department of State","Department of State","University of North Carolina at Chapel Hill",-60113
"Academic Exchange Programs","Professional and Cultural Exchange Programs - Citizen Exchanges","Department of State","Department of State","University of Oklahoma-Norman Campus",950000
"Academic Exchange Programs","Professional and Cultural Exchange Programs - Citizen Exchanges","Department of State","Department of State","University of Southern California",2250000
"Academic Exchange Programs","Professional and Cultural Exchange Programs - Citizen Exchanges","Department of State","Department of State","Wake Forest University",250000
"Academic Exchange Programs","Professional and Cultural Exchange Programs - International Visitor Leadership Program","Department of State","Department of State","SIT Graduate Institute",8608663
"Academic Exchange Programs","Professional and Cultural Exchange Programs - Special Professional and Cultural Programs","Department of State","Department of State","SIT Graduate Institute",125000
"Academic Exchange Programs","Professional and Cultural Exchange Programs - Special Professional and Cultural Programs","Department of State","Department of State","University of Virginia",287500
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Albany College of Pharmacy and Health Sciences",1037084
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","American University",169287
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Arizona State University-Tempe",1060431
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Auburn University",-11258
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Boise State University",198529
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Boston University",7327178
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Brandeis University",422917
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Brown University",9041988
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","California State University-Dominguez Hills",173223
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Carnegie Mellon University",383011
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Case Western Reserve University",4571460
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Catholic University of America",214357
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Columbia University in the City of New York",3234316
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Cornell University",763319
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","CUNY Brooklyn College",192969
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Dartmouth College",656721
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","DePaul University",610905
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Drexel University",388641
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Duke University",1876290
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","East Carolina University",385314
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","East Tennessee State University",342429
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Elmezzi Graduate School of Molecular Medicine",836795
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Emory University",3647145
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Florida International University",916359
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Florida State University",391837
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","George Mason University",115220
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","George Washington University",469512
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Georgetown University",198722
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Georgia State University",532046
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Harvard University",947540
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Icahn School of Medicine at Mount Sinai",1738860
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Indiana University-Bloomington",10955516
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Irell & Manella Graduate School of Biological Sciences at City of Hope",314182
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Johns Hopkins University",4961681
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Lehigh University",226180
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Louisiana State University",7361152
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Loyola Marymount University",653457
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Loyola University Chicago",1279826
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Marquette University",-66585
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Massachusetts General Hospital Dietetic Internship",2582185
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Mayo Clinic School of Medicine",3367520
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Medical University of South Carolina",9466724
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Michigan State University",209250
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Michigan Technological University",364534
