"source","target","value"
"Health Resources and Services Administration","Rutgers University-New Brunswick",14557885
"Health Resources and Services Administration","University of North Carolina at Chapel Hill",14408920
"Immediate Office of the Secretary of Transportation","Carnegie Mellon University",2833700
"Immediate Office of the Secretary of Transportation","Portland State University",2833700
"Immediate Office of the Secretary of Transportation","University of California-Davis",2833700
"Immediate Office of the Secretary of Transportation","University of North Carolina at Chapel Hill",2833700
"Immediate Office of the Secretary of Transportation","Virginia Polytechnic Institute and State University",2833700
"Indian Health Service","Oklahoma State University",2858381.73
"Indian Health Service","University of California-San Francisco",2515518.95
"Indian Health Service","University of North Dakota",1278132
"Indian Health Service","University of New Mexico-Main Campus",1260889.6
"Indian Health Service","Johns Hopkins University",1193420
"Institute of Museum and Library Services","University of Georgia",4638552
"Institute of Museum and Library Services","Thomas Edison State University",4320859
"Institute of Museum and Library Services","Indiana University-Bloomington",1664413
"Institute of Museum and Library Services","University of Michigan-Ann Arbor",1350461
"Institute of Museum and Library Services","University of California-Berkeley",1337179
"Insular Affairs","American Samoa Community College",1384234
"Insular Affairs","University of Hawaii at Manoa",497738
"Insular Affairs","Nova Southeastern University",199617.83
"Internal Revenue Service","University of Illinois at Urbana-Champaign",221999
"Internal Revenue Service","California State University-Northridge",188000
"Internal Revenue Service","American University",100000
"Internal Revenue Service","California Polytechnic State University-San Luis Obispo",100000
"Internal Revenue Service","Chapman University",100000
"International Boundary and Water Commission: U.S.-Mexico","University of Colorado Boulder",6560
"International Boundary and Water Commission: U.S.-Mexico","Laredo Community College",3000
"International Trade Administration","Purdue University-Main Campus",117930.83
"International Trade Commission","George Mason University",69843.78
"International Trade Commission","Purdue University-Main Campus",20435
"Maritime Administration","California State University Maritime Academy",443296.74
"Maritime Administration","Massachusetts Maritime Academy",411750
"Maritime Administration","Maine Maritime Academy",309000
"Maritime Administration","SUNY Maritime College",215661.68
"Maritime Administration","Northwestern Michigan College",172000
"Millennium Challenge Corporation","Pardee RAND Graduate School",408566
"Millennium Challenge Corporation","Harvard University",51613
"Millennium Challenge Corporation","Columbia University in the City of New York",6350
"Mine Safety and Health Administration","The University of Texas at Austin",509459.06
"Mine Safety and Health Administration","Vincennes University",260255.77
"Mine Safety and Health Administration","Michigan Technological University",252812
"Mine Safety and Health Administration","Bevill State Community College",242189
"Mine Safety and Health Administration","Utah State University",227914
"Minority Business Development Agency","Houston Community College",821775
"Minority Business Development Agency","Tougaloo College",695412
"Minority Business Development Agency","The University of Texas at San Antonio",577066
"Minority Business Development Agency","Georgia Institute of Technology-Main Campus",569088
"Minority Business Development Agency","Clark Atlanta University",499497
"Missile Defense Agency","Johns Hopkins University",123290763.84
"Missile Defense Agency","Utah State University",26037130.99
"Missile Defense Agency","Georgia Institute of Technology-Main Campus",23373415.5
"Missile Defense Agency","Massachusetts Institute of Technology",7026334
"Missile Defense Agency","University of Alabama in Huntsville",760973.35
"National Aeronautics and Space Administration","California Institute of Technology",2426194273.89
