"agency","subagency","Recipient","family","type","obligation"
"Department of Defense","Department of the Army","Augusta University","Defense R&D","research grant",56814
"Department of Defense","Department of the Army","Augusta University","EDUCATION & TRAINING SERVICES","contract",29512
"Department of Defense","Department of the Army","Augusta University","Medical R&D","grant",1885516
"Department of Defense","Department of the Army","Augusta University","PROFESSIONAL SERVICES","contract",31440
"Department of Defense","Department of the Army","Ball State University","Medical R&D","grant",-24756
"Department of Defense","Department of the Army","Barry University","Defense R&D","grant",-147
"Department of Defense","Department of the Army","Barry University","Defense R&D","research grant",-147
"Department of Defense","Department of the Army","Barton County Community College","EDUCATION & TRAINING SERVICES","contract",-76309.2
"Department of Defense","Department of the Army","Baylor College of Medicine","Medical R&D","grant",16581637
"Department of Defense","Department of the Army","Baylor University","Defense R&D","grant",265000
"Department of Defense","Department of the Army","Baylor University","Defense R&D","research grant",265000
"Department of Defense","Department of the Army","Baylor University","EDUCATION & TRAINING SERVICES","contract",828620.84
"Department of Defense","Department of the Army","Baylor University","PROFESSIONAL SERVICES","contract",-87650.64
"Department of Defense","Department of the Army","Benedict College","Science, Engineering, and Mathematics","grant",549738
"Department of Defense","Department of the Army","Benedict College","Science, Engineering, and Mathematics","research grant",549738
"Department of Defense","Department of the Army","Boise State University","Defense R&D","grant",102421
"Department of Defense","Department of the Army","Boise State University","Defense R&D","research grant",102421
"Department of Defense","Department of the Army","Boise State University","ENVIRONMENTAL PROTECTION R&D","contract",387961
"Department of Defense","Department of the Army","Boise State University","Science, Engineering, and Mathematics","grant",523051
"Department of Defense","Department of the Army","Boise State University","Science, Engineering, and Mathematics","research grant",523051
"Department of Defense","Department of the Army","Boston College","Defense R&D","grant",95186
"Department of Defense","Department of the Army","Boston College","Defense R&D","research grant",95186
"Department of Defense","Department of the Army","Boston College","Medical R&D","grant",626000
"Department of Defense","Department of the Army","Boston University","Defense R&D","grant",1869299
"Department of Defense","Department of the Army","Boston University","Defense R&D","research grant",1869299
"Department of Defense","Department of the Army","Boston University","Medical R&D","grant",5306012
"Department of Defense","Department of the Army","Boston University","PROFESSIONAL SERVICES","contract",-3629.15
"Department of Defense","Department of the Army","Bowie State University","Defense R&D","grant",-5701
"Department of Defense","Department of the Army","Bowie State University","Defense R&D","research grant",-5701
"Department of Defense","Department of the Army","Bowie State University","Science, Engineering, and Mathematics","grant",590877
"Department of Defense","Department of the Army","Bowie State University","Science, Engineering, and Mathematics","research grant",590877
"Department of Defense","Department of the Army","Bowling Green State University-Main Campus","TRAVEL, LODGING, & RECRUITMENT SERVICES","contract",29296.58
"Department of Defense","Department of the Army","Brandeis University","Defense R&D","grant",125000
"Department of Defense","Department of the Army","Brandeis University","Defense R&D","research grant",125000
"Department of Defense","Department of the Army","Brigham Young University-Provo","Defense R&D","grant",-2480
"Department of Defense","Department of the Army","Brigham Young University-Provo","Defense R&D","research grant",-2480
"Department of Defense","Department of the Army","Brigham Young University-Provo","Science, Engineering, and Mathematics","grant",419604
"Department of Defense","Department of the Army","Brigham Young University-Provo","Science, Engineering, and Mathematics","research grant",419604
"Department of Defense","Department of the Army","Brown University","DEFENSE (OTHER) R&D","contract",166500
"Department of Defense","Department of the Army","Brown University","Defense R&D","grant",6597543
"Department of Defense","Department of the Army","Brown University","Defense R&D","research grant",6597543
"Department of Defense","Department of the Army","Brown University","ENVIRONMENTAL PROTECTION R&D","contract",378414
"Department of Defense","Department of the Army","Brown University","Medical R&D","grant",646422
"Department of Defense","Department of the Army","Bucks County Community College","EDUCATION & TRAINING SERVICES","contract",215995
"Department of Defense","Department of the Army","Bucks County Community College","EQUIPMENT & MATERIALS TESTING","contract",11240
"Department of Defense","Department of the Army","California Institute of Technology","Defense R&D","grant",4987112
"Department of Defense","Department of the Army","California Institute of Technology","Defense R&D","research grant",4987112
"Department of Defense","Department of the Army","California Institute of Technology","SPACE R&D","contract",617314.3
"Department of Defense","Department of the Army","California State University-Bakersfield","Science, Engineering, and Mathematics","grant",-2720
"Department of Defense","Department of the Army","California State University-Bakersfield","Science, Engineering, and Mathematics","research grant",-2720
"Department of Defense","Department of the Army","California State University-Northridge","Defense R&D","grant",321827
"Department of Defense","Department of the Army","California State University-Northridge","Defense R&D","research grant",321827
"Department of Defense","Department of the Army","California State University-Northridge","Science, Engineering, and Mathematics","grant",599757
"Department of Defense","Department of the Army","California State University-Northridge","Science, Engineering, and Mathematics","research grant",599757
"Department of Defense","Department of the Army","Calvin College","Medical R&D","grant",290762
"Department of Defense","Department of the Army","Carnegie Mellon University","DEFENSE (OTHER) R&D","contract",46909
"Department of Defense","Department of the Army","Carnegie Mellon University","Defense R&D","grant",2331023
"Department of Defense","Department of the Army","Carnegie Mellon University","Defense R&D","research grant",2331023
"Department of Defense","Department of the Army","Carnegie Mellon University","OTHER R&D","contract",212379
"Department of Defense","Department of the Army","Carnegie Mellon University","Science, Engineering, and Mathematics","grant",7486641
"Department of Defense","Department of the Army","Carnegie Mellon University","Science, Engineering, and Mathematics","research grant",7486641
"Department of Defense","Department of the Army","Case Western Reserve University","Defense R&D","grant",92500
"Department of Defense","Department of the Army","Case Western Reserve University","Defense R&D","research grant",92500
"Department of Defense","Department of the Army","Case Western Reserve University","GEN. SCIENCE & TECHNOLOGY R&D","contract",250000
"Department of Defense","Department of the Army","Case Western Reserve University","Medical R&D","grant",3849913
"Department of Defense","Department of the Army","Central Texas College","EDUCATION & TRAINING SERVICES","contract",1755889.34
"Department of Defense","Department of the Army","Claremont Graduate University","Defense R&D","grant",49990
"Department of Defense","Department of the Army","Claremont Graduate University","Defense R&D","research grant",49990
"Department of Defense","Department of the Army","Clark Atlanta University","Science, Engineering, and Mathematics","grant",599808
"Department of Defense","Department of the Army","Clark Atlanta University","Science, Engineering, and Mathematics","research grant",599808
"Department of Defense","Department of the Army","Clarkson University","Defense R&D","grant",289000
"Department of Defense","Department of the Army","Clarkson University","Defense R&D","research grant",289000
"Department of Defense","Department of the Army","Clarkson University","ENVIRONMENTAL PROTECTION R&D","contract",464255
"Department of Defense","Department of the Army","Clemson University","Defense R&D","grant",302485
"Department of Defense","Department of the Army","Clemson University","Defense R&D","research grant",302485
"Department of Defense","Department of the Army","Clemson University","ENVIRONMENTAL PROTECTION R&D","contract",378068.13
"Department of Defense","Department of the Army","Clemson University","LEASE & RENTAL OF BUILDINGS","contract",61707.96
"Department of Defense","Department of the Army","Clemson University","Science, Engineering, and Mathematics","grant",251933
"Department of Defense","Department of the Army","Clemson University","Science, Engineering, and Mathematics","research grant",251933
"Department of Defense","Department of the Army","Cleveland Clinic Health System-School of Diagnostic Imaging","Medical R&D","grant",5069467
"Department of Defense","Department of the Army","Clover Park Technical College","EDUCATION & TRAINING SERVICES","contract",367155.62
"Department of Defense","Department of the Army","College of William and Mary","Defense R&D","grant",154101
"Department of Defense","Department of the Army","College of William and Mary","Defense R&D","research grant",154101
"Department of Defense","Department of the Army","College of William and Mary","Science, Engineering, and Mathematics","grant",194507
"Department of Defense","Department of the Army","College of William and Mary","Science, Engineering, and Mathematics","research grant",194507
"Department of Defense","Department of the Army","Colorado College","Defense R&D","grant",71211
"Department of Defense","Department of the Army","Colorado College","Defense R&D","research grant",71211
"Department of Defense","Department of the Army","Colorado Mesa University","MANAGEMENT SUPPORT SERVICES","contract",12000
"Department of Defense","Department of the Army","Colorado School of Mines","Defense R&D","grant",770014
"Department of Defense","Department of the Army","Colorado School of Mines","Defense R&D","research grant",770014
"Department of Defense","Department of the Army","Colorado School of Mines","ENVIRONMENTAL PROTECTION R&D","contract",1147541
"Department of Defense","Department of the Army","Colorado State University-Fort Collins","Defense R&D","grant",184394
"Department of Defense","Department of the Army","Colorado State University-Fort Collins","Defense R&D","research grant",184394
"Department of Defense","Department of the Army","Colorado State University-Fort Collins","ENVIRONMENTAL PROTECTION R&D","contract",511231
"Department of Defense","Department of the Army","Colorado State University-Fort Collins","Historic Sites","grant",181501
"Department of Defense","Department of the Army","Colorado State University-Fort Collins","Homeland Security","grant",18262530
"Department of Defense","Department of the Army","Colorado State University-Fort Collins","Medical R&D","grant",1625152
"Department of Defense","Department of the Army","Colorado State University-Fort Collins","OTHER MEDICAL SERVICES","contract",8630.56
"Department of Defense","Department of the Army","Colorado State University-Fort Collins","Science, Engineering, and Mathematics","grant",27781610
"Department of Defense","Department of the Army","Colorado State University-Fort Collins","Science, Engineering, and Mathematics","research grant",27781610
"Department of Defense","Department of the Army","Columbia University in the City of New York","Defense R&D","grant",3594378
"Department of Defense","Department of the Army","Columbia University in the City of New York","Defense R&D","research grant",3594378
"Department of Defense","Department of the Army","Columbia University in the City of New York","EDUCATION & TRAINING SERVICES","contract",165138
"Department of Defense","Department of the Army","Columbia University in the City of New York","Medical R&D","grant",6919404
"Department of Defense","Department of the Army","Columbia University in the City of New York","Science, Engineering, and Mathematics","grant",100000
"Department of Defense","Department of the Army","Columbia University in the City of New York","Science, Engineering, and Mathematics","research grant",100000
"Department of Defense","Department of the Army","Columbus State University","TRAVEL, LODGING, & RECRUITMENT SERVICES","contract",121286.5
"Department of Defense","Department of the Army","Cornell University","Defense R&D","grant",4065090
"Department of Defense","Department of the Army","Cornell University","Defense R&D","research grant",4065090
"Department of Defense","Department of the Army","Cornell University","ENVIRONMENTAL PROTECTION R&D","contract",176148
"Department of Defense","Department of the Army","Cornell University","Medical R&D","grant",15962951
"Department of Defense","Department of the Army","Cornell University","MEDICAL R&D","contract",48012.26
"Department of Defense","Department of the Army","Cornell University","Science, Engineering, and Mathematics","grant",463945
"Department of Defense","Department of the Army","Cornell University","Science, Engineering, and Mathematics","research grant",463945
"Department of Defense","Department of the Army","Creighton University","Medical R&D","grant",1402380
"Department of Defense","Department of the Army","CUNY Advanced Science Research Center","Defense R&D","grant",383499
"Department of Defense","Department of the Army","CUNY Advanced Science Research Center","Defense R&D","research grant",383499
"Department of Defense","Department of the Army","CUNY City College","Defense R&D","grant",-127850
"Department of Defense","Department of the Army","CUNY City College","Defense R&D","research grant",-127850
"Department of Defense","Department of the Army","CUNY City College","Science, Engineering, and Mathematics","grant",7500
"Department of Defense","Department of the Army","CUNY City College","Science, Engineering, and Mathematics","research grant",7500
"Department of Defense","Department of the Army","CUNY Hunter College","Medical R&D","grant",234000
"Department of Defense","Department of the Army","CUNY New York City College of Technology","Science, Engineering, and Mathematics","grant",600000
"Department of Defense","Department of the Army","CUNY New York City College of Technology","Science, Engineering, and Mathematics","research grant",600000
"Department of Defense","Department of the Army","Dartmouth College","Defense R&D","grant",220000
"Department of Defense","Department of the Army","Dartmouth College","Defense R&D","research grant",220000
"Department of Defense","Department of the Army","Dartmouth College","ENVIRONMENTAL PROTECTION R&D","contract",93208.49
"Department of Defense","Department of the Army","Dartmouth College","Medical R&D","grant",1416942
"Department of Defense","Department of the Army","Dartmouth College","OTHER R&D","contract",135000
"Department of Defense","Department of the Army","Delaware State University","Science, Engineering, and Mathematics","grant",1189264
"Department of Defense","Department of the Army","Delaware State University","Science, Engineering, and Mathematics","research grant",1189264
"Department of Defense","Department of the Army","Drexel University","Defense R&D","grant",656067
"Department of Defense","Department of the Army","Drexel University","Defense R&D","research grant",656067
"Department of Defense","Department of the Army","Drexel University","ENVIRONMENTAL PROTECTION R&D","contract",199677
"Department of Defense","Department of the Army","Drexel University","Medical R&D","grant",1556540
"Department of Defense","Department of the Army","Duke University","Defense R&D","grant",8039665
"Department of Defense","Department of the Army","Duke University","Defense R&D","research grant",8039665
"Department of Defense","Department of the Army","Duke University","ENVIRONMENTAL PROTECTION R&D","contract",772041
"Department of Defense","Department of the Army","Duke University","Medical R&D","grant",15862920
"Department of Defense","Department of the Army","Duke University","MEDICAL R&D","contract",1206534
"Department of Defense","Department of the Army","Duke University","MEDICAL, DENTAL, & SURGICAL SERVICES","contract",-2576.64
"Department of Defense","Department of the Army","Duke University","OTHER R&D","contract",-2361.37
"Department of Defense","Department of the Army","Duke University","Science, Engineering, and Mathematics","grant",434422
"Department of Defense","Department of the Army","Duke University","Science, Engineering, and Mathematics","research grant",434422
"Department of Defense","Department of the Army","Duke University","SPECIALIZED TECHNICAL & MEDICAL SUPPORT","contract",3500
"Department of Defense","Department of the Army","Duquesne University","Medical R&D","grant",100791
"Department of Defense","Department of the Army","East Carolina University","PROFESSIONAL SERVICES","contract",20000
"Department of Defense","Department of the Army","Eastern Iowa Community College District","EDUCATION & TRAINING SERVICES","contract",4650
"Department of Defense","Department of the Army","Eastern Kentucky University","NATURAL RESOURCES - OTHER SERVICES","contract",18500
"Department of Defense","Department of the Army","Eastern Michigan University","ENVIRONMENTAL PROTECTION R&D","contract",245786
"Department of Defense","Department of the Army","Eastern Virginia Medical School","Medical R&D","grant",900000
"Department of Defense","Department of the Army","Elmezzi Graduate School of Molecular Medicine","Medical R&D","grant",1821065
"Department of Defense","Department of the Army","Emory University","Defense R&D","grant",396523
"Department of Defense","Department of the Army","Emory University","Defense R&D","research grant",396523
"Department of Defense","Department of the Army","Emory University","Medical R&D","grant",4146691
"Department of Defense","Department of the Army","Emory University","MEDICAL R&D","contract",291190
"Department of Defense","Department of the Army","Fayetteville State University","EDUCATION & TRAINING SERVICES","contract",-56297.7
"Department of Defense","Department of the Army","Fayetteville State University","Science, Engineering, and Mathematics","grant",566252
"Department of Defense","Department of the Army","Fayetteville State University","Science, Engineering, and Mathematics","research grant",566252
"Department of Defense","Department of the Army","Fayetteville Technical Community College","EDUCATION & TRAINING SERVICES","contract",172350
"Department of Defense","Department of the Army","Florida Agricultural and Mechanical University","Defense R&D","grant",-4076
"Department of Defense","Department of the Army","Florida Agricultural and Mechanical University","Defense R&D","research grant",-4076
"Department of Defense","Department of the Army","Florida Atlantic University","Defense R&D","grant",130829
"Department of Defense","Department of the Army","Florida Atlantic University","Defense R&D","research grant",130829
"Department of Defense","Department of the Army","Florida Atlantic University","Homeland Security","grant",104201
"Department of Defense","Department of the Army","Florida Atlantic University","HOUSEKEEPING SERVICES","contract",138645
"Department of Defense","Department of the Army","Florida Atlantic University","Science, Engineering, and Mathematics","grant",518415
"Department of Defense","Department of the Army","Florida Atlantic University","Science, Engineering, and Mathematics","research grant",518415
"Department of Defense","Department of the Army","Florida Gulf Coast University","EDUCATION & TRAINING SERVICES","contract",62973.02
"Department of Defense","Department of the Army","Florida Institute of Technology","Defense R&D","grant",109466
"Department of Defense","Department of the Army","Florida Institute of Technology","Defense R&D","research grant",109466
"Department of Defense","Department of the Army","Florida International University","Defense R&D","grant",188383
"Department of Defense","Department of the Army","Florida International University","Defense R&D","research grant",188383
"Department of Defense","Department of the Army","Florida International University","Homeland Security","grant",188748
"Department of Defense","Department of the Army","Florida International University","Medical R&D","grant",329616
"Department of Defense","Department of the Army","Florida International University","Science, Engineering, and Mathematics","grant",1242989
"Department of Defense","Department of the Army","Florida International University","Science, Engineering, and Mathematics","research grant",1242989
"Department of Defense","Department of the Army","Florida Polytechnic University","ENVIRONMENTAL PROTECTION R&D","contract",158592
"Department of Defense","Department of the Army","Florida State University","DEFENSE (OTHER) R&D","contract",64847
"Department of Defense","Department of the Army","Florida State University","Defense R&D","grant",299681
"Department of Defense","Department of the Army","Florida State University","Defense R&D","research grant",299681
"Department of Defense","Department of the Army","Florida State University","Medical R&D","grant",1015214
"Department of Defense","Department of the Army","Framingham State University","Defense R&D","grant",45650
"Department of Defense","Department of the Army","Framingham State University","Defense R&D","research grant",45650
"Department of Defense","Department of the Army","GateWay Community College","EDUCATION & TRAINING SERVICES","contract",62070
"Department of Defense","Department of the Army","George Mason University","DEFENSE (OTHER) R&D","contract",101276
"Department of Defense","Department of the Army","George Mason University","Defense R&D","grant",1021885
"Department of Defense","Department of the Army","George Mason University","Defense R&D","research grant",1021885
"Department of Defense","Department of the Army","George Mason University","Medical R&D","grant",506240
"Department of Defense","Department of the Army","George Mason University","MEDICAL R&D","contract",75477.52
"Department of Defense","Department of the Army","George Mason University","Science, Engineering, and Mathematics","grant",786548
"Department of Defense","Department of the Army","George Mason University","Science, Engineering, and Mathematics","research grant",786548
"Department of Defense","Department of the Army","George Washington University","Defense R&D","grant",3261687
"Department of Defense","Department of the Army","George Washington University","Defense R&D","research grant",3261687
"Department of Defense","Department of the Army","George Washington University","Medical R&D","grant",4891517
"Department of Defense","Department of the Army","Georgetown University","Defense R&D","grant",155945
"Department of Defense","Department of the Army","Georgetown University","Defense R&D","research grant",155945
"Department of Defense","Department of the Army","Georgetown University","LABORATORY TESTING SERVICES","contract",95401
"Department of Defense","Department of the Army","Georgetown University","Medical R&D","grant",1342309
"Department of Defense","Department of the Army","Georgetown University","MEDICAL R&D","contract",150000
"Department of Defense","Department of the Army","Georgetown University","PROFESSIONAL SERVICES","contract",230745.72
"Department of Defense","Department of the Army","Georgia Institute of Technology-Main Campus","DEFENSE (OTHER) R&D","contract",264392.09
"Department of Defense","Department of the Army","Georgia Institute of Technology-Main Campus","Defense R&D","grant",3459667
"Department of Defense","Department of the Army","Georgia Institute of Technology-Main Campus","Defense R&D","research grant",3459667
"Department of Defense","Department of the Army","Georgia Institute of Technology-Main Campus","DEFENSE SYSTEMS R&D","contract",5679040.14
"Department of Defense","Department of the Army","Georgia Institute of Technology-Main Campus","ENVIRONMENTAL PROTECTION R&D","contract",283664
"Department of Defense","Department of the Army","Georgia Institute of Technology-Main Campus","GEN. SCIENCE & TECHNOLOGY R&D","contract",46280420.29
"Department of Defense","Department of the Army","Georgia Institute of Technology-Main Campus","Medical R&D","grant",1687894
"Department of Defense","Department of the Army","Georgia Institute of Technology-Main Campus","OTHER R&D","contract",13272614.35
"Department of Defense","Department of the Army","Georgia Institute of Technology-Main Campus","PROFESSIONAL SERVICES","contract",-127087.77
"Department of Defense","Department of the Army","Georgia Institute of Technology-Main Campus","Science, Engineering, and Mathematics","grant",1786991
"Department of Defense","Department of the Army","Georgia Institute of Technology-Main Campus","Science, Engineering, and Mathematics","research grant",1786991
"Department of Defense","Department of the Army","Georgia Military College","SOCIAL SERVICES","contract",91072
"Department of Defense","Department of the Army","Georgia Southern University","Science, Engineering, and Mathematics","grant",197453
"Department of Defense","Department of the Army","Georgia Southern University","Science, Engineering, and Mathematics","research grant",197453
"Department of Defense","Department of the Army","Georgia State University","Defense R&D","grant",128500
"Department of Defense","Department of the Army","Georgia State University","Defense R&D","research grant",128500
"Department of Defense","Department of the Army","Great Oaks Career Campuses","EDUCATION & TRAINING SERVICES","contract",42791.08
"Department of Defense","Department of the Army","Hampton University","Science, Engineering, and Mathematics","grant",2625000
"Department of Defense","Department of the Army","Hampton University","Science, Engineering, and Mathematics","research grant",2625000
"Department of Defense","Department of the Army","Harrisburg Area Community College-Harrisburg","EDUCATION & TRAINING SERVICES","contract",18493.66
"Department of Defense","Department of the Army","Harvard University","DEFENSE (OTHER) R&D","contract",105865
"Department of Defense","Department of the Army","Harvard University","Defense R&D","grant",6663008
"Department of Defense","Department of the Army","Harvard University","Defense R&D","research grant",6663008
"Department of Defense","Department of the Army","Harvard University","EDUCATION & TRAINING SERVICES","contract",348597
"Department of Defense","Department of the Army","Harvard University","GEN. SCIENCE & TECHNOLOGY R&D","contract",-0.01
"Department of Defense","Department of the Army","Harvard University","Medical R&D","grant",20424556
"Department of Defense","Department of the Army","Harvard University","Science, Engineering, and Mathematics","grant",4259179
"Department of Defense","Department of the Army","Harvard University","Science, Engineering, and Mathematics","research grant",4259179
"Department of Defense","Department of the Army","Hood College","EDUCATION & TRAINING SERVICES","contract",35578.88
"Department of Defense","Department of the Army","Hope College","Defense R&D","grant",15000
"Department of Defense","Department of the Army","Hope College","Defense R&D","research grant",15000
"Department of Defense","Department of the Army","Howard University","Science, Engineering, and Mathematics","grant",596488
"Department of Defense","Department of the Army","Howard University","Science, Engineering, and Mathematics","research grant",596488
"Department of Defense","Department of the Army","Hudson Valley Community College","EDUCATION & TRAINING SERVICES","contract",138161.49
"Department of Defense","Department of the Army","Icahn School of Medicine at Mount Sinai","EDUCATION & TRAINING SERVICES","contract",6000
"Department of Defense","Department of the Army","Icahn School of Medicine at Mount Sinai","Medical R&D","grant",5816226
"Department of Defense","Department of the Army","Indiana University-Bloomington","Defense R&D","grant",1898682
"Department of Defense","Department of the Army","Indiana University-Bloomington","Defense R&D","research grant",1898682
"Department of Defense","Department of the Army","Indiana University-Bloomington","EDUCATION & TRAINING SERVICES","contract",20000
"Department of Defense","Department of the Army","Indiana University-Bloomington","HOUSEKEEPING SERVICES","contract",10090
"Department of Defense","Department of the Army","Indiana University-Bloomington","Medical R&D","grant",19411941
"Department of Defense","Department of the Army","Indiana University-Bloomington","Public Health","grant",206568
"Department of Defense","Department of the Army","Iowa State University","Defense R&D","grant",478459
"Department of Defense","Department of the Army","Iowa State University","Defense R&D","research grant",478459
"Department of Defense","Department of the Army","Iowa State University","ENVIRONMENTAL PROTECTION R&D","contract",873100
"Department of Defense","Department of the Army","Iowa State University","Medical R&D","grant",990592
"Department of Defense","Department of the Army","Iowa State University","Public Health","grant",232621
"Department of Defense","Department of the Army","Iowa State University","Science, Engineering, and Mathematics","grant",637000
"Department of Defense","Department of the Army","Iowa State University","Science, Engineering, and Mathematics","research grant",637000
"Department of Defense","Department of the Army","Irell & Manella Graduate School of Biological Sciences at City of Hope","Medical R&D","grant",692000
"Department of Defense","Department of the Army","Jackson State University","Defense R&D","grant",-6489
"Department of Defense","Department of the Army","Jackson State University","Defense R&D","research grant",-6489
"Department of Defense","Department of the Army","Jackson State University","OTHER R&D","contract",20993.2
"Department of Defense","Department of the Army","Jackson State University","Science, Engineering, and Mathematics","grant",1500000
"Department of Defense","Department of the Army","Jackson State University","Science, Engineering, and Mathematics","research grant",1500000
"Department of Defense","Department of the Army","Johns Hopkins University","Defense R&D","grant",3574559
"Department of Defense","Department of the Army","Johns Hopkins University","Defense R&D","research grant",3574559
"Department of Defense","Department of the Army","Johns Hopkins University","DEFENSE SYSTEMS R&D","contract",10669934.85
"Department of Defense","Department of the Army","Johns Hopkins University","ENVIRONMENTAL PROTECTION R&D","contract",169014
"Department of Defense","Department of the Army","Johns Hopkins University","GEN. SCIENCE & TECHNOLOGY R&D","contract",9211010
"Department of Defense","Department of the Army","Johns Hopkins University","Medical R&D","grant",37335482
"Department of Defense","Department of the Army","Johns Hopkins University","MEDICAL R&D","contract",245083
"Department of Defense","Department of the Army","Johns Hopkins University","MEDICAL, DENTAL, & SURGICAL SERVICES","contract",19000
"Department of Defense","Department of the Army","Johns Hopkins University","OTHER R&D","contract",210610
"Department of Defense","Department of the Army","Johns Hopkins University","PROFESSIONAL SERVICES","contract",4735000
"Department of Defense","Department of the Army","Johns Hopkins University","Science, Engineering, and Mathematics","grant",9697093
"Department of Defense","Department of the Army","Johns Hopkins University","Science, Engineering, and Mathematics","research grant",9697093
"Department of Defense","Department of the Army","Johns Hopkins University","SPECIAL INDUSTRY MACHINERY","contract",-509.97
"Department of Defense","Department of the Army","Kansas State University","Defense R&D","grant",143231
"Department of Defense","Department of the Army","Kansas State University","Defense R&D","research grant",143231
"Department of Defense","Department of the Army","Kansas State University","EDUCATION & TRAINING SERVICES","contract",229446.4
"Department of Defense","Department of the Army","Kansas State University","LEASE & RENTAL EQUIPMENT","contract",10193.95
"Department of Defense","Department of the Army","Kansas State University","Medical R&D","grant",1037217
"Department of Defense","Department of the Army","Kansas State University","PROFESSIONAL SERVICES","contract",-35000
"Department of Defense","Department of the Army","Kent State University at Kent","Defense R&D","grant",290150
"Department of Defense","Department of the Army","Kent State University at Kent","Defense R&D","research grant",290150
"Department of Defense","Department of the Army","Lawrence Technological University","EQUIPMENT & MATERIALS TESTING","contract",-37949.74
"Department of Defense","Department of the Army","Lehigh University","Defense R&D","grant",313765
"Department of Defense","Department of the Army","Lehigh University","Defense R&D","research grant",313765
"Department of Defense","Department of the Army","Lehigh University","DEFENSE SYSTEMS R&D","contract",88317
"Department of Defense","Department of the Army","Lehigh University","ENVIRONMENTAL PROTECTION R&D","contract",227398
"Department of Defense","Department of the Army","Lewis and Clark Community College","Science, Engineering, and Mathematics","grant",79761
"Department of Defense","Department of the Army","Lewis and Clark Community College","Science, Engineering, and Mathematics","research grant",79761
"Department of Defense","Department of the Army","Lincoln Land Community College","PREFAB STRUCTURES & SCAFFOLDING","contract",59200
"Department of Defense","Department of the Army","Lincoln University","EDUCATION & TRAINING SERVICES","contract",230224.95
"Department of Defense","Department of the Army","LIU Post","Medical R&D","grant",175294
"Department of Defense","Department of the Army","Loma Linda University","Medical R&D","grant",-15069
"Department of Defense","Department of the Army","Louisiana State University","Defense R&D","grant",243082
"Department of Defense","Department of the Army","Louisiana State University","Defense R&D","research grant",243082
"Department of Defense","Department of the Army","Louisiana State University","IT & TELECOMMUNICATIONS","contract",527189.6
"Department of Defense","Department of the Army","Louisiana State University","Medical R&D","grant",1025675
"Department of Defense","Department of the Army","Louisiana State University","MEDICAL R&D","contract",119285.19
"Department of Defense","Department of the Army","Louisiana State University","Science, Engineering, and Mathematics","grant",185615
"Department of Defense","Department of the Army","Louisiana State University","Science, Engineering, and Mathematics","research grant",185615
"Department of Defense","Department of the Army","Marion Military Institute","HOUSEKEEPING SERVICES","contract",11268.75
"Department of Defense","Department of the Army","Marshall University","Science, Engineering, and Mathematics","grant",749985
"Department of Defense","Department of the Army","Marshall University","Science, Engineering, and Mathematics","research grant",749985
"Department of Defense","Department of the Army","Massachusetts General Hospital Dietetic Internship","DEFENSE (OTHER) R&D","contract",139438.38
"Department of Defense","Department of the Army","Massachusetts General Hospital Dietetic Internship","Defense R&D","grant",2045636
"Department of Defense","Department of the Army","Massachusetts General Hospital Dietetic Internship","Defense R&D","research grant",2045636
"Department of Defense","Department of the Army","Massachusetts General Hospital Dietetic Internship","Medical R&D","grant",6128653
"Department of Defense","Department of the Army","Massachusetts Institute of Technology","BOOKS, MAPS, & OTHER PUBLICATIONS","contract",6825
"Department of Defense","Department of the Army","Massachusetts Institute of Technology","Defense R&D","grant",12560268
"Department of Defense","Department of the Army","Massachusetts Institute of Technology","Defense R&D","research grant",12560268
"Department of Defense","Department of the Army","Massachusetts Institute of Technology","DEFENSE SYSTEMS R&D","contract",-15387.24
"Department of Defense","Department of the Army","Massachusetts Institute of Technology","ENVIRONMENTAL PROTECTION R&D","contract",311168
"Department of Defense","Department of the Army","Massachusetts Institute of Technology","Medical R&D","grant",3257402
"Department of Defense","Department of the Army","Massachusetts Institute of Technology","OTHER R&D","contract",4143524
"Department of Defense","Department of the Army","Massachusetts Institute of Technology","Science, Engineering, and Mathematics","grant",2018564
"Department of Defense","Department of the Army","Massachusetts Institute of Technology","Science, Engineering, and Mathematics","research grant",2018564
"Department of Defense","Department of the Army","Mayo Clinic School of Medicine","DEFENSE (OTHER) R&D","contract",1150000
"Department of Defense","Department of the Army","Mayo Clinic School of Medicine","Defense R&D","grant",106894
"Department of Defense","Department of the Army","Mayo Clinic School of Medicine","Defense R&D","research grant",106894
"Department of Defense","Department of the Army","Mayo Clinic School of Medicine","GENERAL HEALTH CARE SERVICES","contract",20900.74
"Department of Defense","Department of the Army","Mayo Clinic School of Medicine","Medical R&D","grant",6905551
"Department of Defense","Department of the Army","Mayo Clinic School of Medicine","PROFESSIONAL SERVICES","contract",107365
"Department of Defense","Department of the Army","Medical College of Wisconsin","Medical R&D","grant",2975915
"Department of Defense","Department of the Army","Medical University of South Carolina","Defense R&D","grant",299000
"Department of Defense","Department of the Army","Medical University of South Carolina","Defense R&D","research grant",299000
"Department of Defense","Department of the Army","Medical University of South Carolina","Medical R&D","grant",2759570
"Department of Defense","Department of the Army","Meharry Medical College","PROFESSIONAL SERVICES","contract",-0.02
"Department of Defense","Department of the Army","Miami University-Oxford","Defense R&D","grant",59989
"Department of Defense","Department of the Army","Miami University-Oxford","Defense R&D","research grant",59989
