cluster_final,coc_number,coc_name,Total_Year_Round_Beds,density,weighted_income,weighted_estimate_median_gross_rent,rent_pct_income,land_area,estimated_pop_2018,total_homeless,homeless_individuals,homeless_people_in_families
6,FL-508,"Gainesville/Alachua, Putnam Counties CoC",381,122.617098,9053.5,881.5,1.168387916,3364.49,344119,756,643,113
6,VA-508,Lynchburg CoC,172,122.1051934,16590,848,0.613381555,2113.44,160873,112,84,28
6,LA-500,Lafayette/Acadiana CoC,263,117.9293894,9259.333333,725,0.939592483,5550.44,396487,363,284,79
6,IA-500,"Sioux City/Dakota, Woodbury Counties CoC",301,117.349312,15836,801,0.606971457,872.83,102539,264,172,92
6,AL-504,Montgomery City & County CoC,393,115.2664364,11152,865,0.930774749,3335.88,307650,369,272,97
6,VA-504,Charlottesville CoC,109,114.063522,18114,1301,0.861874793,2140.36,108718,183,142,41
6,CA-525,El Dorado County CoC,165,107.1503853,18094,1346,0.892671604,1707.88,190678,645,477,168
6,CA-506,"Salinas/Monterey, San Benito Counties CoC",882,104.5661993,18680,1511,0.970663812,4669.31,435594,3299,2683,616
7,MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",190,94.65885951,13542,760,0.673460346,1262.09,88571,204,103,101
7,LA-502,Shreveport/Bossier/Northwest CoC,430,94.18856771,11556,843.5,0.875908619,5142.45,370107,375,271,104
7,NY-511,"Binghamton, Union/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Counties C",273,89.41001656,10006,761,0.912652409,5060.82,191659,244,211,33
7,MD-511,Mid-Shore Regional CoC,88,88.55101946,16100.88291,1033.884177,0.770554646,1509.13,133635,141,78,63
7,NY-519,Columbia/Greene County CoC,35,85.756746,13514.63644,867.8172639,0.7705577,1281.87,109929,196,113,83
7,NY-523,"Glens Falls/Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties CoC",111,84.48791617,18584,997.5,0.644102454,4225.48,294428,257,225,32
7,CA-614,San Luis Obispo County CoC,253,84.48509506,15385,1430,1.115372116,3298.57,284010,1095,993,102
7,NC-516,Northwest North Carolina CoC,121,83.68923217,10966,617,0.675177822,2509.14,68557,449,206,243
7,NY-501,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC",131,83.58201468,12860,753,0.702643857,3787.31,243277,233,119,114
7,MI-512,"Grand Traverse, Antrim, Leelanau Counties CoC",171,82.8088963,17669,956,0.649272738,1847.06,92573,235,169,66
7,TN-506,Oak Ridge/Upper Cumberland CoC,259,81.13507498,15888,912.5,0.689199396,6982.27,219468,258,150,108
7,FL-506,Tallahassee/Leon County CoC,759,79.57975275,9519,976,1.230381343,5497.24,292502,909,640,269
7,OR-500,Eugene/Springfield/Lane County CoC,571,79.12662087,12333,998,0.971053272,4553.12,379611,1641,1390,251
7,NY-516,Clinton County CoC,125,78.53254324,13595,827,0.729974255,1037.85,80695,197,114,83
7,FL-604,Monroe County CoC,401,78.46188268,19211,1691,1.056269845,983.28,75027,973,724,249
7,NY-607,Sullivan County CoC,118,78.31386281,11581,888,0.920127796,968.13,75498,189,124,65
7,FL-515,"Panama City/Bay, Jackson Counties CoC",151,77.97055676,13748,1073,0.936572592,3869.14,185287,381,313,68
7,OR-502,Medford/Ashland/Jackson County CoC,335,75.77230515,13681,980,0.859586288,2783.55,219564,732,624,108
7,HI-500,Hawaii Balance of State CoC,1036,73.28788418,16772.66667,1380.333333,0.987559124,5821.89,440334,2035,1226,809
7,IL-518,Rock Island/Moline/Northwestern Illinois CoC,334,72.22230727,13562.5,752.5,0.665806452,9145.54,252907,198,138,60
7,VA-521,Virginia Balance of State (BoS) CoC,765,71.0943839,16189.33333,1056.333333,0.782984681,23897.19,245117,718,421,297
7,NV-501,Reno/Sparks/Washoe County CoC,1001,69.80136044,16899,1097,0.778981005,6302.37,465735,1192,1051,141
7,IL-512,Bloomington/Central Illinois CoC,373,69.13776139,10092.5,769.5,0.914936834,7713.99,186830,387,248,139
7,OK-505,Northeast Oklahoma CoC,391,68.62178962,16916,834,0.591629227,6840.32,172094,392,232,160
7,AL-502,Florence/Northwest Alabama CoC,237,67.58119738,12116,632,0.625949158,3940.09,92387,256,166,90
7,MN-505,St. Cloud/Central Minnesota CoC,628,64.34833586,20452.66667,931.3333333,0.546432413,11292.32,391641,584,278,306
