cluster_final,coc_number,coc_name,class,type,density,land_area,weighted_estimate_median_gross_rent,weighted_income,estimated_pop_2016,weighted_mental_illness,weighted_alcohol_dependence_or_abuse,weighted_drug_use,days_below_32,Property_crime_rate,Total_Year_Round_Beds,total_homeless,sheltered_homeless,unsheltered_homeless,chronically_homeless,homeless_individuals,homeless_people_in_families
2b,VA-507,Portsmouth CoC,5,2,2855.007429,33.65,977,10723,96071,3.99,7.02,8.9,49.62135,1930.3,84,151,96,55,12,115,36
2b,MI-502,Dearborn/Dearborn Heights/Westland/Wayne County CoC,5,2,2312.96981,473.33,808,7659,1094798,4.01,6.36,13.14,125.8850365,2043.9,190,226,212,14,8,78,148
2b,GA-502,Fulton County Continuum of Care,5,2,1308.951311,400.5,1037,11078,524235,3.47,6.47,9.94,57.2810219,3281.2,264,293,203,90,2,217,76
2b,TN-501,Memphis/Shelby County CoC,5,2,1227.760525,763.17,873,9516,936990,3.79,5.39,7,53.95072993,5995.1,1524,1426,1347,79,66,915,511
2b,MO-604,"Kansas City, Independence, Lee's Summit/Jackson, Wyandotte Counties CoC",5,2,1118.191678,756.06,815.9815039,10075.34762,845420,4.33030942,7.080679343,10.07253414,86.92062,2906.5,1831,1671,1442,229,330,1127,544
2b,KY-502,Lexington/Fayette County CoC,5,2,1098.286621,283.65,793,10411,311529,4.79,5.72,8.57,91.08349,3912.5,999,1051,1000,51,118,937,114
2b,NC-500,Winston Salem/Forsyth County CoC,6,2,893.5219895,408.15,742,10594,364691,4.64,5.27,7.56,85.10673235,2873.1,467,453,428,25,60,351,102
2b,TN-502,Knoxville/Knox County CoC,6,2,881.8307032,508.22,808,10796,448164,4.62,5.32,6.48,65.10721,3060.6,706,812,678,134,77,701,111
2b,NC-504,Greensboro/High Point CoC,6,2,792.6513861,645.7,789,11045,511815,4.79,6.12,9.45,59.45396,3600.2,517,573,469,104,30,422,151
2b,MA-504,Springfield/Hampden County CoC,6,2,758.4535114,617.14,837,10697,468072,4.48,6.21,12.35,146.699361,1857.1,2417,2311,2258,53,132,370,1941
2b,GA-507,Savannah/Chatham County CoC,6,2,662.7262921,426.44,963,10509,282613,4.49,5.86,10.14,15.319343,3281.2,699,926,563,363,234,751,175
2b,MI-505,Flint/Genesee County CoC,6,2,648.5132971,636.98,720,9644,413090,4.93,6.09,12.74,142.7030109,2043.9,306,420,295,125,42,255,165
2b,GA-504,Augusta-Richmond County CoC,6,2,621.0279653,324.33,794,7003,201418,4.67,5.81,9.26,15.985401,3281.2,225,246,199,47,30,217,29
2b,MI-508,Lansing/East Lansing/Ingham County CoC,6,2,511.6863267,556.12,809,9492,284559,4.67,6.96,12.2,131.38002,2043.9,342,435,390,45,45,271,164
2b,NC-511,Fayetteville/Cumberland County CoC,6,2,499.5186338,652.31,878,10823,325841,4.6,5.78,8.92,44.95894,2873.1,185,442,189,253,136,279,163
2b,PA-508,Scranton/Lackawanna County CoC,6,2,463.9844907,459.08,717,11088,213006,4.17,6.63,8.2,161.0592,1931.7,171,197,183,14,13,98,99
2b,MI-507,Portage/Kalamazoo City & County CoC,6,2,460.4297974,561.66,736,11443,258605,4.66,6.18,10.83,123.38732,2043.9,601,479,451,28,26,244,235
2b,NY-508,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC",6,2,420.030572,3042,726.9324843,11425.45436,1277733,3.867492434,5.988457823,9.645802136,126.1358144,1718.2,1083,925,907,18,24,595,330
2b,IL-508,East Saint Louis/Belleville/Saint Clair County CoC,6,2,403.7475675,657.76,821,9879,265569,4.07,6.48,8.66,91.916058,2075.9,175,300,154,146,21,174,126
2b,FL-504,"Daytona Beach/Daytona/Volusia, Flagler Counties CoC",6,2,386.843283,1586.49,955.8185517,10956.5496,613723,4.08,6.63,9.24,0.499543796,3415.5,449,753,305,448,88,555,198
2b,PA-503,Wilkes-Barre/Hazleton/Luzerne County CoC,6,2,358.2008918,890.33,712,10750,318917,4.17,6.63,8.2,119.22445,1931.7,229,174,171,3,0,82,92
2b,PA-605,Erie City & County CoC,6,2,349.2873678,799.15,701,11227,279133,4.38,6.71,8.02,108.5675,1931.7,401,369,361,8,29,264,105
2b,NC-509,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",6,2,347.5604085,1118.22,710.6408404,10476.67946,388649,5.05,5.62,8.26,60.94434307,2873.1,202,249,171,78,25,164,85
2b,MI-516,Norton Shores/Muskegon City & County CoC,6,2,344.8132198,499.25,692,10528,172148,4.62,6.85,10.65,120.39005,2043.9,144,135,125,10,2,87,48
2b,GA-505,Columbus-Muscogee/Russell County CoC,6,2,301.9591151,857.53,820.9023901,8735.383113,258939,3.919057886,5.532264472,9.700476908,24.81068,3281.2,347,319,246,73,21,245,74
