cluster_final,coc_number,coc_name,class,type,density,land_area,weighted_estimate_median_gross_rent,weighted_income,estimated_pop_2016,weighted_mental_illness,weighted_alcohol_dependence_or_abuse,weighted_drug_use,days_below_32,Property_crime_rate,Total_Year_Round_Beds,total_homeless,sheltered_homeless,unsheltered_homeless,chronically_homeless,homeless_individuals,homeless_people_in_families
3a,MD-600,Prince George`s County/Maryland CoC,5,2,1859.771282,482.69,1337,20436,897693,2.82,6.79,10.52,92.74863139,2507.5,389,525,437,88,35,193,332
3a,VA-503,Virginia Beach CoC,5,2,1806.011565,249.02,1258,19530,449733,3.99,7.02,8.9,26.01111,2186.9,248,349,271,78,62,238,111
3a,PA-504,Lower Marion/Norristown/Abington/Montgomery County CoC,5,2,1689.044386,483.04,1181,19583,815876,3.4,6.65,8.13,107.0689,1931.7,289,310,291,19,40,131,179
3a,CA-512,Daly/San Mateo County CoC,5,2,1683.164961,448.41,1830,22646,754748,3.12,6.29,11.21,7.326642336,2441.1,637,1253,616,637,234,822,431
3a,VA-604,Prince William County CoC,5,2,1435.182478,348.81,1563.200863,27401.72371,500606,3.25,6.76,6.52,81.51666667,1930.3,356,400,284,116,76,197,203
3a,MD-503,Annapolis/Anne Arundel County CoC,5,2,1349.088937,414.9,1520,23807,559737,3.49,6.83,9.67,56.781478,2507.5,173,376,263,113,91,261,115
3a,MD-504,Howard County CoC,5,2,1230.146766,250.74,1625,30281,308447,3.17,6.37,7.76,102.06323,2507.5,98,168,115,53,23,93,75
3a,KS-505,Overland Park/Shawnee/Johnson County CoC,5,2,1209.261254,473.37,978,21261,572428,3.74,6.83,7.59,98.909672,2735.2,161,130,113,17,3,34,96
3a,NJ-513,Somerset County CoC,5,2,1098.98943,301.81,1435,24827,331686,3.59,5.9,7.45,119.724,1734.1,294,244,239,5,3,176,68
3a,NJ-509,Morris County CoC,5,2,1082.65244,460.18,1388,25247,498215,3.45,6.9,7.91,106.90237,1734.1,294,378,351,27,71,223,155
3a,PA-511,Bristol/Bensalem/Bucks County CoC,5,2,1036.256226,604.31,1143,19929,626220,3.4,6.65,8.13,133.8777372,1931.7,467,511,462,49,27,198,313
3a,VA-602,Loudoun County CoC,6,2,702.9928621,515.56,1705,35990,362435,3.25,6.76,6.52,117.2655878,1930.3,94,113,97,16,15,71,42
3a,PA-505,Chester County CoC,6,2,682.2400767,750.51,1222,21185,512028,3.4,6.65,8.13,103.5720803,1931.7,533,578,554,24,12,387,191
3a,MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties",6,2,595.1289977,2080.27,1047.154771,21876.67691,1238029,3.83,5.97,7.81,147.032391,2297.5,422,544,434,110,74,258,286
3a,NJ-502,Burlington County CoC,6,2,563.7957374,798.58,1219,20360,450236,3.57,6.76,8.87,99.73048,1734.1,444,604,560,44,109,330,274
3a,IL-506,Joliet/Bolingbrook/Will County CoC,6,2,544.1334611,1575.29,1083.207747,20658.41804,857168,3.28,5.8,7.87,123.5538,2075.9,314,282,251,31,24,185,97
3a,IL-500,McHenry County CoC,6,2,509.1151748,603.17,1100,20850,307083,3.28,5.8,7.87,135.6293383,2075.9,130,155,150,5,5,87,68
3a,CA-507,Marin County CoC,6,2,498.4682209,520.31,1764,20106,259358,3.52,7.17,13.86,5.161952555,2441.1,349,1117,409,708,359,917,200
3a,CA-611,Oxnard/San Buenaventura/Ventura County CoC,6,2,457.4338218,1843.13,1572,19437,843110,3.56,7.2,11.99,38.29835766,2441.1,372,1152,488,664,385,969,183
3a,MD-506,Carroll County CoC,6,2,374.3046091,447.59,1079,22563,167535,3.17,6.37,7.76,92.4156,2507.5,112,147,125,22,20,106,41
3a,MD-509,Frederick City & County CoC,6,2,368.7634425,660.22,1303,22030,243465,3.81,6.8,9.21,73.39674,2507.5,282,309,206,103,74,217,92
3a,MD-508,"Charles, Calvert, St.Mary's Counties CoC",6,2,345.8475994,1028.08,1464.226092,21601.02205,355559,3.35,6.19,8,42.79425182,2507.5,165,419,187,232,79,238,181
3a,MI-518,Livingston County CoC,6,2,328.7766475,565.25,939,21345,185841,4.14,6.24,9.88,144.74456,2043.9,88,103,91,12,1,56,47
3a,NJ-516,"Warren, Sussex, Hunterdon Counties CoC",6,2,289.5470757,1303.75,1195.833458,22666.19863,377497,3.496620556,6.566996029,7.756818173,122.0552,1734.1,271,286,244,42,32,191,95
3a,MO-503,"St. Charles, Lincoln, Warren Counties CoC",6,2,289.3240901,1615.6,921.6793758,19630.59967,467432,4.28,6.57,7.53,99.57573,2906.5,255,578,351,227,36,306,272
3a,VA-514,"Fredericksburg/Spotsylvania, Stafford Counties CoC",6,2,253.2199849,1388.05,1336.334504,23254.06599,351482,4.02,6.85,9.71,80.0935219,1930.3,163,216,177,39,29,122,94
4a,MA-508,Lowell CoC,1,1,8141.237113,13.58,1386,17522,110558,3.69,7.45,11.59,131.0689496,2551.7,807,658,646,12,6,182,476
4a,MN-500,Minneapolis/Hennepin County CoC,2,1,2184.405426,553.59,982,14843,1209265,4.14,7.14,8.91,136.3755,4728,2894,3057,2759,298,342,1395,1662
4a,CA-502,Oakland/Alameda County CoC,2,1,2172.088712,739.02,1432,15546,1605217,3.45,7.05,13.46,16.15191606,5943.3,1636,5629,1766,3863,1707,4918,711
4a,GA-506,Marietta/Cobb County CoC,2,1,2145.156825,339.55,1046,16880,728388,3.98,5.54,8.71,57.28102,3281.2,285,403,285,118,53,236,167
4a,TX-600,Dallas City & County/Irving CoC,2,1,1985.218686,1712.5,995.766032,14927.48552,3399687,3.42,6.44,6.86,30.63868613,3019.4,3384,3789,2702,1087,542,2990,799
4a,NJ-514,Trenton/Mercer County CoC,2,1,1652.569469,224.56,1144,14758,371101,3.59,5.9,7.45,94.58029,1734.1,402,478,394,84,69,356,122
4a,HI-501,Honolulu CoC,2,1,1642.972001,600.74,1587,18095,986999,3.2,7,9.54,0,3050,3216,4959,2635,2324,1159,3112,1847
4a,UT-500,Salt Lake City & County CoC,2,1,1471.840815,742.28,970,16929,1092518,4.97,5.59,8.81,94.24726,2878.5,1711,2047,1886,161,143,1348,699
4a,IA-502,Des Moines/Polk County CoC,2,1,1251.296679,590.74,827,14778,739191,4.07,6.11,5.81,132.9765258,4260.3,670,676,624,52,75,534,142
4a,NC-507,Raleigh/Wake County CoC,2,1,1195.584397,835.22,989,17873,998576,3.88,6.36,7.06,89.58485401,2873.1,736,884,696,188,91,587,297
4a,TX-601,Fort Worth/Arlington/Tarrant County CoC,2,1,1172.056884,1767.09,941.4338438,14683.02394,2071130,3.49,6.7,7.98,59.44571168,3019.4,1859,1941,1551,390,234,1344,597
4a,WA-500,Seattle/King County CoC,2,1,982.9738557,2115.57,1273,17046,2079550,4.36,7.22,14.67,66.8591339,6145.7,6445,11643,6158,5485,2773,8810,2833
4a,CA-601,San Diego City and County CoC,2,1,773.3877237,4206.63,1395,14541,3253356,4.11,6.64,11.65,63.27554745,1959,3722,9160,3539,5621,2176,7571,1589
4a,NE-501,Omaha/Council Bluffs CoC,3,1,532.9777561,1517.72,840.7344356,14798.79216,808911,4.286174301,7.819527365,7.838788816,136.2089416,2523.5,1301,1389,1332,57,290,1037,352
4a,WI-503,Madison/Dane County CoC,3,1,431.6745181,1197.24,942,15426,516818,4.19,7.91,8.9,148.0314781,2843.5,569,585,524,61,87,320,265
4a,CO-504,Colorado Springs/El Paso County CoC,3,1,312.7567237,2126.8,1012,15301,665171,4.07,7.09,13.28,181.3866729,3668.1,966,1415,958,457,374,972,443
4b,MA-517,Somerville CoC,4,2,8719.140083,14.42,1386,17522,125730,3.69,7.45,11.59,131.0689496,1857.1,125,142,120,22,13,108,34
4b,NJ-515,Elizabeth/Union County CoC,4,2,5351.832766,102.85,1187,15446,550436,3.26,6.33,7.76,79.59398,1734.1,344,480,425,55,43,205,275
4b,NJ-501,Bergen County CoC,5,2,3992.575426,233.01,1380,18081,930310,3.45,6.9,7.91,148.8641,1734.1,368,302,297,5,3,182,120
4b,CA-602,Santa Ana/Anaheim/Orange County CoC,5,2,3961.965417,790.57,1608,17466,3132211,3.32,7.03,9.76,0.333029197,2362.3,2315,4792,2208,2584,893,3527,1265
4b,NH-501,Manchester CoC,5,2,3338.549849,33.1,1099,17876,110506,4.72,8.23,12.25,125.21898,3623,391,394,342,52,18,192,202
4b,PA-502,Upper Darby/Chester/Haverford/Delaware County CoC,5,2,3058.724978,183.84,996,14844,562316,3.4,6.65,8.13,72.43385,1931.7,436,453,413,40,26,251,202
4b,NJ-507,New Brunswick/Middlesex County CoC,5,2,2692.861999,308.91,1332,18076,831852,3.26,6.33,7.76,108.23449,1734.1,224,546,421,125,69,318,228
4b,NY-604,Yonkers/Mount Vernon/New Rochelle/Westchester CoC,5,2,2251.40302,430.5,1394,16400,969229,3.58,6.73,9.42,97.81045752,1718.2,1820,1832,1785,47,149,669,1163
4b,MO-500,St. Louis County CoC,5,2,1970.38204,507.8,903,15219,1000560,4.41,6.73,9.81,80.9260949,6252.6,411,462,418,44,73,254,208
4b,NY-606,Rockland County CoC,5,2,1859.072313,173.55,1367,17105,322642,3.58,6.73,9.42,133.21168,1718.2,88,170,112,58,28,135,35
4b,IL-502,Waukegan/North Chicago/Lake County CoC,5,2,1584.263078,443.67,1088,18873,702890,3.28,5.8,7.87,127.8832,2075.9,228,228,201,27,18,122,106
4b,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",5,2,1562.890628,3606.69,988.0961595,14519.75254,5636862,3.45,6.69,6.97,14.86348913,3019.4,3192,3605,2477,1128,539,2670,935
4b,CA-505,Richmond/Contra Costa County CoC,5,2,1547.510965,715.94,1506,18659,1107925,3.54,6.53,11.7,0.342401501,2441.1,677,1607,696,911,331,1352,255
4b,CT-503,Bridgeport/Norwalk /Stamford/Fairfield County CoC,5,2,1506.854006,624.89,1385,17158,941618,3.07,6.85,9.82,109.7607143,1920.4,755,778,696,82,52,430,348
4b,MI-504,Pontiac/Royal Oak/Oakland County CoC,5,2,1423.616394,867.66,968,15935,1235215,4.32,6.62,9.43,145.3672445,2043.9,269,412,365,47,45,281,131
4b,MD-505,Baltimore County CoC,5,2,1380.020057,598.3,1193,17109,825666,3.38,7.22,9.78,99.40922,2507.5,450,609,389,220,144,397,212
4b,NJ-508,Monmouth County CoC,5,2,1338.620704,468.79,1273,18387,627532,3.59,5.9,7.45,90.52291,1734.1,246,299,255,44,44,144,155
4b,VA-505,Newport News/Hampton/Virginia Peninsula CoC,5,2,1236.391953,391.68,1092.367153,14907.67697,484270,3.99,7.02,8.9,58.77965,1930.3,388,512,432,80,75,352,160
4b,IL-517,Aurora/Elgin/Kane County CoC,5,2,1012.604315,520.06,1043,17718,526615,3.28,5.8,7.87,135.209854,2075.9,406,360,335,25,63,266,94
4b,MA-511,Quincy/Brockton/Weymouth/Plymouth City and County CoC,6,2,947.8323032,692.44,1194.499183,17757.37406,656317,3.952469782,6.315204177,12.03774257,140.5383212,1857.1,971,1109,1059,50,143,359,750
4b,NJ-510,Lakewood Township/Ocean County CoC,6,2,932.2274882,628.78,1328,15527,586166,3.59,5.9,7.45,82.75776,1734.1,127,224,181,43,24,119,105
4b,OR-506,Hillsboro/Beaverton/Washington County CoC,6,2,778.8796377,724.23,1111,17430,564088,4.1,6.55,14.2,51.45301095,2879,248,544,175,369,150,348,196
4b,WA-508,Vancouver/Clark County CoC,6,2,716.8410175,629,1022,17195,450893,5.01,6.47,12.25,66.77235401,3706.1,449,749,480,269,86,354,395
4b,CO-503,Metropolitan Denver Homeless Initiative,6,2,671.5863586,4482.53,1155.551463,17359.81239,3010406,3.81,8.17,16.75,211.8065693,2530.1,4357,5506,4612,894,1083,4031,1475
4b,MD-502,Harford County CoC,6,2,571.4521037,437.09,1159,18758,249776,3.49,6.05,9.55,92.4156,2507.5,143,189,152,37,20,102,87
4b,PA-510,Lancaster City & County CoC,6,2,564.8488573,943.81,932,15939,533110,3.92,5.69,7.04,112.3974,1931.7,419,321,295,26,6,180,141
4b,CA-518,Vallejo/Solano County CoC,6,2,522.7755062,821.76,1337,15804,429596,3.52,7.17,13.86,11.98563366,2441.1,366,1232,315,917,434,1070,162
4b,WA-503,Tacoma/Lakewood/Pierce County CoC,6,2,498.8864996,1669.51,1068,14871,832896,4.58,7.23,13.58,22.31296,3706.1,900,1321,817,504,337,879,442
4b,VA-500,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",6,2,495.4537305,2119.54,1051.280311,16881.93879,1050134,3.99,7.02,7.65,97.91058394,1930.3,668,662,509,153,76,573,89
4b,MI-519,Holland/Ottawa County CoC,6,2,490.8566561,563.47,807,17251,276583,4.62,6.85,10.65,113.89599,2043.9,359,258,250,8,4,112,146
4b,PA-512,York City & County CoC,6,2,487.2967772,904.18,871,15815,440604,3.92,5.69,7.04,124.0534,1931.7,400,288,243,45,12,134,154
4b,TN-510,Murfreesboro/Rutherford County CoC,6,2,468.6918755,619.36,925,15501,290289,4.29,5.6,7.85,90.91697,3060.6,269,316,227,89,73,249,67
4b,NY-602,Newburgh/Middletown/Orange County CoC,6,2,463.5291799,811.69,1157,15154,376242,3.49,6.33,10.49,147.5319343,1718.2,279,350,320,30,17,186,164
4b,MA-503,Cape Cod/Islands CoC,6,2,447.5292468,541.94,1180.051032,16068.65729,242534,4.03,5.98,12.17,119.5574818,1857.1,301,324,285,39,47,145,179
4b,NY-601,Poughkeepsie/Dutchess County CoC,6,2,371.9128238,795.63,1141,16940,295905,3.49,6.33,10.49,127.8832117,1718.2,408,388,379,9,6,207,181
4b,FL-512,Saint Johns County CoC,6,2,363.5367762,600.66,1150,16858,218362,4.08,6.63,9.24,10.65693431,3940.6,190,445,179,266,42,295,150
4b,WA-504,Everett/Snohomish County CoC,6,2,363.4647171,2087.27,1197,17998,758649,4.67,7.19,16.88,91.4165146,3706.1,581,1066,551,515,387,785,281
4b,NH-502,Nashua/Hillsborough County CoC,6,2,349.262194,843.04,1099,17876,294442,4.72,8.23,12.25,148.8641,1962.7,303,295,283,12,13,160,135
4b,CA-504,Santa Rosa/Petaluma/Sonoma County CoC,6,2,315.8777802,1575.85,1380,16401,497776,3.52,7.17,13.86,48.28923358,2441.1,936,2835,988,1847,598,2509,326
4b,VT-501,Burlington/Chittenden County CoC,6,2,299.1352641,536.58,1139,15267,160510,4.58,6.95,15.04,135.8759,1524.4,290,291,263,28,44,197,94
4b,MD-507,Cecil County CoC,6,2,295.0732088,346.27,1042,16616,102175,3.49,6.05,9.55,102.06323,2507.5,132,193,112,81,37,139,54
4b,OR-507,Clackamas County CoC,6,2,211.1761624,1870.32,1091,17543,394967,4.1,6.55,14.2,160.8531022,2879,85,497,151,346,154,385,112
4b,CA-515,"Roseville/Rocklin/Placer, Nevada Counties CoC",6,2,198.4159203,2364.78,1310.830042,17035.04809,469210,4.11,7,13.96,195.6546533,2441.1,486,979,521,458,232,772,207
4b,MI-523,Eaton County CoC,6,2,188.7163795,575.17,794,15067,108544,4.67,6.96,12.2,144.5346715,2043.9,139,107,101,6,0,11,96
4b,CA-517,Napa City & County CoC,6,2,188.175477,748.36,1442,18232,140823,3.52,7.17,13.86,32.88596903,2441.1,169,315,199,116,134,233,82
4b,FL-606,Naples/Collier County CoC,6,2,174.2643821,1998.32,1125,15764,348236,3.7,5.89,8.5,0.333029197,3415.5,440,621,434,187,90,502,119
4b,CA-603,Santa Maria/Santa Barbara County CoC,6,2,160.6510206,2735.09,1423,14655,439395,3.56,7.2,11.99,3.663321168,2441.1,824,1860,967,893,226,1422,438
4b,VA-513,"Harrisburg, Winchester/Western Virginia CoC",6,2,144.0070762,2498.53,905.9181003,14742.81238,359806,4.02,6.85,9.71,98.41012774,1930.3,307,280,261,19,44,195,85
4b,UT-504,Provo/Mountainland CoC,6,2,124.9502045,5050.66,950.500904,17543.70975,631081,5.587594033,5.390601492,5.995616569,186.4413146,2878.5,157,171,130,41,8,118,53
4b,CA-525,El Dorado County CoC,6,2,107.1503853,1707.88,1105,16643,183000,4.11,7,13.96,197.9546506,2441.1,165,602,106,496,241,446,156
4b,CA-506,"Salinas/Monterey, San Benito Counties CoC",6,2,104.5661993,4669.31,1279.874718,16268.16436,488252,3.83,7.14,13.23,26.34891254,2441.1,882,3364,850,2514,902,2719,645
4b,MD-511,Mid-Shore Regional CoC,7,2,88.55101946,1509.13,1033.884177,16100.88291,133635,3.456003367,6.083996633,9.17360871,80.42655,2507.5,88,153,136,17,24,81,72
4c,MA-516,Massachusetts Balance of State CoC,8,3,2358.399882,473.34,1358.557036,16860.17223,1116325,3.707244225,7.412637511,11.59071851,147.5319343,1857.1,1626,2080,1911,169,144,516,1564
4c,CT-505,Connecticut Balance of State CoC,9,3,627.6160826,4217.47,1034.730547,14721.59661,2646952,3.537636965,7.098510812,10.96440461,151.5282847,1920.4,2339,2610,2276,334,368,1778,832
4c,TN-503,Central Tennessee CoC,9,3,126.3430037,8896.29,870.6308577,15085.84695,1123984,4.29,5.6,7.85,97.07801095,3060.6,354,285,260,25,45,201,84
4c,NH-500,New Hampshire Balance of State CoC,9,3,114.2269371,8076.51,991.90716,17683.79955,922555,4.621806635,7.464388172,12.06312141,182.6665146,1962.7,689,767,657,110,106,424,343
4c,NY-523,"Glens Falls/Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties CoC",10,3,84.48791617,4225.48,959.198153,17381.74198,357002,3.809209752,6.29499958,11.318686,114.6616162,1718.2,111,247,239,8,12,175,72
4c,WI-500,Wisconsin Balance of State CoC,10,3,78.03127511,52386.7,746.4271054,15160.13988,4087801,4.196841182,7.566395302,7.880168487,191.1587591,2088.3,3592,3348,3211,137,232,1499,1849
4c,MN-505,St. Cloud/Central Minnesota CoC,10,3,64.34833586,11292.32,797.8147974,16512.5416,726642,4.57,6.36,7.85,181.3343978,2297.5,628,862,633,229,17,452,410
4c,MN-502,Rochester/Southeast Minnesota CoC,10,3,61.57396538,11883.87,722.3594666,14809.08467,731737,4.57,6.57,7.58,163.5173358,2297.5,502,552,495,57,38,262,290
4c,UT-503,Utah Balance of State CoC,10,3,16.03668137,76376.65,835.3522478,16486.33552,1224828,5.140897261,5.264318794,6.593912084,229.1240876,2878.5,886,634,558,76,34,416,218
4c,WY-500,Wyoming Statewide CoC,11,3,6.004842361,97093.14,812.9137659,15564.64354,583029,4.294531627,7.618990959,7.070065125,245.7755474,1964.7,698,873,510,363,68,622,251
4c,CA-530,"Alpine, Inyo, Mono Counties CoC",11,3,2.402673503,13968.19,955.268526,16542.31841,33561,4.114736152,6.451907571,10.57059653,218.9666971,2441.1,0,121,5,116,31,102,19
4c,AK-501,Alaska Balance of State CoC,11,3,0.769038724,568936.24,1095.192108,17466.83048,437534,4.069434421,7.282305695,13.73001966,278.2458942,2760,805,717,578,139,141,506,211
5a,MA-505,New Bedford CoC,2,1,4751.6,20,829,12107,95032,4.03,5.98,12.17,117.05976,1857.1,352,352,303,49,30,174,178
5a,MN-501,Saint Paul/Ramsey County CoC,2,1,3492.070166,152.21,892,13250,531528,4.41,7.35,10.86,136.3755,3484.4,1487,1438,1272,166,269,905,533
5a,NE-502,Lincoln CoC,2,1,3146.268657,89.11,750,13024,280364,4.54,8.25,6.54,135.87591,3348.7,611,606,557,49,75,385,221
5a,OH-503,Columbus/Franklin County CoC,2,1,2315.184427,532.19,869,11657,1232118,4.42,7.64,13.06,110.2327,4278.2,1229,1691,1351,340,229,1242,449
5a,NC-505,Charlotte/Mecklenberg CoC,2,1,1931.45617,523.84,977,13868,1011774,4.17,6.64,9.78,60.4447993,3566.9,1187,1476,1261,215,147,1016,460
5a,FL-601,Ft Lauderdale/Broward County CoC,2,1,1540.581423,1209.79,1226,12165,1863780,3.43,5.81,8.65,0,3415.5,1669,2450,1493,957,581,2037,413
5a,CA-503,Sacramento City & County CoC,2,1,1533.52546,964.64,1065,12501,1479300,4.08,6.48,12.19,26.309307,3123.2,1431,3665,1613,2052,1126,3076,589
5a,TX-500,San Antonio/Bexar County CoC,2,1,1499.168428,1239.82,902,11877,1858699,4.14,5.96,8.15,9.990876,5417.8,2252,2743,1641,1102,651,1899,844
5a,OH-506,Akron/Barberton/Summit County CoC,2,1,1311.622047,412.75,760,11542,541372,4.58,6.87,10.79,115.3946,2799.1,477,507,429,78,56,392,115
5a,FL-501,Tampa/Hillsborough County CoC,2,1,1296.849668,1020.21,992,11789,1323059,3.94,6.9,10.37,1.831660584,2427.7,1108,1549,982,567,235,1070,479
5a,TX-503,Austin/Travis County CoC,2,1,1159.539487,990.2,1113,14335,1148176,3.77,8.19,10.75,21.24458,4142.4,1309,2036,1202,834,553,1460,576
5a,OK-501,Tulsa City & County/Broken Arrow CoC,2,1,1104.468216,570.25,790,11538,629823,4.45,7.62,10.42,77.42929,5081.6,848,1074,900,174,137,819,255
5a,OK-502,Oklahoma City CoC,2,1,1078.832426,708.82,794,11444,764698,4.44,7.12,9.31,68.4375,4410.9,1357,1368,1100,268,254,1009,359
5a,NC-502,Durham City & County CoC,2,1,1030.204909,285.98,921,11814,294618,4.6,5.78,8.92,60.77783,4438.7,319,354,294,60,50,254,100
5a,FL-603,Ft Myers/Cape Coral/Lee County CoC,2,1,868.0195281,784.51,984,12457,680970,3.7,5.89,8.5,0,3415.5,286,431,244,187,65,317,114
5a,FL-510,"Jacksonville-Duval, Clay Counties CoC",3,1,584.7701706,2015.19,978.9848111,11943.33252,1178423,3.75,6.54,10.27,2.164689781,3415.5,1568,1869,1437,432,319,1444,425
5a,KS-502,Wichita/Sedgwick County CoC,3,1,509.4896292,997.51,750,11670,508221,4.15,6.88,6.61,99.40921533,4722.9,581,575,464,111,39,395,180
5a,ID-500,Boise/Ada County CoC,3,1,404.5279219,1052.58,871,13195,425798,4.26,7.81,8.5,97.85476,1854.8,771,833,722,111,327,671,162
5a,KS-503,Topeka/Shawnee County CoC,3,1,328.2360943,544.02,738,12889,178567,4.19,7.71,6.59,110.2327,2735.2,339,356,322,34,119,247,109
5a,WA-502,Spokane City & County CoC,3,1,275.4630653,1763.79,805,11577,485859,5.49,7.04,14.59,116.7267,3706.1,1068,1090,952,138,325,791,299
5a,AR-500,Little Rock/Central Arkansas CoC,3,1,202.2694302,2902.05,783.4763678,12122.66617,586996,4.78,5.33,8.12,78.09534672,3338,674,1006,456,550,226,892,114
5b,CA-612,Glendale CoC,4,2,6595.43514,30.45,1264,12164,200831,3.8,6.9,10.92,32.96989051,1559.3,104,168,111,57,67,72,96
5b,CA-607,Pasadena CoC,4,2,6184.545059,22.97,1264,12164,142059,3.8,6.9,10.92,32.96989051,2471.3,163,575,228,347,202,465,110
5b,GA-508,DeKalb County CoC,5,2,2778.254529,260.56,1018,11900,723902,3.47,6.47,9.94,15.53191,3281.2,341,460,275,185,47,266,194
5b,NJ-511,Paterson/Passaic County CoC,5,2,2747.732813,184.59,1211,11523,507204,3.45,6.9,7.91,122.0552,1734.1,526,449,360,89,58,249,200
5b,MA-515,Fall River CoC,5,2,2684.274072,33.13,829,12107,88930,4.03,5.98,12.17,130.71396,1857.1,294,297,278,19,7,62,235
5b,OR-501,Portland-Gresham-Multnomah County CoC,5,2,1804.296313,431.3,1013,11772,778193,5.03,7.83,16.48,31.80428832,5234.8,2562,4177,2509,1668,1290,3520,657
5b,MI-503,St. Clair Shores/Warren/Macomb County CoC,5,2,1793.963107,479.22,884,14273,859703,4.44,6.21,11.62,105.68455,2043.9,306,354,290,64,31,276,78
5b,PA-600,Pittsburgh/McKeesport/Penn Hills/Allegheny County CoC,5,2,1685.263057,730.07,800,11721,1230360,3.98,7.53,10.65,118.225365,3212.8,1092,1145,1092,53,131,756,389
5b,TN-504,Nashville/Davidson County CoC,5,2,1325.089776,504.03,904,12048,667885,4.35,6.7,7.66,63.94161,3646.8,1783,2337,1698,639,617,1990,347
5b,MA-510,"Gloucester, Haverhill, Salem/Essex County CoC",5,2,1255.987702,474.89,1102,13877,596456,3.93,6.93,11.6,147.5319343,1857.1,693,747,700,47,195,228,519
5b,NY-500,Rochester/Irondequoit/Greece/Monroe County CoC,5,2,1140.025258,657.21,843,11730,749236,4.19,6.81,10.49,107.1042471,1718.2,637,817,752,65,184,510,307
5b,RI-500,Rhode Island Statewide CoC,5,2,1020.004643,1033.81,956.9048802,12074.00667,1054491,4.983804139,8.088146926,15.24674803,125.0524635,2173.6,1069,1180,1111,69,240,802,378
5b,NJ-503,"Camden City/Camden, Cumberland, Gloucester, Cape May Counties CoC",6,2,824.1452139,1278.39,1027.484429,13878.26768,1053579,3.57,6.76,8.87,71.10173,1734.1,795,938,811,127,85,629,309
5b,FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",6,2,791.6704067,2540.1,1074.581577,12100.36757,2010922,3.972380023,6.458809989,9.102327355,1.332116788,3415.5,2229,2074,1734,340,194,1342,732
5b,NY-507,Schenectady City & County CoC,6,2,757.1142187,204.52,857,13185,154845,3.8,6.29,11.34,143.03604,1718.2,180,274,251,23,15,171,103
5b,MI-506,Grand Rapids/Wyoming/Kent County CoC,6,2,743.0804652,846.95,787,13370,629352,4.62,6.85,10.65,122.8877737,2043.9,794,912,851,61,108,614,298
5b,MA-519,Attleboro/Taunton/Bristol County CoC,6,2,741.8565114,499.97,829,12107,370906,4.03,5.98,12.17,130.71396,1857.1,225,234,198,36,22,81,153
5b,FL-605,West Palm Beach/Palm Beach County CoC,6,2,710.1154455,1969.76,1206,12993,1398757,3.45,5.82,8.04,0,3415.5,642,1607,526,1081,252,1281,326
5b,FL-519,Pasco County CoC,6,2,653.7910536,746.89,946,11838,488310,4.1,6.1,9.72,1.16560219,3415.5,220,2593,178,2415,847,838,1755
5b,OH-508,Canton/Massillon/Alliance/Stark County CoC,6,2,651.4540998,575.27,689,12113,374762,4.74,6.38,8.61,113.3964,2799.1,328,319,297,22,13,147,172
5b,CA-508,Watsonville/Santa Cruz City & County CoC,6,2,608.6012085,445.17,1482,14422,270931,3.83,7.14,13.23,7.493156934,2441.1,482,2249,450,1799,600,1846,403
5b,NY-503,Albany City & County CoC,6,2,588.9269319,522.8,931,13400,307891,3.8,6.29,11.34,130.21442,1718.2,478,802,777,25,82,515,287
5b,WI-502,Racine City & County CoC,6,2,586.0842105,332.5,808,14429,194873,3.64,7.14,8.2,149.8631387,2088.3,258,194,187,7,17,139,55
5b,FL-500,"Sarasota/Bradenton/Manatee, Sarasota Counties CoC",6,2,578.5509701,1298.8,1030.607072,13308.82734,751422,3.96,6.45,7.83,0.171120488,3415.5,988,1447,785,662,285,1202,245
5b,FL-513,Palm Bay/Melbourne/Brevard County CoC,6,2,552.0380836,1015.66,936,12338,560683,3.91,6.49,9.5,1.107738998,6359.9,735,845,592,253,167,583,262
5b,MA-506,Worcester City & County CoC,6,2,538.5260496,1510.77,955,14048,813589,4.07,7.05,12.57,150.6957117,1857.1,1454,1507,1371,136,89,584,923
5b,PA-501,Harrisburg/Dauphin County CoC,6,2,517.9735263,525.05,863,13475,271962,3.92,5.69,7.04,99.90876,1931.7,420,460,390,70,45,309,151
5b,CA-511,Stockton/San Joaquin County CoC,6,2,513.7998448,1391.32,1057,12603,714860,3.94,6.37,11.69,24.14462,4389.7,1123,1542,975,567,254,1016,526
5b,MI-509,Ann Arbor/Washtenaw County CoC,6,2,507.2198535,705.97,980,12932,358082,4.14,6.24,9.88,140.205292,2043.9,227,302,262,40,43,242,60
5b,OK-504,Norman/Cleveland County CoC,6,2,504.5158416,538.77,848,14204,271818,4.44,7.67,8.45,68.77053,2990.7,72,174,98,76,111,155,19
5b,NJ-500,Atlantic City & County CoC,6,2,493.1185892,555.7,1054,12958,274026,3.57,6.76,8.87,102.4064781,1734.1,351,422,313,109,104,382,40
5b,PA-506,Reading/Berks County CoC,6,2,483.4701288,856.51,870,13507,414097,3.94,5.72,7.73,115.5611314,1931.7,488,534,521,13,2,366,168
