Recipient,State,INST_TYPE,LONGITUDE,LATITUDE,COUNTY,Football,Basketball,Fed_Funding_Amt
Good Samaritan College of Nursing and Health Science,OH,"Private not-for-profit, 4-year or above",-84.523399,39.140162,Hamilton County,NA,NA,3238955
Williams Baptist College,AR,"Private not-for-profit, 4-year or above",-90.940277,36.125676,Lawrence County,NA,American Midwest Conference,3238736
Ozark Christian College,MO,"Private not-for-profit, 4-year or above",-94.510906,37.105242,Jasper County,NA,NA,3230786
University of Arkansas Community College Rich Mountain,AR,"Public, 2-year",-94.2197,34.590793,Polk County,NA,NA,3226798
Ogeechee Technical College,GA,"Public, 2-year",-81.818517,32.395767,Bulloch County,NA,NA,3202922
Everest College-Colorado Springs,CO,"Private not-for-profit, 2-year",-104.740267,38.807095,El Paso County,NA,NA,3193059
Bellin College,WI,"Private not-for-profit, 4-year or above",-87.921722,44.468277,Brown County,NA,NA,3181220
MacCormac College,IL,"Private not-for-profit, 2-year",-87.626657,41.881898,Cook County,NA,NA,3163465
Rappahannock Community College,VA,"Public, 2-year",-76.623915,37.564433,Gloucester County,NA,NA,3162793
City College-Altamonte Springs,FL,"Private not-for-profit, 2-year",-81.402351,28.66349,Seminole County,NA,NA,3159119
College of the Ozarks,MO,"Private not-for-profit, 4-year or above",-93.238174,36.616019,Taney County,NA,Association of Independent Institutions,3154650
Carteret Community College,NC,"Public, 2-year",-76.756673,34.724636,Carteret County,NA,NA,3148779
College of Marin,CA,"Public, 2-year",-122.549936,37.955014,Marin County,NA,NA,3146909
Dallas County Community College District,TX,Administrative Unit,-96.794036,32.766319,Dallas County,NA,NA,3136038
Cranbrook Academy of Art,MI,"Private not-for-profit, 4-year or above",-83.25124,42.568716,Oakland County,NA,NA,3125378
New College of Florida,FL,"Public, 4-year or above",-82.55858,27.384925,Sarasota County,NA,NA,3124022
Leech Lake Tribal College,MN,"Public, 2-year",-94.653182,47.396282,Cass County,NA,NA,3118476
College of St Joseph,VT,"Private not-for-profit, 4-year or above",-73.007033,43.599777,Rutland County,NA,NA,3108245
Bethany Lutheran College,MN,"Private not-for-profit, 4-year or above",-93.990744,44.166485,Blue Earth County,NA,Upper Midwest Athletic Conference,3097082
Dabney S Lancaster Community College,VA,"Public, 2-year",-79.85179,37.812546,Alleghany County,NA,NA,3095557
Manhattan Area Technical College,KS,"Public, 2-year",-96.615672,39.197774,Riley County,NA,NA,3091530
Hebrew Union College-Jewish Institute of Religion,NY,"Private not-for-profit, 4-year or above",-73.994499,40.728938,New York County,NA,NA,3085421
Piedmont International University,NC,"Private not-for-profit, 4-year or above",-80.250153,36.087962,Forsyth County,NA,NA,3077503
Paul D Camp Community College,VA,"Public, 2-year",-76.937572,36.674535,Franklin City,NA,NA,3070680
Coleman University,CA,"Private not-for-profit, 4-year or above",-117.136493,32.821962,San Diego County,NA,NA,3070468
St. John's College,MD,"Private not-for-profit, 4-year or above",-76.491397,38.981513,Anne Arundel County,NA,NA,3069705
Word of Life Bible Institute,NY,"Private not-for-profit, 2-year",-73.809237,43.731024,Warren County,NA,NA,3063472
Sentara College of Health Sciences,VA,"Private not-for-profit, 4-year or above",-76.242722,36.777001,Chesapeake City,NA,NA,3062111
Dakota College at Bottineau,ND,"Public, 2-year",-100.441103,48.832505,Bottineau County,NA,NA,3056929
Union Theological Seminary in the City of New York,NY,"Private not-for-profit, 4-year or above",-73.96212,40.811461,New York County,NA,NA,3044530
Watkins College of Art Design & Film,TN,"Private not-for-profit, 4-year or above",-86.805888,36.194659,Davidson County,NA,NA,3024838
Dallas Nursing Institute,TX,"Private not-for-profit, 4-year or above",-96.734878,32.9138,Dallas County,NA,NA,3022286
Florida Keys Community College,FL,"Public, 2-year",-81.74446,24.582748,Monroe County,NA,NA,3014325
Saint Anthony College of Nursing,IL,"Private not-for-profit, 4-year or above",-89.008932,42.270148,Winnebago County,NA,NA,3013445
Hiwassee College,TN,"Private not-for-profit, 4-year or above",-84.364631,35.557691,Monroe County,NA,NA,2996121
Iliff School of Theology,CO,"Private not-for-profit, 4-year or above",-104.960657,39.675927,Denver County,NA,NA,2994538
Lawrence Memorial Hospital School of Nursing,MA,"Private not-for-profit, 2-year",-71.110848,42.42559,Middlesex County,NA,NA,2992875
Isothermal Community College,NC,"Public, 2-year",-81.911857,35.336728,NA,NA,NA,2985225
Brewster Technical College,FL,"Public, 2-year",-82.461722,27.96373,Hillsborough County,NA,NA,2964601
Clatsop Community College,OR,"Public, 2-year",-123.823339,46.183107,Clatsop County,NA,NA,2954645
Bon Secours Memorial College of Nursing,VA,"Private not-for-profit, 4-year or above",-77.433191,37.646876,Henrico County,NA,NA,2940673
