Recipient,State,INST_TYPE,LONGITUDE,LATITUDE,COUNTY,Football,Basketball,Fed_Funding_Amt
Stevens Institute of Technology,NJ,"Private not-for-profit, 4-year or above",-74.025334,40.744776,NA,NA,NA,40996849
Manhattan College,NY,"Private not-for-profit, 4-year or above",-73.901893,40.889756,Bronx County,NA,Metro Atlantic Athletic Conference,40953955
San Antonio College,TX,"Public, 2-year",-98.497647,29.44634,Bexar County,NA,NA,40923755
Kansas City University of Medicine and Biosciences,MO,"Private not-for-profit, 4-year or above",-94.561374,39.107553,Jackson County,NA,NA,40850750
Butler University,IN,"Private not-for-profit, 4-year or above",-86.171791,39.840662,Marion County,Pioneer Football League,Big East Conference,40550559
Goodwin College,CT,"Private not-for-profit, 4-year or above",-72.64032,41.742977,Hartford County,NA,NA,40506410
Ramapo College of New Jersey,NJ,"Public, 4-year or above",-74.174086,41.080942,Bergen County,NA,New Jersey Athletic Conference,40305506
Champlain College,VT,"Private not-for-profit, 4-year or above",-73.204354,44.47295,Chittenden County,NA,NA,40266131
Central Texas College,TX,"Public, 2-year",-97.810827,31.120516,Coryell County,NA,NA,40199401
Indian River State College,FL,"Public, 4-year or above",-80.35785,27.423121,St. Lucie County,NA,NA,40158555
Saint Mary's College of California,CA,"Private not-for-profit, 4-year or above",-122.109031,37.840731,Contra Costa County,NA,West Coast Conference,39989743
Santa Fe College,FL,"Public, 4-year or above",-82.433958,29.680698,Alachua County,NA,NA,39984237
Grand Rapids Community College,MI,"Public, 2-year",-85.666571,42.966408,Kent County,NA,NA,39820674
Mississippi Gulf Coast Community College,MS,"Public, 2-year",-89.142952,30.780784,Stone County,NA,NA,39784282
Bossier Parish Community College,LA,"Public, 2-year",-93.646881,32.539551,NA,NA,NA,39757518
Northwest Missouri State University,MO,"Public, 4-year or above",-94.884341,40.352706,Nodaway County,Mid-America Intercollegiate Ath Assoc,Mid-America Intercollegiate Ath Assoc,39676566
Westfield State University,MA,"Public, 4-year or above",-72.795673,42.131589,Hampden County,New England Football Conference,Massachusetts State College Ath Assoc,39664131
Midlands Technical College,SC,"Public, 2-year",-81.115761,33.949325,Lexington County,NA,NA,39616298
Northeast Ohio Medical University,OH,"Public, 4-year or above",-81.245302,41.102919,Portage County,NA,NA,39601417
National Louis University,IL,"Private not-for-profit, 4-year or above",-87.624805,41.879826,NA,NA,NA,39514140
Wilkes University,PA,"Private not-for-profit, 4-year or above",-75.890262,41.244199,Luzerne County,Middle Atlantic States Athletic Corporation,Middle Atlantic States Athletic Corporation,39408613
Community College of Rhode Island,RI,"Public, 2-year",-71.481509,41.712817,Kent County,NA,NA,39404278
New Mexico Institute of Mining and Technology,NM,"Public, 4-year or above",-106.907491,34.066035,Socorro County,NA,NA,39394907
East Los Angeles College,CA,"Public, 2-year",-118.148384,34.039205,Los Angeles County,NA,NA,39326070
Abilene Christian University,TX,"Private not-for-profit, 4-year or above",-99.70954,32.46915,Taylor County,Southland Conference,Southland Conference,39194401
Collin County Community College District,TX,"Public, 2-year",-96.63894,33.16241,Collin County,NA,NA,39173956
D'Youville College,NY,"Private not-for-profit, 4-year or above",-78.890868,42.902636,Erie County,NA,Northeast Conference,39159120
American International College,MA,"Private not-for-profit, 4-year or above",-72.558507,42.112708,Hampden County,Northeast 10 Conference,Northeast 10 Conference,39113038
Concordia University-Chicago,IL,"Private not-for-profit, 4-year or above",-87.810009,41.898574,Cook County,Northern Athletics Collegiate Conference,Northern Athletics Collegiate Conference,38858237
Pasadena City College,CA,"Public, 2-year",-118.118196,34.144552,Los Angeles County,NA,NA,38750066
Tyler Junior College,TX,"Public, 4-year or above",-95.284129,32.336015,Smith County,NA,NA,38605287
Longwood University,VA,"Public, 4-year or above",-78.395789,37.301073,Prince Edward County,NA,Big South Conference,38544162
American River College,CA,"Public, 2-year",-121.346012,38.649734,Sacramento County,NA,NA,38512363
Tallahassee Community College,FL,"Public, 4-year or above",-84.339,30.443866,Leon County,NA,NA,38483183
Georgia College and State University,GA,"Public, 4-year or above",-83.231962,33.082787,Baldwin County,NA,Peach Belt Conference,38418427
Western Connecticut State University,CT,"Public, 4-year or above",-73.444264,41.400365,Fairfield County,Freedom Football Conference,Little East Conference,38401448
El Camino Community College District,CA,"Public, 2-year",-118.326623,33.885586,Los Angeles County,NA,NA,38396635
Baldwin Wallace University,OH,"Private not-for-profit, 4-year or above",-81.849112,41.373938,Cuyahoga County,Ohio Athletic Conference,Ohio Athletic Conference,38322941
Delaware Technical Community College-Terry,DE,"Public, 4-year or above",-75.56012,39.198371,Kent County,NA,NA,38239487
Delaware Technical Community College-Central Office,DE,Administrative Unit,-75.5582,39.20109,Kent County,NA,NA,38239487
Gannon University,PA,"Private not-for-profit, 4-year or above",-80.087166,42.128403,Erie County,Pennsylvania State Athletic Conference,Pennsylvania State Athletic Conference,38216793
Olivet Nazarene University,IL,"Private not-for-profit, 4-year or above",-87.873654,41.155489,Kankakee County,Mid-States Football Association,Chicagoland Collegiate Athletic Conf,38189642
Erie Community College,NY,"Public, 2-year",-78.872679,42.881771,Erie County,NA,NA,38167034
The John Marshall Law School,IL,"Private not-for-profit, 4-year or above",-87.628567,41.877966,Cook County,NA,NA,38147413
CUNY Queensborough Community College,NY,"Public, 2-year",-73.754548,40.754858,Queens County,NA,NA,38117196
Frostburg State University,MD,"Public, 4-year or above",-78.933871,39.651509,Allegany County,New Jersey Athletic Conference,Capital Athletic Conference,38110272
Emerson College,MA,"Private not-for-profit, 4-year or above",-71.065384,42.352202,Suffolk County,NA,New England Women's & Men's Athletic Conference,38075233
Iona College,NY,"Private not-for-profit, 4-year or above",-73.785635,40.927107,Westchester County,NA,Metro Atlantic Athletic Conference,38003336
College of DuPage,IL,"Public, 2-year",-88.071635,41.841577,Dupage County,NA,NA,37863227
St. Joseph's College-New York,NY,"Private not-for-profit, 4-year or above",-73.968037,40.690485,Kings County,NA,Skyline Conference,37824638
Cerritos College,CA,"Public, 2-year",-118.097263,33.88584,Los Angeles County,NA,NA,37822813
Arcadia University,PA,"Private not-for-profit, 4-year or above",-75.165205,40.091941,Montgomery County,NA,Middle Atlantic States Athletic Corporation,37804120
Gardner-Webb University,NC,"Private not-for-profit, 4-year or above",-81.668141,35.24732,Cleveland County,Big South Conference,Big South Conference,37783942
University of Mary Hardin-Baylor,TX,"Private not-for-profit, 4-year or above",-97.463479,31.066798,Bell County,American Southwest Conference,American Southwest Conference,37777947
CUNY York College,NY,"Public, 4-year or above",-73.794586,40.702661,Queens County,NA,City University of New York Ath Conf,37704322
University of the District of Columbia,DC,"Public, 4-year or above",-77.066247,38.943819,District Of Columbia,NA,East Coast Conference,37595587
Quinsigamond Community College,MA,"Public, 2-year",-71.79503,42.31379,Worcester County,NA,NA,37595523
School of the Museum of Fine Arts at Tufts University,MA,"Private not-for-profit, 4-year or above",-71.096556,42.338505,Suffolk County,NA,NA,37589686
Bergen Community College,NJ,"Public, 2-year",-74.094086,40.953733,Bergen County,NA,NA,37552445
Northampton County Area Community College,PA,"Public, 2-year",-75.32351,40.67253,Northampton County,NA,NA,37536519
Marymount University,VA,"Private not-for-profit, 4-year or above",-77.128799,38.905552,Arlington County,NA,Capital Athletic Conference,37487008
Pittsburg State University,KS,"Public, 4-year or above",-94.704782,37.3913,Crawford County,Mid-America Intercollegiate Ath Assoc,Mid-America Intercollegiate Ath Assoc,37482569
Husson University,ME,"Private not-for-profit, 4-year or above",-68.791476,44.829002,Penobscot County,Eastern Collegiate Football Conference,North Atlantic Conference,37466168
Le Moyne College,NY,"Private not-for-profit, 4-year or above",-76.088449,43.047316,Onondaga County,NA,Northeast 10 Conference,37452902
Pitt Community College,NC,"Public, 2-year",-77.407203,35.550591,Pitt County,NA,NA,37450249
Adler University,IL,"Private not-for-profit, 4-year or above",-87.629131,41.88253,Cook County,NA,NA,37379695
Delaware County Community College,PA,"Public, 2-year",-75.39308,39.966724,Delaware County,NA,NA,37316567
Concordia University-Irvine,CA,"Private not-for-profit, 4-year or above",-117.81063,33.6535,Orange County,NA,NA,37309106
Fresno Pacific University,CA,"Private not-for-profit, 4-year or above",-119.731953,36.725279,Fresno County,NA,Pacific West Conference,37280300
Concordia University-Saint Paul,MN,"Private not-for-profit, 4-year or above",-93.155281,44.95045,Ramsey County,Northern Sun Intercollegiate Conference,Northern Sun Intercollegiate Conference,37267118
Jacksonville University,FL,"Private not-for-profit, 4-year or above",-81.60706,30.350349,Duval County,Pioneer Football League,Atlantic Sun Conference,37242073
Texas A&M University-San Antonio,TX,"Public, 4-year or above",-98.52417,29.304762,Bexar County,NA,NA,37185414
CUNY Kingsborough Community College,NY,"Public, 2-year",-73.934779,40.576446,Kings County,NA,NA,37165830
Mesa Community College,AZ,"Public, 2-year",-111.871255,33.390323,Maricopa County,NA,NA,37148051
Dallas Baptist University,TX,"Private not-for-profit, 4-year or above",-96.947006,32.710017,Dallas County,NA,Heartland Conference,37074436
University of New Orleans,LA,"Public, 4-year or above",-90.068506,30.028539,Orleans Parish,NA,Southland Conference,37070600
Georgia Military College,GA,"Public, 4-year or above",-83.224401,33.07865,Baldwin County,NA,NA,37027870
Nicholls State University,LA,"Public, 4-year or above",-90.801571,29.794486,Lafourche Parish,Southland Conference,Southland Conference,36991609
Francis Marion University,SC,"Public, 4-year or above",-79.655515,34.192277,Florence County,NA,Peach Belt Conference,36955569
Oakland Community College,MI,"Public, 2-year",-83.244787,42.595441,Oakland County,NA,NA,36780933
Palm Beach Atlantic University,FL,"Private not-for-profit, 4-year or above",-80.05247,26.7044,Palm Beach County,NA,Independent Southeast Region,36705196
Whittier College,CA,"Private not-for-profit, 4-year or above",-118.028402,33.977625,Los Angeles County,Southern California Intercoll Ath Conf,Southern California Intercoll Ath Conf,36464889
Century College,MN,"Public, 2-year",-92.982109,45.041816,Washington County,NA,NA,36429878
University of Saint Joseph,CT,"Private not-for-profit, 4-year or above",-72.730489,41.783028,Hartford County,NA,Great Northeast Athletic Conference,36394235
Frontier Nursing University,KY,"Private not-for-profit, 4-year or above",-83.376447,37.16363,Leslie County,NA,NA,36392492
Norwich University,VT,"Private not-for-profit, 4-year or above",-72.660129,44.139402,NA,NA,NA,36322554
New England Institute of Technology,RI,"Private not-for-profit, 4-year or above",-71.502892,41.661783,Kent County,NA,NA,36192926
Southern Utah University,UT,"Public, 4-year or above",-113.070146,37.674617,Iron County,Big Sky Conference,Big Sky Conference,36124618
Saint Edward's University,TX,"Private not-for-profit, 4-year or above",-97.75763,30.229844,Travis County,NA,Heartland Conference,36105472
SUNY College at Potsdam,NY,"Public, 4-year or above",-74.976889,44.662862,St. Lawrence County,NA,State University of New York Ath Conf,35920483
Glendale Community College,AZ,"Public, 2-year",-112.190735,33.570226,Maricopa County,NA,NA,35826999
The College of Saint Rose,NY,"Private not-for-profit, 4-year or above",-73.78611,42.664664,Albany County,NA,Northeast 10 Conference,35790771
Pacific Northwest University of Health Sciences,WA,"Private not-for-profit, 4-year or above",-120.45598,46.602872,Yakima County,NA,NA,35735590
Lansing Community College,MI,"Public, 2-year",-84.552201,42.739099,Ingham County,NA,NA,35714018
Franklin University,OH,"Private not-for-profit, 4-year or above",-82.991825,39.958402,Franklin County,NA,NA,35659902
Wayland Baptist University,TX,"Private not-for-profit, 4-year or above",-101.729564,34.186673,Hale County,Sooner Athletic Conference,Sooner Athletic Conference,35631330
Southwestern Law School,CA,"Private not-for-profit, 4-year or above",-118.288375,34.061558,Los Angeles County,NA,NA,35554747
Lincoln University,PA,"Public, 4-year or above",-75.928273,39.807725,Chester County,Central Intercollegiate Athletic Assoc,Central Intercollegiate Athletic Assoc,35542484
Capital University,OH,"Private not-for-profit, 4-year or above",-82.937867,39.954875,Franklin County,Ohio Athletic Conference,Ohio Athletic Conference,35510961
Horry-Georgetown Technical College,SC,"Public, 2-year",-79.003611,33.79614,Horry County,NA,NA,35379710
SUNY at Fredonia,NY,"Public, 4-year or above",-79.336109,42.450961,Chautauqua County,NA,State University of New York Ath Conf,35303848
Keene State College,NH,"Public, 4-year or above",-72.281433,42.925999,Cheshire County,NA,Little East Conference,35148023
Pikes Peak Community College,CO,"Public, 2-year",-104.787261,38.764287,El Paso County,NA,NA,35131871
Lee University,TN,"Private not-for-profit, 4-year or above",-84.870018,35.166166,Bradley County,NA,Gulf South Conference,35115214
Seattle Pacific University,WA,"Private not-for-profit, 4-year or above",-122.362923,47.649338,King County,NA,Great Northwest Athletic Conference,35034421
Southern Oregon University,OR,"Public, 4-year or above",-122.694034,42.186467,Jackson County,Frontier Conference,Cascade Collegiate Conference,35027704
Eastern Connecticut State University,CT,"Public, 4-year or above",-72.218753,41.721673,Windham County,NA,Little East Conference,34934137
Bethel University,MN,"Private not-for-profit, 4-year or above",-93.159295,45.057091,Ramsey County,Minnesota Intercollegiate Ath Conf,Minnesota Intercollegiate Ath Conf,34849274
Alabama College of Osteopathic Medicine,AL,"Private not-for-profit, 4-year or above",-85.340805,31.206294,Houston County,NA,NA,34815938
University of Nebraska at Kearney,NE,"Public, 4-year or above",-99.09807,40.701287,Buffalo County,Mid-America Intercollegiate Ath Assoc,Mid-America Intercollegiate Ath Assoc,34765027
Metropolitan Community College-Kansas City,MO,"Public, 2-year",-94.58966,39.068668,Jackson County,NA,NA,34668873
Franklin Pierce University,NH,"Private not-for-profit, 4-year or above",-72.058011,42.78014,Cheshire County,Other,Northeast 10 Conference,34668449
Florida SouthWestern State College,FL,"Public, 4-year or above",-81.887375,26.554737,Lee County,NA,NA,34491755
Pulaski Technical College,AR,"Public, 2-year",-92.299729,34.78243,Pulaski County,NA,NA,34490835
Fresno City College,CA,"Public, 2-year",-119.795129,36.767516,Fresno County,NA,NA,34482550
Mott Community College,MI,"Public, 2-year",-83.67243,43.019941,Genesee County,NA,NA,34465088
Palo Alto University,CA,"Private not-for-profit, 4-year or above",-122.186022,37.383251,Santa Clara County,NA,NA,34356018
Macomb Community College,MI,"Public, 2-year",-82.97373,42.507039,Macomb County,NA,NA,34330384
Oklahoma City University,OK,"Private not-for-profit, 4-year or above",-97.541242,35.495271,Oklahoma County,NA,Sooner Athletic Conference,34312209
Saint Peter's University,NJ,"Private not-for-profit, 4-year or above",-74.071541,40.727105,Hudson County,NA,Metro Atlantic Athletic Conference,34074945
Marywood University,PA,"Private not-for-profit, 4-year or above",-75.633996,41.434978,Lackawanna County,NA,Colonial States Athletic Conference,33913096
Trevecca Nazarene University,TN,"Private not-for-profit, 4-year or above",-86.753566,36.142115,Davidson County,NA,Great Midwest Athletic Conference,33821089
McNeese State University,LA,"Public, 4-year or above",-93.215648,30.180762,Calcasieu Parish,Southland Conference,Southland Conference,33804905
Emporia State University,KS,"Public, 4-year or above",-96.179021,38.414784,Lyon County,Mid-America Intercollegiate Ath Assoc,Mid-America Intercollegiate Ath Assoc,33714348
York College Pennsylvania,PA,"Private not-for-profit, 4-year or above",-76.727984,39.94614,York County,NA,Capital Athletic Conference,33643116
Saint Xavier University,IL,"Private not-for-profit, 4-year or above",-87.713507,41.707763,Cook County,Mid-States Football Association,Chicagoland Collegiate Athletic Conf,33619792
Owens Community College,OH,"Public, 2-year",-83.536023,41.588272,Wood County,NA,NA,33601488
University of Portland,OR,"Private not-for-profit, 4-year or above",-122.726859,45.571807,Multnomah County,NA,West Coast Conference,33572479
Wentworth Institute of Technology,MA,"Private not-for-profit, 4-year or above",-71.094983,42.336632,Suffolk County,NA,Commonwealth Coast Conference,33491222
Auburn University at Montgomery,AL,"Public, 4-year or above",-86.177351,32.369939,Montgomery County,NA,Independent Southeast Region,33422926
Robert Morris University Illinois,IL,"Private not-for-profit, 4-year or above",-87.627068,41.876278,Cook County,Independent Midwest Region,Chicagoland Collegiate Athletic Conf,33408768
SUNY at Purchase College,NY,"Public, 4-year or above",-73.701955,41.047223,Westchester County,NA,Skyline Conference,33404551
Augsburg College,MN,"Private not-for-profit, 4-year or above",-93.241418,44.965636,Hennepin County,Minnesota Intercollegiate Ath Conf,Minnesota Intercollegiate Ath Conf,33387339
Antelope Valley College,CA,"Public, 4-year or above",-118.186166,34.676207,Los Angeles County,NA,NA,33355921
Missouri Southern State University,MO,"Public, 4-year or above",-94.460893,37.095722,Jasper County,Mid-America Intercollegiate Ath Assoc,Mid-America Intercollegiate Ath Assoc,33326950
Dixie State University,UT,"Public, 4-year or above",-113.565894,37.103875,Washington County,Rocky Mountain Athletic Conference,Pacific West Conference,33294221
Onondaga Community College,NY,"Public, 2-year",-76.196454,43.007418,Onondaga County,NA,NA,33267549
University of Northwestern Ohio,OH,"Private not-for-profit, 4-year or above",-84.150423,40.76005,Allen County,NA,Wolverine-Hoosier Athletic Conference,33239383
Citadel Military College of South Carolina,SC,"Public, 4-year or above",-79.961399,32.796975,Charleston County,Southern Conference,Southern Conference,33225045
Colorado State University-Pueblo,CO,"Public, 4-year or above",-104.579846,38.309219,Pueblo County,Rocky Mountain Athletic Conference,Rocky Mountain Athletic Conference,33217637
Claflin University,SC,"Private not-for-profit, 4-year or above",-80.854368,33.497367,Orangeburg County,NA,Southern Intercollegiate Athletic Conf,33187086
Chemeketa Community College,OR,"Public, 2-year",-122.977179,44.978206,Marion County,NA,NA,33126796
Merrimack College,MA,"Private not-for-profit, 4-year or above",-71.124216,42.668352,Essex County,Northeast 10 Conference,Northeast 10 Conference,33103915
Hamline University,MN,"Private not-for-profit, 4-year or above",-93.163983,44.965696,Ramsey County,Minnesota Intercollegiate Ath Conf,Minnesota Intercollegiate Ath Conf,33070779
School of the Art Institute of Chicago,IL,"Private not-for-profit, 4-year or above",-87.621411,41.879646,Cook County,NA,NA,33065787
Saint Ambrose University,IA,"Private not-for-profit, 4-year or above",-90.58098,41.540081,Scott County,Mid-States Football Association,Chicagoland Collegiate Athletic Conf,33062297
California Western School of Law,CA,"Private not-for-profit, 4-year or above",-117.162597,32.72194,San Diego County,NA,NA,32993782
SUNY College at Geneseo,NY,"Public, 4-year or above",-77.821999,42.796864,Livingston County,NA,State University of New York Ath Conf,32984971
Fairfield University,CT,"Private not-for-profit, 4-year or above",-73.25778,41.160732,Fairfield County,NA,Metro Atlantic Athletic Conference,32838593
Jefferson Community and Technical College,KY,"Public, 2-year",-85.753487,38.247469,Jefferson County,NA,NA,32697109
Stark State College,OH,"Public, 2-year",-81.437798,40.869332,Stark County,NA,NA,32662948
Prince George's Community College,MD,"Public, 2-year",-76.824157,38.888495,Prince George'S County,NA,NA,32591037
University of Wisconsin-Green Bay,WI,"Public, 4-year or above",-87.919973,44.532298,Brown County,NA,Horizon League,32541538
Mississippi Valley State University,MS,"Public, 4-year or above",-90.341274,33.514142,Leflore County,Southwestern Athletic Conference,Southwestern Athletic Conference,32431400
Washtenaw Community College,MI,"Public, 2-year",-83.664928,42.263311,Washtenaw County,NA,NA,32361834
Albany Medical College,NY,"Private not-for-profit, 4-year or above",-73.773975,42.653178,Albany County,NA,NA,32361761
University of Mount Olive,NC,"Private not-for-profit, 4-year or above",-78.071265,35.206314,Wayne County,NA,Conference Carolinas,32233825
Claremont Graduate University,CA,"Private not-for-profit, 4-year or above",-117.712394,34.103778,Los Angeles County,NA,NA,32155094
Nazareth College,NY,"Private not-for-profit, 4-year or above",-77.518579,43.101576,Monroe County,NA,Empire Eight,32097350
Bakersfield College,CA,"Public, 4-year or above",-118.973491,35.4108,Kern County,NA,NA,32028811
Chattanooga State Community College,TN,"Public, 2-year",-85.237389,35.100202,Hamilton County,NA,NA,31926039
Saint Paul College,MN,"Public, 2-year",-93.109664,44.9492,Ramsey County,NA,NA,31850830
Culinary Institute of America,NY,"Private not-for-profit, 4-year or above",-73.933231,41.745806,Dutchess County,NA,NA,31832390
Fullerton College,CA,"Public, 2-year",-117.916986,33.876794,Orange County,NA,NA,31812836
Louisiana State University-Shreveport,LA,"Public, 4-year or above",-93.703762,32.428768,Caddo Parish,NA,Red River Athletic Conference,31784311
Minnesota State University Moorhead,MN,"Public, 4-year or above",-96.763376,46.866482,NA,NA,NA,31757926
Salus University,PA,"Private not-for-profit, 4-year or above",-75.128089,40.085816,Montgomery County,NA,NA,31694669
Thomas Jefferson School of Law,CA,"Private not-for-profit, 4-year or above",-117.154191,32.71014,San Diego County,NA,NA,31623112
Bluegrass Community and Technical College,KY,"Public, 2-year",-84.502338,38.024467,Fayette County,NA,NA,31595078
Chatham University,PA,"Private not-for-profit, 4-year or above",-79.926083,40.448432,Allegheny County,NA,Presidents' Athletic Conference,31557291
University of Arkansas at Pine Bluff,AR,"Public, 4-year or above",-92.021263,34.242192,Jefferson County,Southwestern Athletic Conference,Southwestern Athletic Conference,31517076
Santa Monica College,CA,"Public, 2-year",-118.470431,34.018968,Los Angeles County,NA,NA,31497635
Southern University at New Orleans,LA,"Public, 4-year or above",-90.044379,30.02669,NA,NA,NA,31310469
Brooklyn Law School,NY,"Private not-for-profit, 4-year or above",-73.990535,40.692662,Kings County,NA,NA,31299642
Saint Louis Community College,MO,"Public, 2-year",-90.190701,38.62273,St. Louis City,NA,NA,31283669
Texas Wesleyan University,TX,"Private not-for-profit, 4-year or above",-97.279631,32.733314,Tarrant County,NA,Sooner Athletic Conference,31152032
Northwood University,MI,"Private not-for-profit, 4-year or above",-84.276276,43.628996,Midland County,Great Lakes Intercollegiate Ath Conf,Great Lakes Intercollegiate Ath Conf,31147569
Dominican University,IL,"Private not-for-profit, 4-year or above",-87.821872,41.902834,Cook County,NA,Northern Athletics Collegiate Conference,31120919
The Evergreen State College,WA,"Public, 4-year or above",-122.977492,47.07382,Thurston County,NA,Cascade Collegiate Conference,31019385
California Institute of Integral Studies,CA,"Private not-for-profit, 4-year or above",-122.416537,37.774768,San Francisco County,NA,NA,30933603
Fitchburg State University,MA,"Public, 4-year or above",-71.789354,42.589345,Worcester County,New England Football Conference,Massachusetts State College Ath Assoc,30931670
Farmingdale State College,NY,"Public, 4-year or above",-73.426371,40.75408,Suffolk County,NA,Skyline Conference,30872715
Oral Roberts University,OK,"Private not-for-profit, 4-year or above",-95.954215,36.050705,Tulsa County,NA,The Summit League,30840259
Alvernia University,PA,"Private not-for-profit, 4-year or above",-75.936754,40.310028,Berks County,NA,Commonwealth Conference,30794513
Canisius College,NY,"Private not-for-profit, 4-year or above",-78.851794,42.925319,Erie County,NA,Metro Atlantic Athletic Conference,30720019
Amarillo College,TX,"Public, 2-year",-101.847104,35.18841,Potter County,NA,NA,30636765
University of Arkansas-Fort Smith,AR,"Public, 4-year or above",-94.373729,35.384184,Sebastian County,NA,Heartland Conference,30598030
Los Angeles Pierce College,CA,"Public, 2-year",-118.575071,34.183949,Los Angeles County,NA,NA,30513747
St Louis College of Pharmacy,MO,"Private not-for-profit, 4-year or above",-90.260357,38.637165,St. Louis City,NA,American Midwest Conference,30278935
South Plains College,TX,"Public, 2-year",-102.365075,33.575904,Hockley County,NA,NA,30270885
Eastern University,PA,"Private not-for-profit, 4-year or above",-75.370268,40.052306,Delaware County,NA,Middle Atlantic States Athletic Corporation,30266957
Charleston Southern University,SC,"Private not-for-profit, 4-year or above",-80.069288,32.981986,Charleston County,Big South Conference,Big South Conference,30196015
University of California-Hastings College of Law,CA,"Public, 4-year or above",-122.415395,37.780718,San Francisco County,NA,NA,30111278
Central New Mexico Community College,NM,"Public, 2-year",-106.624957,35.07599,Bernalillo County,NA,NA,30050044
Bellarmine University,KY,"Private not-for-profit, 4-year or above",-85.7049,38.219138,Jefferson County,NA,Great Lakes Valley Conference,30022676
Coppin State University,MD,"Public, 4-year or above",-76.658547,39.310786,Baltimore City,Other,Mid-Eastern Athletic Conference,30003092
Shaw University,NC,"Private not-for-profit, 4-year or above",-78.637693,35.771181,Wake County,Central Intercollegiate Athletic Assoc,Central Intercollegiate Athletic Assoc,29999151
Southeast Community College Area,NE,"Public, 2-year",-96.62818,40.81079,Lancaster County,NA,NA,29982590
SUNY College of Technology at Alfred,NY,"Public, 4-year or above",-77.791073,42.258723,Allegany County,NA,NA,29972206
Christopher Newport University,VA,"Public, 4-year or above",-76.494364,37.062495,Newport News City,New Jersey Athletic Conference,Capital Athletic Conference,29964792
Virginia Union University,VA,"Private not-for-profit, 4-year or above",-77.450954,37.561864,Richmond City,Central Intercollegiate Athletic Assoc,Central Intercollegiate Athletic Assoc,29929981
Nashville State Community College,TN,"Public, 2-year",-86.856723,36.135453,Davidson County,NA,NA,29882406
Morrisville State College,NY,"Public, 4-year or above",-75.640583,42.893962,Madison County,Empire Eight,North Eastern Athletic Conference,29863309
Houston Baptist University,TX,"Private not-for-profit, 4-year or above",-95.515978,29.694414,Harris County,Southland Conference,Southland Conference,29834683
Adams State University,CO,"Public, 4-year or above",-105.879642,37.473636,Alamosa County,Rocky Mountain Athletic Conference,Rocky Mountain Athletic Conference,29833780
Bemidji State University,MN,"Public, 4-year or above",-94.874529,47.482505,Beltrami County,Northern Sun Intercollegiate Conference,Northern Sun Intercollegiate Conference,29806167
Lynchburg College,VA,"Private not-for-profit, 4-year or above",-79.184153,37.397678,Lynchburg City,NA,Old Dominion Athletic Conference,29755463
Concordia University-Texas,TX,"Private not-for-profit, 4-year or above",-97.836247,30.420952,Travis County,NA,American Southwest Conference,29584343
Normandale Community College,MN,"Public, 2-year",-93.331677,44.829706,NA,NA,NA,29569508
Spokane Community College,WA,"Public, 2-year",-117.360957,47.672571,Spokane County,NA,NA,29526478
Limestone College,SC,"Private not-for-profit, 4-year or above",-81.648033,35.052919,Cherokee County,Division II Independents,Conference Carolinas,29472987
Worcester State University,MA,"Public, 4-year or above",-71.844019,42.267534,Worcester County,New England Football Conference,Massachusetts State College Ath Assoc,29437292
Cincinnati State Technical and Community College,OH,"Public, 2-year",-84.535229,39.150569,Hamilton County,NA,NA,29312400
King University,TN,"Private not-for-profit, 4-year or above",-82.156532,36.585899,Sullivan County,NA,Conference Carolinas,29284261
Willamette University,OR,"Private not-for-profit, 4-year or above",-123.030727,44.935743,Marion County,Northwest Conference,Northwest Conference,29280936
Montgomery County Community College,PA,"Public, 2-year",-75.276093,40.175609,Montgomery County,NA,NA,29079356
Niagara University,NY,"Private not-for-profit, 4-year or above",-79.036689,43.137279,Niagara County,NA,Metro Atlantic Athletic Conference,28989174
University of St Francis,IL,"Private not-for-profit, 4-year or above",-88.096368,41.533341,Will County,Mid-States Football Association,Chicagoland Collegiate Athletic Conf,28916375
Navarro College,TX,"Public, 2-year",-96.498738,32.076066,Navarro County,NA,NA,28907396
Central Piedmont Community College,NC,"Public, 2-year",-80.829796,35.217774,Mecklenburg County,NA,NA,28874591
SUNY College of Technology at Canton,NY,"Public, 4-year or above",-75.185005,44.607346,St. Lawrence County,NA,Empire Eight,28726174
Bunker Hill Community College,MA,"Public, 2-year",-71.069263,42.374806,Suffolk County,NA,NA,28712263
Eastern New Mexico University-Main Campus,NM,"Public, 4-year or above",-103.34819,34.175592,Roosevelt County,Lone Star Conference,Lone Star Conference,28707637
Langston University,OK,"Public, 4-year or above",-97.260317,35.943982,Logan County,Central States Football League,Red River Athletic Conference,28673599
Pasco-Hernando State College,FL,"Public, 4-year or above",-82.646727,28.2751,Pasco County,NA,NA,28653007
Charles R Drew University of Medicine and Science,CA,"Private not-for-profit, 4-year or above",-118.242791,33.925658,Los Angeles County,NA,NA,28613039
Providence College,RI,"Private not-for-profit, 4-year or above",-71.437446,41.842742,Providence County,NA,Big East Conference,28530703
Neumann University,PA,"Private not-for-profit, 4-year or above",-75.440022,39.874876,Delaware County,NA,Colonial States Athletic Conference,28514133
McLennan Community College,TX,"Public, 2-year",-97.17287,31.590003,Mclennan County,NA,NA,28507959
CUNY Medgar Evers College,NY,"Public, 4-year or above",-73.957076,40.666256,Kings County,NA,City University of New York Ath Conf,28473697
Life Chiropractic College West,CA,"Private not-for-profit, 4-year or above",-122.11627,37.637639,Alameda County,NA,NA,28440015
