"source","target","value"
"Oakland City University","Education",949325
"Oakland University","Medical R&D",2286936
"Oakland University","Science, Engineering, and Mathematics",1488184
"Oakland University","Education",1308375
"Oakland University","EDUCATION & TRAINING SERVICES",209268.44
"Oakland University","Nursing and Health Professionals",73517
"Oakton Community College","Education",472270
"Oakwood University","Education",3191507
"Oakwood University","Science, Engineering, and Mathematics",522368
"Oberlin College","Science, Engineering, and Mathematics",1262927
"Oberlin College","Humanitarian Assistance",10000
"Occidental College","Science, Engineering, and Mathematics",1292701
"Occidental College","Education",642597
"Occidental College","Fisheries",15.18
"Ocean County College","Wetland Preservation",825237
"Ocean County College","Education",686225
"Oconee Fall Line Technical College","Education",1374185
"Ogeechee Technical College","Regional Development",99999
"Oglala Lakota College","Education",13781687.98
"Oglala Lakota College","Childcare and Welfare",6142786
"Oglala Lakota College","Tribal Programs",1067860
"Oglala Lakota College","Nursing and Health Professionals",486000
"Oglala Lakota College","Agriculture and Farming R&D",125000
"Ohio College of Massotherapy Inc","Foreign Policy",3442820
"Ohio College of Massotherapy Inc","Housing and Development",606325
"Ohio Northern University","Education",1227032
"Ohio Northern University","Foreign Policy",1067275
"Ohio Northern University","Addiction and Recovery",88094
"Ohio State University","Medical R&D",150748612
"Ohio State University","Science, Engineering, and Mathematics",64600437.7
"Ohio State University","Energy Programs",18748281.09
"Ohio State University","Agriculture and Farming R&D",18327253.25
"Ohio State University","Defense R&D",13141299
"Ohio State University Agricultural Technical Institute","Agriculture and Farming",26338.79
"Ohio University","Medical R&D",3636454
"Ohio University","Education",2885606
"Ohio University","Science, Engineering, and Mathematics",2768831.42
"Ohio University","Energy Programs",2655000
"Ohio University","Regional Development",1752071
"Ohio Valley University","Housing and Development",495534
"Ohio Wesleyan University","Science, Engineering, and Mathematics",470348
"Okaloosa Technical College","Education",3639335.43
"Oklahoma City Community College","Education",1044539
"Oklahoma City University","Refugee and Entrant Assistance",225000
"Oklahoma Panhandle State University","Education",328125
"Oklahoma State University","Employment Programs",24590040.2
"Oklahoma State University","Education",14342077.71
"Oklahoma State University","Medical R&D",7034054
"Oklahoma State University","Science, Engineering, and Mathematics",3586669
"Oklahoma State University","OTHER MEDICAL SERVICES",2951160
"Old Dominion University","Science, Engineering, and Mathematics",7093748.08
"Old Dominion University","Education",6217098.37
"Old Dominion University","Medical R&D",3378759
"Old Dominion University","Energy Programs",2333000
"Old Dominion University","Defense R&D",1673421
"Olivet Nazarene University","Environment",5000
"Olney Central College","Education",1747165.88
"Olney Central College","Regional Development",300000
"Olympic College","EDUCATION & TRAINING SERVICES",2140851.89
"Olympic College","Education",334468.29
"Onondaga Community College","Individuals with Disabilities",978453
"Onondaga Community College","Education",598029
"Onondaga Community College","Childcare and Welfare",127845
"Orange County Community College","Education",242136
"Orange Ulster BOCES-Practical Nursing Program","OTHER MEDICAL SERVICES",23372
"Orange Ulster BOCES-Practical Nursing Program","EDUCATION & TRAINING SERVICES",9625
"Orangeburg Calhoun Technical College","Education",901090
"Orangeburg Calhoun Technical College","Transportation",95726
"Oregon Health & Science University","Medical R&D",194045876
"Oregon Health & Science University","Medical R&D (Infectious Diseases)",21288303
"Oregon Health & Science University","Early Childhood Programs",14097580
"Oregon Health & Science University","Research Support Programs",12218821
"Oregon Health & Science University","Social Wellness and Development",10728181
"Oregon Institute of Technology","Regional Development",2984514
"Oregon Institute of Technology","Education",272177
"Oregon Institute of Technology","Environment",15000
"Oregon State University","Science, Engineering, and Mathematics",141576011.82
"Oregon State University","Medical R&D",9592235
"Oregon State University","Education",8514501.1
"Oregon State University","Agriculture and Farming R&D",6870763.21
"Oregon State University","Environment",5856905.77
"Orleans Technical College","Employment Programs",539984
"Orleans Technical College","INCOME SECURITY R&D",70299
"Otero Junior College","Childcare and Welfare",6749496
"Otero Junior College","Education",242136
"Otsego Area BOCES-Practical Nursing Program","Education",499926
"Otterbein University","Humanities and the Arts",15000
"Ouachita Baptist University","Education",915094.3
"Ouachita Baptist University","Science, Engineering, and Mathematics",500000
"Ouachita Baptist University","Social Wellness and Development",266094.54
"Our Lady of the Lake College","Nursing and Health Professionals",93896
"Our Lady of the Lake University","Education",646298
"Our Lady of the Lake University","Research Support Programs",247640
"Our Lady of the Lake University","Addiction and Recovery",125000
"Owens Community College","Education",235084
"Owensboro Community and Technical College","Education",765307
"Oxnard College","Education",2284603
"Ozarka College","Education",306436
"Ozarks Technical Community College","Education",275129
"Pace University-New York","Education",5351494
"Pace University-New York","Energy Programs",1180730
"Pace University-New York","Medical R&D",399081
"Pace University-New York","Nursing and Health Professionals",144968
"Pace University-New York","Science, Engineering, and Mathematics",40191
"Pacific Lutheran University","Nursing and Health Professionals",857500
"Pacific Lutheran University","Education",72858
"Pacific Northwest College of Art","Fisheries",9000
"Pacific Northwest University of Health Sciences","Individuals with Disabilities",390727
"Pacific Northwest University of Health Sciences","Nursing and Health Professionals",349961
"Pacific Northwest University of Health Sciences","EDUCATION & TRAINING SERVICES",272680.92
"Pacific Union College","Science, Engineering, and Mathematics",20390
"Pacific University","Medical R&D",641512
"Pacific University","EDUCATION & TRAINING SERVICES",101133.23
"Pacific University","Science, Engineering, and Mathematics",69175
"Pacific University","Social Wellness and Development",54000
"Paine College","Education",2716218
"Palm Beach State College","Education",1969768.4
"Palmer College of Chiropractic","Medical R&D",965520
"Palo Alto College","Education",2588867.38
"Palo Alto College","Childcare and Welfare",268673
"Palomar College","Education",4906178.35
"Pardee RAND Graduate School","SPECIAL STUDIES - NOT R&D",224788674.58
"Pardee RAND Graduate School","PROFESSIONAL SERVICES",37874106.69
"Pardee RAND Graduate School","Medical R&D",29070981
"Pardee RAND Graduate School","Research Support Programs",10603775.76
"Pardee RAND Graduate School","Social Wellness and Development",5577235
"Paris Junior College","Education",1067392.79
"Paris Junior College","Social Wellness and Development",68679.47
"Parkland College","Education",1052165
"Pasadena City College","Education",3908126.96
"Pasadena City College","Childcare and Welfare",339695
"Passaic County Community College","Education",3018035.18
"Passaic County Community College","Social Wellness and Development",299895
"Passaic County Community College","Humanities and the Arts",20000
"Patrick Henry Community College","Education",1204250.03
"Paul D Camp Community College","Education",608673
"Paul Quinn College","Education",2624311
"Paul Smiths College of Arts and Science","Social Wellness and Development",299954
"Paul Smiths College of Arts and Science","Education",259827
"Pawnee Nation College","Tribal Programs",454024
"Pawnee Nation College","Education",35000
"Pearl River Community College","Education",344841
"Pellissippi State Community College","Education",1124109
"Pellissippi State Community College","Individuals with Disabilities",1028000
"Peninsula College","Education",763526
"Pennsylvania College of Technology","Childcare and Welfare",184235
"Pennsylvania College of Technology","Humanities and the Arts",10000
"Pennsylvania Institute of Technology","Education",346845
"Pennsylvania State System of Higher Education-Central Office","Education",3363222
"Pennsylvania State University","DEFENSE (OTHER) R&D",198614916.92
"Pennsylvania State University","Science, Engineering, and Mathematics",92407973.14
"Pennsylvania State University","Medical R&D",92118360
"Pennsylvania State University","Energy Programs",21634237.79
"Pennsylvania State University","Education",21308039.63
"Pensacola State College","Education",1636484.1
"Pensacola State College","Social Wellness and Development",300000
"Pensacola State College","EDUCATION & TRAINING SERVICES",218484.59
"Pepperdine University","Medical R&D",778514
"Pepperdine University","Social Wellness and Development",483721
"Pepperdine University","Education",100000
"Pepperdine University","Information Services and Records Preservation",97000
"Peralta Community College System Office","Regional Development",3000000
"Peru State College","Education",306003
"Pfeiffer University","Education",1742817
"Philadelphia College of Osteopathic Medicine","EDUCATION & TRAINING SERVICES",1107792.08
"Philadelphia College of Osteopathic Medicine","Science, Engineering, and Mathematics",400000
"Philadelphia College of Osteopathic Medicine","Medical R&D (Infectious Diseases)",81542
"Philadelphia College of Osteopathic Medicine","Medical R&D",75550
"Philadelphia University","EDUCATION & TRAINING SERVICES",98223.35
"Philander Smith College","Education",2756838
"Phillips Community College of the University of Arkansas","Education",1554355
"Phoenix College","Education",596014
"Phoenix College","Environment",4699.46
"Piedmont Community College","Education",1326498
"Piedmont Technical College","Regional Development",1500000
"Piedmont Technical College","Education",411894
"Pierce College","Education",829510
"Pike County Joint Vocational School District","Education",44196
"Pikes Peak Community College","Childcare and Welfare",579375
"Pikes Peak Community College","Education",496492
"Pima Community College","Education",3108547.63
"Pima Community College","Nursing and Health Professionals",2999999
"Pima Community College","EDUCATION & TRAINING SERVICES",329206.72
"Pinellas Technical College-St. Petersburg","Addiction and Recovery",124715
"Pinellas Technical College-St. Petersburg","Environmental R&D",94092
"Pinellas Technical College-St. Petersburg","Education",8682.33
"Pitt Community College","Education",957499
"Pittsburg State University","Nursing and Health Professionals",1043556
"Pittsburg State University","Addiction and Recovery",537393
"Pittsburg State University","Science, Engineering, and Mathematics",173809
"Pittsburg State University","Medical R&D (Infectious Diseases)",69114
"Pittsburg State University","Regional Development",40000
"Plymouth State University","Nursing and Health Professionals",879332
"Plymouth State University","Science, Engineering, and Mathematics",488676
"Plymouth State University","Education",330636
"Plymouth State University","Environment",154953
"Point Loma Nazarene University","EDUCATION & TRAINING SERVICES",92510
"Polk State College","Education",1163454.06
"Pomona College","Science, Engineering, and Mathematics",589951
"Pontifical Catholic University of Puerto Rico-Ponce","Education",2097279.67
"Pontifical Catholic University of Puerto Rico-Ponce","Employment Programs",198348
"Pontifical Catholic University of Puerto Rico-Ponce","Science, Engineering, and Mathematics",50000
"Portland Community College","Education",908238
"Portland Community College","Refugee and Entrant Assistance",875722
"Portland Community College","Childcare and Welfare",507515
"Portland State University","Science, Engineering, and Mathematics",7786443.64
"Portland State University","Research Support Programs",5475705
"Portland State University","Education",3910697.89
"Portland State University","Transportation",2831727.15
"Portland State University","Individuals with Disabilities",2670875.75
"Potomac State College of West Virginia University","MEDICAL, DENTAL, & SURGICAL SERVICES",2355135.52
"Potomac State College of West Virginia University","Education",1291957
"Potomac State College of West Virginia University","Energy Programs",1147030
"Potomac State College of West Virginia University","Nursing and Health Professionals",716895
"Potomac State College of West Virginia University","Agriculture and Farming",594681
"Prairie State College","Regional Development",938447
"Prairie State College","Education",741349.71
"Prairie View A & M University","Education",10781930.56
"Prairie View A & M University","Agriculture and Farming R&D",1510956
"Prairie View A & M University","Science, Engineering, and Mathematics",1477782
"Prairie View A & M University","Medical R&D",111750
"Pratt Institute-Main","Environment",99010
"Pratt Institute-Main","Humanities and the Arts",35000
"Prescott College","Social Wellness and Development",876000
"Prince George's Community College","Education",1261156.47
"Princeton University","OPERATE GOVERNMENT OWNED BUILDINGS",121938856.21
"Princeton University","Science, Engineering, and Mathematics",84393361.02
"Princeton University","Medical R&D",39882827
"Princeton University","Energy Programs",15459082.32
"Princeton University","Defense R&D",9793405
"Providence College","Science, Engineering, and Mathematics",407061
"Providence College","Addiction and Recovery",101933
"Providence College","Education",34187
"Pueblo Community College","Education",1989576
"Pueblo Community College","EDUCATION & TRAINING SERVICES",172357.2
"Pueblo Community College","Occupational Safety",149538
"Pueblo Community College","Nursing and Health Professionals",50438
"Pulaski Technical College","Education",1565558.86
"Purdue University-Main Campus","Science, Engineering, and Mathematics",79672629.49
"Purdue University-Main Campus","Medical R&D",37575087
"Purdue University-Main Campus","Education",17981241.18
"Purdue University-Main Campus","Energy Programs",15104956.1
"Purdue University-Main Campus","Defense R&D",8130974
"Queens University of Charlotte","Education",434208
"Quincy University","Education",555447
"Quinnipiac University","EDUCATION & TRAINING SERVICES",478339.4
"Quinnipiac University","Information Services and Records Preservation",100000
"Quinsigamond Community College","Education",692136
"Quinsigamond Community College","Nursing and Health Professionals",500000
"Radford University","Education",5008146.66
"Radford University","Nursing and Health Professionals",1436273
"Radford University","Communications and GIS",13073
"Ramapo College of New Jersey","Education",688376
"Ramapo College of New Jersey","Humanities and the Arts",271107
"Ramapo College of New Jersey","Information Services and Records Preservation",120429
"Rancho Santiago Community College District Office","Childcare and Welfare",2411623
"Rancho Santiago Community College District Office","Education",1025769.94
"Randolph-Macon College","Wildlife",13000
"Ranger College","Education",325027
"Rappahannock Community College","Education",323189
"Reading Area Community College","Education",694400
"Red Rocks Community College","Nursing and Health Professionals",247501
"Red Rocks Community College","Education",242058
"Red Rocks Community College","Childcare and Welfare",158601
"Red Rocks Community College","Occupational Safety",150000
"Redlands Community College","Education",1810972.1
"Redlands Community College","Agriculture and Farming",102200
"Reed College","Science, Engineering, and Mathematics",1781947
"Reed College","Medical R&D",421374
"Reedley College","Education",4397927.71
"Regent University","EDUCATION & TRAINING SERVICES",3900
"Regional Center for Border Health","Regional Development",114000
"Regional West Medical Center School of Radiologic Technology","MANAGEMENT SUPPORT SERVICES",9664.78
"Regis College","Nursing and Health Professionals",659978
"Regis College","Education",596811
"Regis College","Early Childhood Programs",272182
"Regis University","Science, Engineering, and Mathematics",178980
"Rend Lake College","Education",582925
"Rend Lake College","Occupational Safety",94558.71
"Rend Lake College","Wildlife Conservation",11400
"Rend Lake College","Environment",5700
"Rensselaer Polytechnic Institute","Science, Engineering, and Mathematics",15282065.53
"Rensselaer Polytechnic Institute","Energy Programs",9585441.45
"Rensselaer Polytechnic Institute","Medical R&D",6195689
"Rensselaer Polytechnic Institute","Defense R&D",2414540
"Rensselaer Polytechnic Institute","Research Support Programs",935525.11
"Research Foundation of CUNY","Science, Engineering, and Mathematics",2044530.02
"Research Foundation of CUNY","Education",478095.4
"Resurrection University","Nursing and Health Professionals",62442
"Rhode Island College","Individuals with Disabilities",1047367
"Rhode Island College","Education",684587
"Rhode Island College","Energy Programs",620019
"Rhode Island College","Nursing and Health Professionals",249954
"Rhode Island College","Research Support Programs",242136
"Rhode Island School of Design","Humanities and the Arts",30000
"Rhodes College","Medical R&D",628918
"Rhodes College","Science, Engineering, and Mathematics",22472
"Rice University","Science, Engineering, and Mathematics",43355977.21
"Rice University","Medical R&D",11810655
"Rice University","Energy Programs",6633988
"Rice University","Defense R&D",5996076
"Rice University","Education",5425401
"Richland College","Education",626625.58
"Richland Community College","Education",308922
"Rider University","Education",321755
"Rider University","Research Support Programs",242136
"Rider University","Science, Engineering, and Mathematics",47242
"Ridgewater College","Education",253403
"Rio Hondo College","Education",1155350
"Rio Hondo College","TRAINING AIDS & DEVICES",705440
"Rio Hondo College","Childcare and Welfare",166055
"Rio Hondo College","LEASE & RENTAL OF BUILDINGS",9600
"Rio Salado College","Business",2806241.27
"Rio Salado College","Education",1499985
"Rio Salado College","Science, Engineering, and Mathematics",56873
"Ripon College","Education",268835
"Ripon College","Science, Engineering, and Mathematics",35822
"River Parishes Community College","Education",242136
"Riverland Community College","Education",242133
"Riverside City College","Education",2366965
"Riverside City College","PROFESSIONAL SERVICES",1000
"Rivier University","Addiction and Recovery",631106
"Rivier University","Nursing and Health Professionals",266459
"Roane State Community College","Education",410766
"Roane State Community College","Regional Development",67688
"Roane State Community College","Energy Programs",2048
"Robert Morris University","INSTRUMENTS & LABORATORY EQUIPMENT",22500
"Robert Morris University Illinois","Education",1566985
"Rochester Community and Technical College","Education",417563
"Rochester Institute of Technology","Science, Engineering, and Mathematics",15656834.71
"Rochester Institute of Technology","Medical R&D",3484032
"Rochester Institute of Technology","Education",3450762
"Rochester Institute of Technology","Humanities and the Arts",997252
"Rochester Institute of Technology","Defense R&D",274425
"Rockefeller University","Medical R&D",51179069
"Rockefeller University","Medical R&D (Infectious Diseases)",17196536
"Rockefeller University","Research Support Programs",6341890
"Rockefeller University","Early Childhood Programs",768584
"Rockefeller University","Science, Engineering, and Mathematics",421888
"Rockland Community College","Education",242136
"Rockland Community College","Childcare and Welfare",163965
"Rockland Community College","Social Wellness and Development",77834
"Rockland Community College","Humanities and the Arts",5999
"Rocky Mountain College","Education",320242
"Roger Williams University","Education",999999
"Roger Williams University","EDUCATION & TRAINING SERVICES",187875
"Roger Williams University","Science, Engineering, and Mathematics",163091
"Roger Williams University","MANAGEMENT SUPPORT SERVICES",15775
"Rogers State University","Education",511735.6
"Rogue Community College","Nursing and Health Professionals",2919536
"Rogue Community College","Education",1068743.45
"Rollins College","Education",357235
"Rollins College","Science, Engineering, and Mathematics",171319
"Rollins College","Addiction and Recovery",101942
"Roosevelt University","Education",1710183
"Roosevelt University","Research Support Programs",241903
"Roosevelt University","Science, Engineering, and Mathematics",26244
"Roosevelt University","EDUCATION & TRAINING SERVICES",18125.74
"Rosalind Franklin University of Medicine and Science","Medical R&D",6288279
"Rosalind Franklin University of Medicine and Science","Social Wellness and Development",818182
"Rosalind Franklin University of Medicine and Science","Medical R&D (Infectious Diseases)",582242
"Rosalind Franklin University of Medicine and Science","EDUCATION & TRAINING SERVICES",224962.61
"Rosalind Franklin University of Medicine and Science","PROFESSIONAL SERVICES",19418
"Rose State College","Education",686384
"Rose-Hulman Institute of Technology","Science, Engineering, and Mathematics",49657
"Rowan College at Burlington County","Social Wellness and Development",98882
"Rowan College at Gloucester County","Social Wellness and Development",57673
"Rowan University","Medical R&D",3668969
"Rowan University","GEN. SCIENCE & TECHNOLOGY R&D",3400000
"Rowan University","Nursing and Health Professionals",2258167
"Rowan University","Science, Engineering, and Mathematics",2084856
"Rowan University","Education",918570
"Rowan-Cabarrus Community College","Education",1237938.64
"Rush University","Medical R&D",47395361
"Rush University","MEDICAL R&D",3266168.02
"Rush University","Medical R&D (Infectious Diseases)",2022013
"Rush University","Addiction and Recovery",1812179
"Rush University","Nursing and Health Professionals",1697148
"Rust College","Education",2677932
"Rutgers University-Camden","Science, Engineering, and Mathematics",1075764
"Rutgers University-Camden","Medical R&D",917503
"Rutgers University-Camden","Education",365815
"Rutgers University-Camden","Nursing and Health Professionals",42027
"Rutgers University-Camden","Foreign Policy",15000
"Rutgers University-New Brunswick","Medical R&D",121471064
"Rutgers University-New Brunswick","Science, Engineering, and Mathematics",45910271.02
"Rutgers University-New Brunswick","Medical R&D (Infectious Diseases)",28817508
"Rutgers University-New Brunswick","Agriculture and Farming R&D",12381942.01
"Rutgers University-New Brunswick","Education",8402818.73
"Rutgers University-Newark","Medical R&D",7736661
"Rutgers University-Newark","Science, Engineering, and Mathematics",3645929
"Rutgers University-Newark","Business",3427248
"Rutgers University-Newark","Education",1828422
"Rutgers University-Newark","Social Wellness and Development",351601
"Sacramento City College","Education",1170440
"Sacred Heart University","Education",1001175
"Saginaw Chippewa Tribal College","Education",1622300
"Saginaw Valley State University","Nursing and Health Professionals",1330872
"Saginaw Valley State University","Education",750000
"Saginaw Valley State University","Science, Engineering, and Mathematics",100000
"Saginaw Valley State University","Humanities and the Arts",79148
"Saint Ambrose University","Veterans Programs",22553
"Saint Anselm College","Education",1647360
"Saint Augustine's University","Education",3899799.76
"Saint Cloud State University","Employment Programs",399202
"Saint Cloud State University","Education",282955
"Saint Cloud State University","Childcare and Welfare",156898
"Saint Cloud State University","Water Resources",153586
"Saint Cloud State University","TECHNICAL REPRESENTATIVE SERVICES",5805
"Saint Edward's University","Education",1499950
"Saint Edward's University","Refugee and Entrant Assistance",425000
"Saint Edward's University","Science, Engineering, and Mathematics",361663
"Saint Edward's University","Research Support Programs",254243
"Saint Edward's University","Environment",6536
"Saint Francis University","Education",546285
"Saint Francis University","Environmental R&D",110000
"Saint Francis University","Science, Engineering, and Mathematics",57354
"Saint Francis University","EDUCATION & TRAINING SERVICES",53984
"Saint Francis University","PROFESSIONAL SERVICES",13260
"Saint John Fisher College","Nursing and Health Professionals",1608302
"Saint John Fisher College","Education",649994
"Saint John Fisher College","Science, Engineering, and Mathematics",304950
"Saint John Fisher College","Addiction and Recovery",136474
"Saint Johns University","Humanities and the Arts",10000
"Saint Joseph's College of Maine","Social Wellness and Development",299884
"Saint Joseph's College of Maine","Education",285842
"Saint Joseph's College of Maine","Nursing and Health Professionals",174346
"Saint Joseph's University","Education",2305219
"Saint Joseph's University","Science, Engineering, and Mathematics",252071
"Saint Joseph's University","Research Support Programs",150429
"Saint Joseph's University","Veterans Programs",50000
"Saint Leo University","Education",73695
"Saint Louis Community College","Education",867255.38
"Saint Louis Community College","Childcare and Welfare",538293
"Saint Louis University","Medical R&D",14970891
"Saint Louis University","MEDICAL R&D",3544362.04
"Saint Louis University","Medical R&D (Infectious Diseases)",2599202
"Saint Louis University","Science, Engineering, and Mathematics",2387471.15
"Saint Louis University","Nursing and Health Professionals",2343210
"Saint Martin's University","Science, Engineering, and Mathematics",121345
"Saint Mary's College","Science, Engineering, and Mathematics",223312
"Saint Mary's College of California","Education",777882
"Saint Mary's College of California","Humanities and the Arts",25000
"Saint Mary's College of California","Social Wellness and Development",24000
"Saint Mary's College of California","SPECIAL STUDIES - NOT R&D",10000
"Saint Mary's University of Minnesota","NATURAL RESOURCES - OTHER SERVICES",1751417.35
"Saint Mary's University of Minnesota","Science, Engineering, and Mathematics",496119.09
"Saint Mary's University of Minnesota","PHOTOGRAPHY, MAPPING, PRINTING, PUBLISHING",325315
"Saint Mary's University of Minnesota","Wetland Preservation",205012
"Saint Michael's College","Education",999989
"Saint Michael's College","Science, Engineering, and Mathematics",164750
"Saint Paul College","Education",842136
"Saint Peter's University","Education",2504231
"Saint Vincent College","Education",242136
"Saint Vincent College","Humanities and the Arts",6000
"Saint Xavier University","Education",1783157
"Saint Xavier University","Nursing and Health Professionals",538712
"Salem State University","Education",883090
"Salem State University","Fisheries",295408
"Salem State University","Science, Engineering, and Mathematics",80157
"Salem State University","Agriculture and Farming",25003
"Salisbury University","Education",930853
"Salisbury University","Science, Engineering, and Mathematics",639478
"Salisbury University","Healthcare Services",200000
"Salish Kootenai College","Education",11902714
"Salish Kootenai College","Tribal Programs",734477
"Salish Kootenai College","Medical R&D",546609
"Salish Kootenai College","Agriculture and Farming R&D",540700
"Salish Kootenai College","Nursing and Health Professionals",337341
"Salt Lake Community College","Education",1305076.08
"Salt Lake Community College","Childcare and Welfare",270712
"Salt Lake Community College","EDUCATION & TRAINING SERVICES",6630
"Salus University","Individuals with Disabilities",1106499
"Salus University","Medical R&D",410427
"Salus University","Employment Programs",150000
"Sam Houston State University","Education",2730854.97
"Sam Houston State University","Drug Policy R&D",773133.53
"Sam Houston State University","Research Support Programs",660454.36
"Sam Houston State University","Science, Engineering, and Mathematics",314372
"Sam Houston State University","MEDICAL R&D",240951.89
"Samford University","Nursing and Health Professionals",2497927
"Samuel Merritt University","Nursing and Health Professionals",3066946
"San Bernardino Valley College","Education",156605
"San Diego State University","Medical R&D",18885659
"San Diego State University","Science, Engineering, and Mathematics",10824347.02
"San Diego State University","Education",6517064.45
"San Diego State University","Addiction and Recovery",4853415.99
"San Diego State University","Individuals with Disabilities",1511808.43
"San Francisco State University","Education",5444822
"San Francisco State University","Medical R&D",5023410
"San Francisco State University","Science, Engineering, and Mathematics",4487821
"San Francisco State University","Research Support Programs",3400460
"San Francisco State University","Individuals with Disabilities",1324011
"San Jacinto Community College","Nursing and Health Professionals",1680886
"San Jacinto Community College","Education",595245.98
"San Jose City College","Education",1347599
"San Jose State University","Science, Engineering, and Mathematics",19177068.1
"San Jose State University","Research Support Programs",3316478.81
"San Jose State University","Education",2421202.31
"San Jose State University","Medical R&D",1465546
"San Jose State University","Childcare and Welfare",512309
"San Juan College","Education",1227977.17
"San Juan College","Regional Development",162850
"San Juan College","Information Services and Records Preservation",14998.57
"San Mateo County Community College District Office","Education",1296234
"Sanford Burnham Prebys Medical Discovery Institute","Medical R&D",42725576
"Sanford Burnham Prebys Medical Discovery Institute","Social Wellness and Development",4307404
"Sanford Burnham Prebys Medical Discovery Institute","Medical R&D (Infectious Diseases)",3376732
"Sanford Burnham Prebys Medical Discovery Institute","Science, Engineering, and Mathematics",387042
"Sanford Burnham Prebys Medical Discovery Institute","PROFESSIONAL SERVICES",10045
"Santa Ana College","Education",517291
"Santa Barbara City College","Education",1867236.31
"Santa Clara University","Medical R&D",784522
"Santa Clara University","Science, Engineering, and Mathematics",700107
"Santa Clara University","Education",505133
"Santa Clara University","Medical R&D (Infectious Diseases)",410925
"Santa Clara University","Humanitarian Assistance",165148
"Santa Fe College","Education",2248166
"Santa Fe College","Foreign Policy",11955
"Santa Fe Community College","Business",1379051
"Santa Fe Community College","Education",254356
"Santa Monica College","Education",1519535
"Santa Monica College","Childcare and Welfare",569123
"Santa Rosa Junior College","Education",1417116
"Santa Rosa Junior College","Refugee and Entrant Assistance",474357
"Santiago Canyon College","Education",557291
"Santiago Canyon College","Refugee and Entrant Assistance",425000
"Sauk Valley Community College","Education",286115
"Savannah State University","Education",8093899.03
"Savannah State University","Science, Engineering, and Mathematics",1249184
"Savannah State University","EDUCATION & TRAINING SERVICES",475837.91
"Savannah State University","Medical R&D",283266
"Savannah State University","Defense R&D",241242
"Schenectady County Community College","Nursing and Health Professionals",3000000
"Schenectady County Community College","Education",909836
"School of Professional Horticulture, New York Botanical Garden","Science, Engineering, and Mathematics",1157258
"School of Professional Horticulture, New York Botanical Garden","Humanities and the Arts",480000
"School of the Museum of Fine Arts at Tufts University","Science, Engineering, and Mathematics",12883928.83
"School of the Museum of Fine Arts at Tufts University","Medical R&D",7488731
"School of the Museum of Fine Arts at Tufts University","Defense R&D",2952389
"School of the Museum of Fine Arts at Tufts University","Education",2712461
"School of the Museum of Fine Arts at Tufts University","ENVIRONMENTAL PROTECTION R&D",920613
"Schoolcraft College","Business",203601
"Schoolcraft College","RECREATIONAL & ATHLETIC EQUIPMENT",10000
"Schoolcraft College","EDUCATION & TRAINING SERVICES",8250
"Schoolcraft College","LEASE & RENTAL EQUIPMENT",7500
"Schoolcraft College","LEASE & RENTAL OF BUILDINGS",6500
"Schreiner University","Education",1074522
"Scioto County Career Technical Center","Education",49448
"Scripps College","Humanities and the Arts",77870
"Seattle Central College","Education",1453784
"Seattle Pacific University","Education",581744
"Seattle University","Science, Engineering, and Mathematics",500985
"Seattle University","Social Wellness and Development",500000
"Seattle University","Education",483158
"Seattle University","Academic Exchange Programs",289618
"Seattle University","Environment",10000
"Seattle University","PROFESSIONAL SERVICES",10000
"Seminole State College","Education",4018567.56
"Seminole State College of Florida","Education",252181
"Seton Hall University","Social Wellness and Development",966132
"Seton Hall University","Education",668240
"Seton Hall University","Addiction and Recovery",638559
"Seton Hall University","Individuals with Disabilities",366312
"Seton Hall University","Medical R&D",93970
"Seton Hill University","Education",302000.36
"Seton Hill University","EDUCATION & TRAINING SERVICES",26004.1
"Sewanee-The University of the South","Social Wellness and Development",390500
"Sewanee-The University of the South","Addiction and Recovery",100782
"Seward County Community College","Education",221458.68
"Shasta College","Education",895133
"Shasta College","Social Wellness and Development",300000
"Shaw University","Education",3210927
"Shawnee State University","Regional Development",2793392
"Shawnee State University","Education",1124714
"Shelton State Community College","Education",1900072
"Shenandoah University","Nursing and Health Professionals",197958
"Shepherd University","Education",517291
"Shepherd University","Science, Engineering, and Mathematics",56698
"Shippensburg University of Pennsylvania","Childcare and Welfare",1083067
"Shippensburg University of Pennsylvania","Science, Engineering, and Mathematics",70000
"Shoreline Community College","Childcare and Welfare",70018
"Shorter College","Education",1850089
"Siena College","Science, Engineering, and Mathematics",356166
"Siena College","Humanities and the Arts",8980
"Siena Heights University","Education",1113467
"Siena Heights University","Research Support Programs",263294
"Sierra College","Education",242131
"Simmons College","Nursing and Health Professionals",824341
"Simmons College","Humanities and the Arts",568672
"Simmons College of Kentucky","Education",500000
"Simpson College","Education",545863
"Simpson University","Education",1824474
"Sinclair Community College","Education",3252659
"Sinclair Community College","Childcare and Welfare",228004
"Sinclair Community College","EDUCATION & TRAINING SERVICES",18654.91
"Sinte Gleska University","Education",6872358
"Sinte Gleska University","Tribal Programs",745817
"Sinte Gleska University","Individuals with Disabilities",562520
"Sinte Gleska University","Agriculture and Farming R&D",125000
"Sinte Gleska University","Regional Development",119800
"Sisseton Wahpeton College","Education",3694066
"Sisseton Wahpeton College","Regional Development",129000
"Sisseton Wahpeton College","Agriculture and Farming R&D",125000
"Sistema Universitario Ana G Mendez","Education",4969635
"Sistema Universitario Ana G Mendez","Nursing and Health Professionals",1796343
