"source","target","value"
"Austin Peay State University","SPECIAL STUDIES - NOT R&D",3000
"Avila University","Education",849894
"Avila University","Nursing and Health Professionals",444375
"Avila University","Social Wellness and Development",272925
"Azusa Pacific University","Nursing and Health Professionals",2406683
"Azusa Pacific University","Education",583916
"Bacone College","Education",309836
"Bakersfield College","Education",1198049.15
"Bakersfield College","Science, Engineering, and Mathematics",20000
"Baldwin Wallace University","Education",515103
"Ball State University","Regional Development",884393
"Ball State University","Science, Engineering, and Mathematics",671757.49
"Ball State University","Foreign Policy",640000
"Ball State University","Medical R&D",404435
"Ball State University","Historic Sites",164970.17
"Baltimore City Community College","Education",651938.5
"Baltimore City Community College","Childcare and Welfare",181519
"Bank Street College of Education","Childcare and Welfare",950194
"Bard College","Academic Exchange Programs",520000
"Bard College","Humanities and the Arts",503075
"Bard College","Education",140610
"Bard College","Environmental R&D",59604
"Bard College","Science, Engineering, and Mathematics",15000
"Bard College at Simon's Rock","Science, Engineering, and Mathematics",24000
"Barnard College","Science, Engineering, and Mathematics",5198764
"Barnard College","Medical R&D",1131807
"Barnard College","Early Childhood Programs",421761
"Barnard College","Environment",97388
"Barnard College","Humanities and the Arts",15000
"Barry University","Nursing and Health Professionals",2544760
"Barton County Community College","Education",1219635
"Barton County Community College","Social Wellness and Development",48722
"Bates College","Science, Engineering, and Mathematics",1526194
"Bates College","Humanities and the Arts",39248.08
"Baton Rouge Community College","Education",34386995.88
"Baton Rouge Community College","Trade Assistance",1113000
"Baton Rouge Community College","Science, Engineering, and Mathematics",40866
"Bay de Noc Community College","Education",321779
"Bay Mills Community College","Education",3366653
"Bay Mills Community College","Agriculture and Farming R&D",324884
"Bay Mills Community College","Regional Development",129000
"Bay Mills Community College","Tribal Programs",104762
"Baylor College of Medicine","Medical R&D",223494436
"Baylor College of Medicine","Early Childhood Programs",16219566
"Baylor College of Medicine","Medical R&D (Infectious Diseases)",13567571
"Baylor College of Medicine","Agriculture and Farming",12960500
"Baylor College of Medicine","Research Support Programs",9067798.12
"Baylor University","Medical R&D",5795941
"Baylor University","Science, Engineering, and Mathematics",3412588
"Baylor University","Individuals with Disabilities",1057136
"Baylor University","Academic Exchange Programs",900000
"Baylor University","EDUCATION & TRAINING SERVICES",899771.84
"Beaufort County Community College","Education",373140
"Becker College","Regional Development",116667
"Bellevue College","Education",322005
"Bellevue College","Social Wellness and Development",300000
"Bellingham Technical College","Education",1541618
"Beloit College","Education",682065
"Beloit College","Research Support Programs",242136
"Bemidji State University","Education",1009505
"Bemidji State University","Nursing and Health Professionals",498176
"Bemidji State University","Research Support Programs",242136
"Bemidji State University","Science, Engineering, and Mathematics",59373
"Benedict College","Education",4932772
"Benedict College","Science, Engineering, and Mathematics",580238
"Benedict College","Historic Sites",500000
"Benjamin Franklin Institute of Technology","Education",449595
"Bennett College","Education",4059326
"Bennington College","Science, Engineering, and Mathematics",188384
"Bennington College","Education",150990
"Bennington College","MISCELLANEOUS",10000
"Bentley University","Social Wellness and Development",300000
"Bentley University","Information Services and Records Preservation",84155.76
"Bentley University","EDUCATION & TRAINING SERVICES",9190
"Berea College","Education",42972615
"Berea College","Humanities and the Arts",100000
"Berea College","Energy Programs",75000
"Berea College","Childcare and Welfare",63094
"Bergen Community College","Education",1753997
"Bergen Community College","Individuals with Disabilities",481602
"Berklee College of Music","Humanities and the Arts",25000
"Berkshire Community College","Education",646757
"Berry College","Education",685168
"Berry College","Science, Engineering, and Mathematics",99645
"Bethel University","Science, Engineering, and Mathematics",71160
"Bethune-Cookman University","Education",4957734
"Bethune-Cookman University","Individuals with Disabilities",249999
"Bethune-Cookman University","Science, Engineering, and Mathematics",101360
"Bethune-Cookman University","Medical R&D",94750
"Bevill State Community College","Education",3609831.7
"Bevill State Community College","Occupational Safety",242189
"Big Bend Community College","Education",3007851
"Bishop State Community College","Education",3675066.71
"Bismarck State College","Occupational Safety",502700
"Bismarck State College","Regional Development",99859
"Black Hawk College","Education",355237
"Black Hills State University","Education",316383
"Black Hills State University","EDUCATION & TRAINING SERVICES",147882
"Black Hills State University","Science, Engineering, and Mathematics",95979
"Black Hills State University","Social Wellness and Development",59490
"Blackfeet Community College","Education",6444024
"Blackfeet Community College","Tribal Programs",453745
"Blackfeet Community College","Regional Development",129000
"Blackfeet Community College","Agriculture and Farming R&D",125000
"Blackfeet Community College","Humanities and the Arts",48176
"Blinn College","EDUCATION & TRAINING SERVICES",126988.86
"Bloomfield College","Education",872496
"Bloomfield College","Research Support Programs",242136
"Bloomsburg University of Pennsylvania","Education",748384
"Bloomsburg University of Pennsylvania","Science, Engineering, and Mathematics",129192
"Bloomsburg University of Pennsylvania","Nursing and Health Professionals",24122
"Blue Mountain College","Healthcare Services",116173
"Blue Mountain Community College","Education",254904
"Blue Ridge Community College","Environment",94536
"Bluefield State College","Education",2764030
"Bluegrass Community and Technical College","Education",1599703.74
"Boise State University","Science, Engineering, and Mathematics",10948985.08
"Boise State University","Education",6445710.8
"Boise State University","Medical R&D",3164401
"Boise State University","Energy Programs",1553884.3
"Boise State University","Business",1240152.08
"Boston College","Medical R&D",11296894
"Boston College","Science, Engineering, and Mathematics",5246239.99
"Boston College","Education",4512033
"Boston College","Medical R&D (Infectious Diseases)",4102956
"Boston College","Research Support Programs",4069202
"Boston University","Medical R&D",219595973
"Boston University","Science, Engineering, and Mathematics",42623604.27
