"cluster_final","coc_number","coc_name","Total_Year_Round_Beds","density","weighted_income","weighted_estimate_median_gross_rent","rent_pct_income","land_area","estimated_pop_2018","total_homeless","homeless_individuals","homeless_people_in_families","CoC_program_funding","Other_program_funding"
"4","VA-505","Newport News/Hampton/Virginia Peninsula CoC",388,1236.391953,19714,1192.25,0.725727909100132,391.68,457182,439,316,123,1556955.51,512975
"4","MD-504","Howard County CoC",98,1230.146766,29774,1657,0.667830993484248,250.74,323196,168,91,77,784755.64,-8025
"4","OH-505","Dayton/Kettering/Montgomery County CoC",540,1154.286643,11019,784,0.853797985298121,461.55,532331,680,566,114,9581827,691569.98
"4","NJ-513","Somerset County CoC",294,1098.98943,25780,1624,0.755934833204034,301.81,331164,218,152,66,304932,0
"4","KY-502","Lexington/Fayette County CoC",999,1098.286621,14767,915,0.743549807002099,283.65,323780,685,580,105,1483608.68,641736
"4","NJ-509","Morris County CoC",294,1082.65244,27217,1591,0.701473343865966,460.18,494228,398,249,149,1304619.05,164010
"4","NC-502","Durham City & County CoC",319,1030.204909,15096,1047,0.832273449920509,285.98,316739,338,246,92,1112289.94,331062
"4","GA-503","Athens/Clarke County CoC",148,1023.800336,7410,844,1.3668016194332,119.2,127330,212,128,84,14260.43,0
"4","IL-517","Aurora/Elgin/Kane County CoC",406,1012.604315,20444,1155,0.677949520641753,520.06,534216,430,318,112,1587592.71,136287
"4","IL-511","Cook County CoC",483,3503.926716,12749,1113,1.04761157737862,719.94,5180493,873,559,314,7832404.75,873972.46
"4","TX-600","Dallas City & County/Irving CoC",3384,1985.218686,19475.5,1258,0.775127724577033,1712.5,3642918,4121,3187,934,14678286.83,1993802
"4","TX-700","Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",3192,1562.890628,18537.33333,1230,0.796231029417433,3606.69,6077402,4143,3162,981,25491734.68,4529404.94
"4","CA-601","San Diego City and County CoC",3722,773.3877237,17724,1668,1.12931618144888,4206.63,3343364,8576,7063,1513,18299713.37,1507072.92
"4","AZ-502","Phoenix/Mesa/Maricopa County Regional CoC",3529,444.4007374,16390,1119,0.81928004881025,9200.14,4410824,6298,4542,1756,31410631.54,4075053.54
"5","MA-511","Quincy/Brockton/Weymouth/Plymouth City and County CoC",971,947.8323032,17839,1296,0.871797746510455,692.44,518132,1090,335,755,5085609.54,648589
"5","NC-500","Winston Salem/Forsyth County CoC",467,893.5219895,11408,789,0.829943899018233,408.15,379099,440,351,89,580685.06,365597
"5","TN-502","Knoxville/Knox County CoC",706,881.8307032,12700,878,0.829606299212598,508.22,465289,743,674,69,1804921,450000
"5","NC-504","Greensboro/High Point CoC",517,792.6513861,12109,872,0.8641506317615,645.7,533670,657,480,177,1832143.84,182371
"5","MA-504","Springfield/Hampden County CoC",2417,758.4535114,10559,885,1.0057770622218,617.14,470406,3368,457,2911,-677083.13,192886.93
"5","NY-507","Schenectady City & County CoC",180,757.1142187,13495,972,0.864320118562431,204.52,155350,393,214,179,3254687.59,410128.51
"5","MA-519","Attleboro/Taunton/Bristol County CoC",225,741.8565114,14305,895,0.750786438308284,499.97,564022,208,82,126,563435,39860
"5","WA-508","Vancouver/Clark County CoC",449,716.8410175,20201,1340,0.79600019801,629,481857,795,453,342,1197211.74,0
"5","VA-602","Loudoun County CoC",94,702.9928621,38476,1837,0.572928578854351,515.56,406850,134,86,48,158565.99,0
"5","PA-505","Chester County CoC",533,682.2400767,23932,1272,0.637807120173826,750.51,522046,579,365,214,1570335.01,566477.6
"5","GA-507","Savannah/Chatham County CoC",699,662.7262921,12663,1060,1.00450130300877,426.44,289195,1009,875,134,2251821.56,-190762.43
"5","FL-519","Pasco County CoC",220,653.7910536,13164,1075,0.979945305378304,746.89,539630,2668,829,1839,160110,224395.06
"5","OH-508","Canton/Massillon/Alliance/Stark County CoC",328,651.4540998,12506,720,0.690868383176075,575.27,371574,278,145,133,2681482.05,640151
"5","MI-505","Flint/Genesee County CoC",306,648.5132971,10767,747,0.832543884090276,636.98,406892,438,285,153,1521525.25,472879.44
