source,target,value,type
LEASE/RENTAL OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,Cornell University,20000,contract
LEASE/RENTAL OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,Texas Southern University,20000,contract
LEASE/RENTAL OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,National University,18000,contract
LEASE/RENTAL OF OTHER AIRFIELD STRUCTURES,Ohio State University,19224,contract
LEASE/RENTAL OF OTHER EDUCATIONAL BUILDINGS,Auburn University,343380.75,contract
LEASE/RENTAL OF OTHER EDUCATIONAL BUILDINGS,University of Mary Washington,234864.96,contract
LEASE/RENTAL OF OTHER EDUCATIONAL BUILDINGS,University of Rhode Island,150447.69,contract
LEASE/RENTAL OF OTHER EDUCATIONAL BUILDINGS,University of Puerto Rico-Rio Piedras,138300,contract
LEASE/RENTAL OF OTHER EDUCATIONAL BUILDINGS,Northern Virginia Community College,71520.8,contract
LEASE/RENTAL OF OTHER NON-BUILDING FACILITIES,Indian River State College,26306.76,contract
LEASE/RENTAL OF OTHER NON-BUILDING FACILITIES,Florida Gulf Coast University,17892,contract
LEASE/RENTAL OF OTHER NON-BUILDING FACILITIES,Rio Hondo College,9600,contract
LEASE/RENTAL OF OTHER NON-BUILDING FACILITIES,Troy University,5100,contract
LEASE/RENTAL OF OTHER RESIDENTIAL BUILDINGS,University of Washington,7585,contract
LEASE/RENTAL OF OTHER WAREHOUSE BUILDINGS,Southern Utah University,3000,contract
LEASE/RENTAL OF OTHER WAREHOUSE BUILDINGS,University of Southern California,2525.46,contract
LEASE/RENTAL OF PARKING FACILITIES,University of Missouri-Columbia,159300,contract
LEASE/RENTAL OF PARKING FACILITIES,University of California-Hastings College of Law,128390.4,contract
LEASE/RENTAL OF PARKING FACILITIES,University of Illinois at Urbana-Champaign,24336,contract
LEASE/RENTAL OF PARKING FACILITIES,Madisonville Community College,21600,contract
LEASE/RENTAL OF PARKING FACILITIES,North Carolina State University at Raleigh,18184,contract
LEASE/RENTAL OF RECREATIONAL BUILDINGS,Clemson University,61707.96,contract
LEASE/RENTAL OF RECREATIONAL BUILDINGS,North Dakota State University-Main Campus,14850,contract
LEASE/RENTAL OF RECREATIONAL BUILDINGS,Massachusetts Maritime Academy,14320.8,contract
LEASE/RENTAL OF RECREATIONAL BUILDINGS,University of Maryland-College Park,3675,contract
LEASE/RENTAL OF SCHOOLS,George Mason University,7647.5,contract
LEASE/RENTAL OF TROOP HOUSING FACILITIES,University of Florida,3650,contract
LECTURES FOR TRAINING,University of New Mexico-Main Campus,1379210.28,contract
LECTURES FOR TRAINING,Harvard University,348597,contract
LECTURES FOR TRAINING,Lincoln University,230224.95,contract
LECTURES FOR TRAINING,University of California-Los Angeles,97750,contract
LECTURES FOR TRAINING,The University of Texas at Arlington,75769.5,contract
Legacy Resource Management Program,Colorado State University-Fort Collins,18416644,grant
Legacy Resource Management Program,University of Alaska Anchorage,2487515,grant
Legacy Resource Management Program,University of Guam,1315553,grant
Legacy Resource Management Program,Texas A & M University-College Station,772021,grant
Legacy Resource Management Program,University of Hawaii at Hilo,449730,grant
LEGAL SERVICES,University of Kansas,73333.32,contract
LEGAL SERVICES,University of Chicago,50051.4,contract
LEGAL SERVICES,University of Wisconsin-Madison,7930.4,contract
LEGAL SERVICES,Indiana University-Bloomington,1750,contract
LIFE SCIENCES (BASIC),Stanford University,2871469.45,contract
LIFE SCIENCES (BASIC),University of Colorado Boulder,1870442,contract
LIFE SCIENCES (BASIC),Emory University-Oxford College,848989.91,contract
LIFE SCIENCES (BASIC),Baylor College of Medicine,203988,contract
LIFE SCIENCES (BASIC),Case Western Reserve University,138202.05,contract
LIFE SCIENCES (ENGINEERING),Case Western Reserve University,250000,contract
"LIVE ANIMALS, NOT RAISED FOR FOOD",The University of Texas MD Anderson Cancer Center,252146,contract
"LIVE ANIMALS, NOT RAISED FOR FOOD",University of Nebraska-Lincoln,238141.44,contract
"LIVE ANIMALS, NOT RAISED FOR FOOD",University of Washington,206163.22,contract
"LIVE ANIMALS, NOT RAISED FOR FOOD",Johns Hopkins University,104000,contract
"LIVE ANIMALS, NOT RAISED FOR FOOD",University of California-Davis,102763.42,contract
Local Food Promotion Program,Cornell University,98479,grant
LOGISTICS SUPPORT SERVICES,West Virginia University,4183020.72,contract
LOGISTICS SUPPORT SERVICES,University of Alaska Fairbanks,1985439.83,contract
LOGISTICS SUPPORT SERVICES,University of North Carolina at Greensboro,1475533,contract
LOGISTICS SUPPORT SERVICES,University of Notre Dame,24000,contract
LOGISTICS SUPPORT SERVICES,Oregon State University,4327.14,contract
Long Island Sound Program ,University of Connecticut,1239532,grant
Long Island Sound Program ,Stony Brook University,650000,grant
Long Island Sound Program ,Cornell University,401796,grant
Long-Term Surveillance and Maintenance,Medical University of South Carolina,610000,grant
Long-Term Surveillance and Maintenance,Allen University,350000,grant
Long-Term Surveillance and Maintenance,Tennessee State University,300000,grant
Long-Term Surveillance and Maintenance,Truckee Meadows Community College,112250,grant
Louisiana State University (LSU) Coastal Marine Institute  (CMI),Louisiana State University,346176,grant
Low Income Taxpayer Clinics,American University,100000,grant
Low Income Taxpayer Clinics,California Polytechnic State University-San Luis Obispo,100000,grant
Low Income Taxpayer Clinics,Chapman University,100000,grant
Low Income Taxpayer Clinics,Georgia State University,100000,grant
Low Income Taxpayer Clinics,Harvard University,100000,grant
Lung Diseases Research,Harvard University,34337991,research
Lung Diseases Research,University of California-San Francisco,32850080,research
Lung Diseases Research,University of Pittsburgh-Pittsburgh Campus,31797151,research
Lung Diseases Research,University of North Carolina at Chapel Hill,26063274,research
Lung Diseases Research,University of Pennsylvania,21358403,research
Magnet Schools Assistance,Cape Coral Technical College,2566396,grant
Magnet Schools Assistance,Fort Myers Technical College,2566396,grant
MAINT-REP OF ELECT-ELCT EQ,Harvard University,21460,contract
MAINT-REP OF ELECT-ELCT EQ,University of Oklahoma-Norman Campus,1025.33,contract
MAINT-REP OF SHIP & MARINE EQ,SUNY Maritime College,25000,contract
MAINT/REPAIR/REBUILD OF EQUIPMENT- ADP EQUIPMENT/SOFTWARE/SUPPLIES/SUPPORT EQUIPMENT,University of Miami,22000,contract
MAINT/REPAIR/REBUILD OF EQUIPMENT- INSTRUMENTS AND LABORATORY EQUIPMENT,Massachusetts Institute of Technology,20000,contract
MAINT/REPAIR/REBUILD OF EQUIPMENT- INSTRUMENTS AND LABORATORY EQUIPMENT,University of Wisconsin-Madison,4199.95,contract
MAINT/REPAIR/REBUILD OF EQUIPMENT- INSTRUMENTS AND LABORATORY EQUIPMENT,Michigan State University,2780,contract
"MAINT/REPAIR/REBUILD OF EQUIPMENT- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",University of Texas Southwestern Medical Center,29640.96,contract
"MAINT/REPAIR/REBUILD OF EQUIPMENT- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",University of Alabama at Birmingham,12000,contract
"MAINT/REPAIR/REBUILD OF EQUIPMENT- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",University of Wisconsin-Madison,11596,contract
"MAINT/REPAIR/REBUILD OF EQUIPMENT- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",The University of Texas MD Anderson Cancer Center,6120,contract
MAINT/REPAIR/REBUILD OF EQUIPMENT- MISCELLANEOUS,University of Hawaii at Manoa,11784,contract
MAINT/REPAIR/REBUILD OF EQUIPMENT- NONMETALLIC FABRICATED MATERIALS,University of Arizona,7000,contract
"MAINT/REPAIR/REBUILD OF EQUIPMENT- PLUMBING, HEATING, AND WASTE DISPOSAL EQUIPMENT",Colorado State University-Fort Collins,13291.8,contract
MAINT/REPAIR/REBUILD OF EQUIPMENT- PUMPS AND COMPRESSORS,Oregon State University,23925.12,contract
"MAINT/REPAIR/REBUILD OF EQUIPMENT- REFRIGERATION, AIR CONDITIONING, AND AIR CIRCULATING EQUIPMENT",Cornell University,10722.01,contract
MAINTENANCE OF MISCELLANEOUS BUILDINGS,University of Oklahoma-Norman Campus,12903.6,contract
MAINTENANCE OF OFFICE BUILDINGS,Montana State University,6000,contract
MAINTENANCE OF OTHER NON-BUILDING FACILITIES,University of Illinois at Urbana-Champaign,167939,contract
MANPOWER STUDIES,Pardee RAND Graduate School,2094631.54,contract
Manufacturing Extension Partnership,The University of Texas at Arlington,6608779,grant
Manufacturing Extension Partnership,Georgia Institute of Technology-Main Campus,4098849,grant
Manufacturing Extension Partnership,North Carolina State University at Raleigh,3246183,grant
Manufacturing Extension Partnership,Purdue University-Main Campus,3008688,grant
Manufacturing Extension Partnership,The University of Tennessee-Knoxville,2155899,grant
MARINE AND OCEANOGRAPHIC (BASIC),University of Wisconsin-Superior,125918.88,contract
Marine Debris Program,Stockton University,226299,research
Marine Debris Program,University of North Carolina Wilmington,131101,research
Marine Debris Program,Eckerd College,115124,research
Marine Debris Program,Mississippi State University,98552,research
Marine Debris Program,Keene State College,72604,research
Marine Fisheries Initiative,University of South Florida,174983,research
Marine Fisheries Initiative,University of South Carolina-Beaufort,167972,research
Marine Fisheries Initiative,University of South Alabama,158826,research
Marine Fisheries Initiative,College of William and Mary,153047,research
Marine Fisheries Initiative,Texas A & M University-College Station,137264,research
Marine Mammal Data Program,University of Alaska Fairbanks,225909,grant
Marine Mammal Data Program,Portland State University,100000,grant
Marine Mammal Data Program,Oregon State University,99980,grant
Marine Mammal Data Program,Humboldt State University,97183.25,grant
Marine Mammal Data Program,Coastal Carolina University,95381,grant
Marine Minerals Activities - Hurricane Sandy,University of Florida,650000,grant
Marine Sanctuary Program,Michigan State University,144998,grant
Marine Sanctuary Program,Eastern Michigan University,75000,grant
Marine Sanctuary Program,University of Wisconsin-Superior,74094,grant
Marine Sanctuary Program,University of Wisconsin-Madison,73409,grant
Marine Sanctuary Program,Grand Valley State University,68000,grant
Marine Turtle Conservation Fund,Florida Gulf Coast University,21768.34,grant
Marine Turtle Conservation Fund,University of Alabama at Birmingham,20398,grant
Marine Turtle Conservation Fund,Loma Linda University,17003,grant
MARKET RESEARCH & PUBLIC OPINION SE,Pardee RAND Graduate School,976685,contract
MARKET RESEARCH & PUBLIC OPINION SE,University of Guam,188500,contract
MARKET RESEARCH & PUBLIC OPINION SE,Wake Forest University,149962,contract
MARKET RESEARCH & PUBLIC OPINION SE,University of Chicago,100000,contract
MARKET RESEARCH & PUBLIC OPINION SE,University of Pittsburgh-Pittsburgh Campus,100000,contract
MAT HANDLING EQ - NONSELF-PROPELLED,Worcester Polytechnic Institute,25000,contract
Maternal and Child Health Federal Consolidated Programs,Boston University,4486954,grant
Maternal and Child Health Federal Consolidated Programs,University of California-Los Angeles,3908293,grant
Maternal and Child Health Federal Consolidated Programs,University of North Carolina at Chapel Hill,3700991,grant
Maternal and Child Health Federal Consolidated Programs,University of Mississippi Medical Center,3500000,grant
Maternal and Child Health Federal Consolidated Programs,Massachusetts General Hospital Dietetic Internship,2991590,grant
Mathematical and Physical Sciences,California Institute of Technology,65041419,research
Mathematical and Physical Sciences,Florida State University,62002950,research
Mathematical and Physical Sciences,Cornell University,51422700,research
Mathematical and Physical Sciences,Michigan State University,33758013,research
Mathematical and Physical Sciences,Princeton University,31640799,research
Mathematical Sciences Grants,Stanford University,2978465,research
MBDA Business Center,Houston Community College,321775,grant
MBDA Business Center,University of Southern California,317900,grant
MBDA Business Center,Georgia Institute of Technology-Main Campus,298255,grant
MBDA Business Center,University of Hawaii at Manoa,291275,grant
MBDA Business Center,The University of Texas at San Antonio,285400,grant
Measurement and Engineering Research and Standards,University of Maryland-College Park,16308270.95,research
Measurement and Engineering Research and Standards,University of Colorado Boulder,12583965,research
Measurement and Engineering Research and Standards,Northwestern University,5234457,research
Measurement and Engineering Research and Standards,Auburn University,3250519,research
Measurement and Engineering Research and Standards,Troy University,3200000,research
"Meat, Poultry, and Egg Products Inspection",Clemson University,217541.71,grant
MEDICAL AND HEALTH STUDIES,University of Michigan-Ann Arbor,5345934.18,contract
MEDICAL AND HEALTH STUDIES,Duke University,2127339.4,contract
MEDICAL AND HEALTH STUDIES,Michigan State University,1121177,contract
MEDICAL AND HEALTH STUDIES,Boston University,470549,contract
MEDICAL AND HEALTH STUDIES,The University of Texas at Austin,374884,contract
"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",University of California-San Francisco,422268.34,contract
"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",Duke University,394701.4,contract
"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",University of California-Irvine,132000,contract
"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",University of Miami,132000,contract
"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",University of Wisconsin-Madison,69057.41,contract
Medical Library Assistance,University of Pittsburgh-Pittsburgh Campus,5758916,grant
Medical Library Assistance,University of Washington,3797518,grant
Medical Library Assistance,Columbia University in the City of New York,3697315,grant
Medical Library Assistance,University of Utah,3316651,grant
Medical Library Assistance,Stanford University,3143192,grant
MEDICAL- DENTISTRY,Augusta University,166246.4,contract
MEDICAL- DENTISTRY,Oregon Health & Science University,81497.52,contract
MEDICAL- DENTISTRY,University of Minnesota-Twin Cities,33903.25,contract
MEDICAL- DENTISTRY,University of Michigan-Ann Arbor,11567,contract
MEDICAL- DENTISTRY,Eastern Washington University,6996,contract
MEDICAL- DERMATOLOGY,University of Washington,579814.84,contract
MEDICAL- DERMATOLOGY,Oregon Health & Science University,300274.32,contract
MEDICAL- DERMATOLOGY,Thomas Jefferson University,265600,contract
MEDICAL- DERMATOLOGY,Medical College of Wisconsin,192912.48,contract
MEDICAL- DERMATOLOGY,University of Rochester,180650.78,contract
MEDICAL- GASTROENTEROLOGY,University of Missouri-Columbia,572782.28,contract
MEDICAL- GASTROENTEROLOGY,Medical University of South Carolina,431951.18,contract
MEDICAL- GASTROENTEROLOGY,Stanford University,244977.26,contract
MEDICAL- GERIATRIC,SUNY College at Plattsburgh,11074,contract
MEDICAL- GYNECOLOGY,Oregon Health & Science University,331488.23,contract
MEDICAL- GYNECOLOGY,University of Louisville,224956.8,contract
MEDICAL- GYNECOLOGY,University of California-San Francisco,47746.5,contract
MEDICAL- GYNECOLOGY,University of Iowa,11409.52,contract
MEDICAL- HEMATOLOGY,The University of Texas MD Anderson Cancer Center,7653828,contract
MEDICAL- HEMATOLOGY,Duke University,3307700,contract
MEDICAL- HEMATOLOGY,University of Wisconsin-Madison,722846,contract
MEDICAL- HEMATOLOGY,Oregon Health & Science University,650000,contract
MEDICAL- HEMATOLOGY,University of Louisville,505113.83,contract
MEDICAL- LABORATORY TESTING,Medical University of South Carolina,3482033.47,contract
MEDICAL- LABORATORY TESTING,Oregon Health & Science University,3022630.71,contract
MEDICAL- LABORATORY TESTING,University of Arkansas for Medical Sciences,1472586.73,contract
MEDICAL- LABORATORY TESTING,Yale University,1190044,contract
MEDICAL- LABORATORY TESTING,Vanderbilt University,1155606.86,contract
MEDICAL- NEUROLOGY,University of Miami,1449187.56,contract
MEDICAL- NEUROLOGY,Medical University of South Carolina,1085551.53,contract
MEDICAL- NEUROLOGY,University of Texas Southwestern Medical Center,748879.32,contract
MEDICAL- NEUROLOGY,Vanderbilt University,383228,contract
MEDICAL- NEUROLOGY,New York University,359723.64,contract
MEDICAL- OPHTHALMOLOGY,University of Texas Southwestern Medical Center,999794.5,contract
MEDICAL- OPHTHALMOLOGY,Rutgers University-New Brunswick,766299.07,contract
MEDICAL- OPHTHALMOLOGY,Pennsylvania State University,519552.54,contract
MEDICAL- OPHTHALMOLOGY,Potomac State College of West Virginia University,508060.8,contract
MEDICAL- OPHTHALMOLOGY,West Virginia University,508060.8,contract
MEDICAL- OTOLARYNGOLOGY,University of Texas Southwestern Medical Center,990530.4,contract
MEDICAL- OTOLARYNGOLOGY,University of Missouri-Columbia,450458.61,contract
MEDICAL- OTOLARYNGOLOGY,University of Kansas,365784.36,contract
MEDICAL- OTOLARYNGOLOGY,University of Iowa,329365.54,contract
MEDICAL- OTOLARYNGOLOGY,Potomac State College of West Virginia University,306471.76,contract
MEDICAL- PHARMACOLOGY,Texas Tech University Health Sciences Center,770647.61,contract
MEDICAL- PHARMACOLOGY,Northeastern University,90032.08,contract
MEDICAL- PHARMACOLOGY,University of Arkansas for Medical Sciences,69922.08,contract
MEDICAL- PODIATRY,University of Connecticut,140707.81,contract
MEDICAL- PSYCHIATRY,University of North Carolina at Chapel Hill,96442.5,contract
MEDICAL- PSYCHIATRY,Harvard University,64502.31,contract
MEDICAL- PSYCHIATRY,University of California-San Francisco,29920,contract
MEDICAL- PSYCHIATRY,University of California-Davis,24209.11,contract
MEDICAL- PSYCHIATRY,University of Colorado Boulder,12000,contract
MEDICAL- PULMONARY,Medical University of South Carolina,659669.16,contract
MEDICAL- PULMONARY,University of California-Davis,450547.9,contract
MEDICAL- PULMONARY,Vanderbilt University,359505,contract
MEDICAL- PULMONARY,Stanford University,114976.32,contract
MEDICAL- PULMONARY,University of Florida,16400,contract
MEDICAL- RADIOLOGY,University of Louisville,4275842.59,contract
MEDICAL- RADIOLOGY,University of New Mexico-Main Campus,3050229.03,contract
MEDICAL- RADIOLOGY,Duke University,2822612.83,contract
MEDICAL- RADIOLOGY,University of Utah,2716680.8,contract
MEDICAL- RADIOLOGY,University of California-San Francisco,2529400,contract
MEDICAL- SURGERY,Vanderbilt University,8706780.85,contract
MEDICAL- SURGERY,University of Washington,3329248.4,contract
MEDICAL- SURGERY,Indiana University-Bloomington,2646091.7,contract
MEDICAL- SURGERY,University of Texas Southwestern Medical Center,2467795.15,contract
MEDICAL- SURGERY,New York University,2162282.99,contract
MEDICAL- THORACIC,University of Minnesota-Twin Cities,3229605.5,contract
MEDICAL- THORACIC,Emory University-Oxford College,408000,contract
MEDICAL- THORACIC,Oregon Health & Science University,329721.67,contract
MEDICAL- THORACIC,University of Louisville,197897.5,contract
MEDICAL- THORACIC,University of Washington,181584.36,contract
MEDICAL/PSYCH CONSULTATION SVCS,Methodist College,622691.35,contract
MEDICAL/PSYCH CONSULTATION SVCS,UnityPoint Health-Des Moines School of Radiologic Technology,463500,contract
MEDICAL/PSYCH CONSULTATION SVCS,University of California-Davis,114400,contract
MEDICAL/PSYCH CONSULTATION SVCS,Rutgers University-New Brunswick,38615,contract
MEDICAL/PSYCH CONSULTATION SVCS,University of Washington,12000,contract
Medicare Access and CHIP Reauthorization Act (MACRA) Funding Opportunity: Measure Development for the Quality Payment Program,Harvard University,1869289,grant
Medicare Access and CHIP Reauthorization Act (MACRA) Funding Opportunity: Measure Development for the Quality Payment Program,University of California-San Francisco,1579829,grant
Medicare Access and CHIP Reauthorization Act (MACRA) Funding Opportunity: Measure Development for the Quality Payment Program,University of Southern California,400552,grant
Mental and Behavioral Health Education and Training Grants ,Metropolitan State University of Denver,1160227,grant
Mental and Behavioral Health Education and Training Grants ,University of Nebraska Medical Center,1150197,grant
Mental and Behavioral Health Education and Training Grants ,University of Illinois at Chicago,879952,grant
Mental and Behavioral Health Education and Training Grants ,Plymouth State University,879332,grant
Mental and Behavioral Health Education and Training Grants ,University of Michigan-Ann Arbor,878457,grant
MENTAL HEALTH (BASIC),Duke University,501575.4,contract
MENTAL HEALTH (BASIC),"University of Maryland, Baltimore",189214.24,contract
MENTAL HEALTH (BASIC),University of Pittsburgh-Pittsburgh Campus,149550,contract
MENTAL HEALTH (BASIC),Columbia University in the City of New York,28156.92,contract
MENTAL HEALTH (BASIC),University of North Carolina at Chapel Hill,12479.2,contract
Mental Health Research Grants,Yale University,59888483,research
Mental Health Research Grants,University of Pittsburgh-Pittsburgh Campus,47972599,research
Mental Health Research Grants,University of California-Los Angeles,42934384,research
Mental Health Research Grants,University of California-San Diego,42912536,research
Mental Health Research Grants,University of California-San Francisco,40106005,research
METEOROLOG INSTRUMENTS & APPARATUS,University of Illinois at Urbana-Champaign,19785,contract
Meteorologic and Hydrologic Modernization Development,University of Puerto Rico-Mayaguez,345574,grant
Meteorologic and Hydrologic Modernization Development,University of Colorado Boulder,300000,grant
Meteorologic and Hydrologic Modernization Development,Texas A & M University-College Station,218319,grant
Meteorologic and Hydrologic Modernization Development,University of Hawaii at Manoa,200000,grant
Microbiology and Infectious Diseases Research,Johns Hopkins University,883385,research
Microbiology and Infectious Diseases Research,Duke University,664343,research
Microbiology and Infectious Diseases Research,"University of Maryland, Baltimore",540750,research
Microbiology and Infectious Diseases Research,Case Western Reserve University,515505,research
Microbiology and Infectious Diseases Research,University of California-Los Angeles,389367,research
Migrant Education College Assistance Migrant Program,The University of Texas Rio Grande Valley,849999,grant
Migrant Education College Assistance Migrant Program,Central Washington University,629614.27,grant
Migrant Education College Assistance Migrant Program,Arizona Western College,425000,grant
Migrant Education College Assistance Migrant Program,Boise State University,425000,grant
Migrant Education College Assistance Migrant Program,California State University-Bakersfield,425000,grant
Migrant Education High School Equivalency Program,University of New Mexico-Main Campus,795969,grant
Migrant Education High School Equivalency Program,Hartnell College,713992,grant
Migrant Education High School Equivalency Program,Boise State University,475000,grant
Migrant Education High School Equivalency Program,California State University-Long Beach,475000,grant
Migrant Education High School Equivalency Program,California State University-Sacramento,475000,grant
Migratory Bird Conservation,University of Illinois at Urbana-Champaign,77057,grant
Migratory Bird Conservation,Ohio State University,59307,grant
Migratory Bird Joint Ventures,The University of Montana,38090,grant
Migratory Bird Joint Ventures,Louisiana State University,28975,grant
"Migratory Bird Monitoring, Assessment and Conservation",Texas A & M University-Kingsville,401606.73,grant
"Migratory Bird Monitoring, Assessment and Conservation",Boise State University,65355.62,grant
"Migratory Bird Monitoring, Assessment and Conservation",University of California-Santa Cruz,46292,grant
"Migratory Bird Monitoring, Assessment and Conservation",University of Wyoming,31704,grant
"Migratory Bird Monitoring, Assessment and Conservation",Virginia Polytechnic Institute and State University,20698,grant
Military Medical Research and Development,Johns Hopkins University,37335482,grant
Military Medical Research and Development,University of Michigan-Ann Arbor,25694532,grant
Military Medical Research and Development,University of California-San Francisco,20449982,grant
Military Medical Research and Development,Harvard University,20424556,grant
Military Medical Research and Development,University of Washington,19887841,grant
Mine Health and Safety Grants,The University of Texas at Austin,509459.06,grant
Mine Health and Safety Grants,Vincennes University,260255.77,grant
Mine Health and Safety Grants,Michigan Technological University,252812,grant
Mine Health and Safety Grants,Bevill State Community College,242189,grant
Mine Health and Safety Grants,Utah State University,227914,grant
MINING SAFETY (APPLIED/EXPLORATORY),Virginia Polytechnic Institute and State University,499823,contract
MINING SAFETY (APPLIED/EXPLORATORY),South Dakota School of Mines and Technology,250000,contract
MINING SAFETY (APPLIED/EXPLORATORY),University of Arizona,249351,contract
Minority Business Resource Development,Tougaloo College,695412,grant
Minority Business Resource Development,Houston Community College,500000,grant
Minority Business Resource Development,Clark Atlanta University,499497,grant
Minority Business Resource Development,Xavier University of Louisiana,465894,grant
Minority Business Resource Development,South Carolina State University,404992,grant
Minority Economic Impact,University of Maryland-Baltimore County,100000,grant
Minority Health and Health Disparities Research ,University of Puerto Rico-Medical Sciences,8545316,research
Minority Health and Health Disparities Research ,University of Hawaii at Manoa,8490588,research
Minority Health and Health Disparities Research ,Morehouse School of Medicine,8256620,research
Minority Health and Health Disparities Research ,Meharry Medical College,7771938,research
Minority Health and Health Disparities Research ,San Diego State University,7249209,research
Minority Science and Engineering Improvement,Sistema Universitario Ana G Mendez,1343043,grant
Minority Science and Engineering Improvement,Florida Agricultural and Mechanical University,866869,grant
Minority Science and Engineering Improvement,The University of Texas at El Paso,728827,grant
Minority Science and Engineering Improvement,Miami Dade College,526757,grant
Minority Science and Engineering Improvement,University of Maryland Eastern Shore,464327,grant
MISC COMMUNICATION EQ,Syracuse University,30000,contract
MISC COMMUNICATION EQ,Rockefeller University,5000,contract
MISC PREFABRICATED STRUCTURES,University of Hawaii at Manoa,15861,contract
MISC SERVICE & TRADE EQ,American University,149600,contract
MISC SERVICE & TRADE EQ,Texas A & M University-College Station,16599.26,contract
MISC SHIP & MARINE EQ,Maine Maritime Academy,25000,contract
MISCELLANEOUS CHEMICAL SPECIALTIES,University of California-San Diego,11380,contract
MISCELLANEOUS ELECTRIC POWER AND DISTRIBUTION EQUIPMENT,Harvard University,14716.4,contract
MISCELLANEOUS ENGINES AND COMPONENTS,University of Southern California,25403,contract
MISCELLANEOUS PRINTED MATTER,Virginia Polytechnic Institute and State University,17400,contract
MISCELLANEOUS PRINTED MATTER,Massachusetts Institute of Technology,6825,contract
MISCELLANEOUS PRINTED MATTER,University of Georgia,4000,contract
MISCELLANEOUS VEHICULAR COMPONENTS,University of Delaware,849829,contract
MISCELLANEOUS WEAPONS,Florida State College at Jacksonville,4120,contract
Missing Children's Assistance,University of Massachusetts-Amherst,750000,grant
Missing Children's Assistance,Texas A & M University-Corpus Christi,447270,grant
Motor Carrier Safety Assistance High Priority Activities Grants and Cooperative Agreements,Texas A & M University-College Station,620066,grant
Motor Carrier Safety Assistance High Priority Activities Grants and Cooperative Agreements,The University of Tennessee-Knoxville,300000,grant
Motor Carrier Safety Assistance High Priority Activities Grants and Cooperative Agreements,University of Massachusetts-Amherst,299862,grant
MSC ELECT & ELECTRONIC COMPONENTS,Virginia Polytechnic Institute and State University,64446,contract
MSC ELECT & ELECTRONIC COMPONENTS,University of Michigan-Ann Arbor,35000,contract
Multistate Conservation Grant ,North Carolina State University at Raleigh,123071,grant
Museum Grants for African American History and Culture,Florida Agricultural and Mechanical University,135570,grant
Museum Grants for African American History and Culture,Troy University,119042,grant
Museum Grants for African American History and Culture,Marion Technical College,54787,grant
Museum Grants for African American History and Culture,Temple University,24885,grant
Museum Grants for African American History and Culture,Tuskegee University,24022,grant
Museums for America,University of California-Berkeley,479563,grant
Museums for America,University of Michigan-Ann Arbor,326916,grant
Museums for America,Harvard University,287230.73,grant
Museums for America,University of Pennsylvania,250000,grant
Museums for America,University of Washington,250000,grant
National Agricultural Library,Vermont Law School,1500000.41,grant
National Agricultural Library,University of Arkansas,1500000,grant
National Agricultural Library,University of Arizona,95000,grant
National Agricultural Library,University of California-Santa Barbara,84268,grant
National Agricultural Library,University of Maryland-College Park,37777,grant
National Center for Advancing Translational Sciences,Harvard University,27203354,grant
National Center for Advancing Translational Sciences,University of Pittsburgh-Pittsburgh Campus,21577061,grant
National Center for Advancing Translational Sciences,Duke University,20889036,grant
National Center for Advancing Translational Sciences,University of California-San Francisco,18199141,grant
National Center for Advancing Translational Sciences,Columbia University in the City of New York,15090054,grant
National Center for Health Workforce Analysis,University of Michigan-Ann Arbor,1164100,grant
National Center for Health Workforce Analysis,George Washington University,989284,grant
National Center for Health Workforce Analysis,University of Washington,989284,grant
National Center for Health Workforce Analysis,SUNY at Albany,534682,grant
National Center for Health Workforce Analysis,University of California-San Francisco,533931,grant
National Center for Preservation Technology and Training,Northwestern State University of Louisiana,442445.88,grant
National Center for Preservation Technology and Training,Catholic University of America,40000,grant
National Center for Preservation Technology and Training,University of Cincinnati,40000,grant
National Center for Preservation Technology and Training,University of New Mexico-Main Campus,39984,grant
National Center for Preservation Technology and Training,Angelo State University,39174,grant
National Center on Sleep Disorders Research,University of Pennsylvania,8886043,research
National Center on Sleep Disorders Research,Harvard University,8511580,research
National Center on Sleep Disorders Research,Johns Hopkins University,4071536,research
National Center on Sleep Disorders Research,Columbia University in the City of New York,2966477,research
National Center on Sleep Disorders Research,Oregon Health & Science University,2350992,research
National Clean Diesel Emissions Reduction Program,University of Puerto Rico-Medical Sciences,991253,grant
National Climate Change and Wildlife Science Center,University of Alaska Fairbanks,2038960.5,grant
National Climate Change and Wildlife Science Center,University of Massachusetts-Amherst,1861073.75,grant
