source,target,value,type
AERIAL PHOTOGRAPHIC SERVICES,University of Virginia,9500,contract
AERIAL SEEDING SERVICES,University of Arkansas at Pine Bluff,48744.75,contract
AERONAUTIC/SPACE STUDIES,University of California-Los Angeles,706827,contract
Aeronautics,San Jose State University,15099075.64,grant
Aeronautics,Ohio State University,2331075.54,grant
Aeronautics,Arizona State University-Tempe,2000000,grant
Aeronautics,The University of Tennessee-Knoxville,1998185,grant
Aeronautics,Texas A & M University-College Station,1996490.99,grant
"Aeronautics, Recovery Act",Massachusetts Institute of Technology,249902.29,grant
Affordable Care Act (ACA) Health Profession Opportunity Grants,Alamo Community College District Central Office,3000000,grant
Affordable Care Act (ACA) Health Profession Opportunity Grants,Edmonds Community College,3000000,grant
Affordable Care Act (ACA) Health Profession Opportunity Grants,Schenectady County Community College,3000000,grant
Affordable Care Act (ACA) Health Profession Opportunity Grants,Pima Community College,2999999,grant
Affordable Care Act (ACA) Health Profession Opportunity Grants,Rogue Community College,2919536,grant
"Affordable Care Act (ACA) Maternal, Infant, and Early Childhood Home Visiting Program",Johns Hopkins University,1300000,grant
Affordable Care Act (ACA) Personal Responsibility Education Program,James Madison University,1393750,grant
Affordable Care Act (ACA) Personal Responsibility Education Program,University of California-San Francisco,755094,grant
Affordable Care Act (ACA) Personal Responsibility Education Program,Texas A & M University-College Station,250001,grant
Affordable Care Act (ACA) Personal Responsibility Education Program,North Dakota State University-Main Campus,250000,grant
Affordable Care Act Initiative to Reduce Avoidable Hospitalizations among Nursing Facility Residents,University of Missouri-Columbia,4911171,grant
Affordable Care Act Initiative to Reduce Avoidable Hospitalizations among Nursing Facility Residents,Indiana University-Bloomington,3965197,grant
Affordable Care Act State Health Insurance Assistance Program (SHIP) and Aging and Disability Resource Center (ADRC) Options Counseling for Medicare-Medicaid Individuals in States with Approved Financial Alignment Models,New York University,499959,grant
African Elephant Conservation Fund,Cornell University,216910,grant
African Elephant Conservation Fund,University of Illinois at Urbana-Champaign,110000,grant
Aging Research,University of Southern California,81251422,research
Aging Research,Washington University in St Louis,75015146,research
Aging Research,Johns Hopkins University,67750144,research
Aging Research,Columbia University in the City of New York,60787534,research
Aging Research,University of Michigan-Ann Arbor,60186152,research
"Agricultural and Rural Economic Research, Cooperative Agreements and Collaborations",George Mason University,479995.76,grant
"Agricultural and Rural Economic Research, Cooperative Agreements and Collaborations",Virginia Polytechnic Institute and State University,430000,grant
"Agricultural and Rural Economic Research, Cooperative Agreements and Collaborations",Colorado State University-Fort Collins,150000,grant
"Agricultural and Rural Economic Research, Cooperative Agreements and Collaborations",University of Delaware,125000,grant
"Agricultural and Rural Economic Research, Cooperative Agreements and Collaborations",Purdue University-Main Campus,100000,grant
Agricultural Research Basic and Applied Research,Baylor College of Medicine,12960500,grant
Agricultural Research Basic and Applied Research,Tufts University,11708036,grant
Agricultural Research Basic and Applied Research,Mississippi State University,10083759,grant
Agricultural Research Basic and Applied Research,Cornell University,7994127.5,grant
Agricultural Research Basic and Applied Research,Washington State University,6390580.02,grant
Agricultural Statistics Reports,Virginia Polytechnic Institute and State University,500000,grant
Agricultural Statistics Reports,Cornell University,295220,grant
Agricultural Statistics Reports,University of Florida,129990,grant
Agricultural Statistics Reports,University of Nebraska-Lincoln,115000,grant
Agricultural Statistics Reports,University of Maryland-College Park,9500,grant
Agriculture and Food Research Initiative (AFRI) ,University of Florida,17360646.49,research
Agriculture and Food Research Initiative (AFRI) ,University of California-Davis,15347046.83,research
Agriculture and Food Research Initiative (AFRI) ,Ohio State University,14310853.23,research
Agriculture and Food Research Initiative (AFRI) ,Washington State University,14185071.74,research
Agriculture and Food Research Initiative (AFRI) ,University of Illinois at Urbana-Champaign,13299400.86,research
AGRICULTURE MARKETING (BASIC),New York University,46002.31,contract
Agriculture on Indian Lands,Oglala Lakota College,35441,grant
AGRICULTURE PRODUCTION (BASIC),University of Colorado Denver/Anschutz Medical Campus,40000,contract
AGRICULTURE PRODUCTION (BASIC),Texas A & M University-College Station,19222.38,contract
AGRICULTURE PRODUCTION (BASIC),University of Illinois at Urbana-Champaign,3150,contract
AGRICULTURE PRODUCTION (BASIC),Cornell University,2700,contract
AIDS RESEARCH (BASIC),Rush University,3203019.02,contract
AIDS RESEARCH (BASIC),Tulane University of Louisiana,2929937.9,contract
AIDS RESEARCH (BASIC),University of Washington,2148975.08,contract
AIDS RESEARCH (BASIC),SUNY Buffalo State,1467067,contract
AIDS RESEARCH (BASIC),Duke University,1457435,contract
Air Force Defense Research Sciences Program,University of Dayton,12438593,research
Air Force Defense Research Sciences Program,Massachusetts Institute of Technology,11726019,research
Air Force Defense Research Sciences Program,SUNY at Albany,11597840,research
Air Force Defense Research Sciences Program,Ohio State University,10533935,research
Air Force Defense Research Sciences Program,University of Illinois at Urbana-Champaign,7750905,research
AIR TRANSPORTATION (ENGINEERING),Johns Hopkins University,2098250,contract
Air Transportation Centers of Excellence,Wichita State University,2093514,research
Air Transportation Centers of Excellence,Ohio State University,1014054,research
Air Transportation Centers of Excellence,Massachusetts Institute of Technology,1000000,research
Air Transportation Centers of Excellence,Mississippi State University,989872,research
Air Transportation Centers of Excellence,University of Alabama in Huntsville,988856,research
AIRFRAME STRUCTURAL COMPONENTS,Wichita State University,69970,contract
Airport Improvement Program,Ohio University,1418342,grant
Airport Improvement Program,Auburn University,832500,grant
Airport Improvement Program,Cincinnati State Technical and Community College,502727,grant
Airport Improvement Program,Kent State University at Kent,324138,grant
Airport Improvement Program,University of Oklahoma-Norman Campus,293431,grant
Alaska Native Educational Programs,Ilisagvik College,679046,grant
Alaska Native Science and Engineering,University of Alaska Anchorage,100000,grant
Alaska Native Serving and Native Hawaiian Serving Institutions Education Grants,University of Hawaii at Manoa,2028671.15,research
