"source","target","value"
"Merrimack College","National Institutes of Health",127062
"Merrimack College","National Science Foundation",54716
"Merrimack College","U.S. Geological Survey",28427
"Mesa Community College","Department of Education",208547.34
"Mesabi Range College","Department of Education",550310
"Messiah College","National Institute of Standards and Technology",17838
"Methodist College","Federal Prison System / Bureau of Prisons",622691.35
"Methodist University","Health Resources and Services Administration",480000
"Metropolitan College of New York","Department of Education",1142883
"Metropolitan Community College Area","Department of Education",1407279
"Metropolitan Community College Area","National Science Foundation",590577
"Metropolitan Community College Area","Economic Development Administration",393812
"Metropolitan Community College Area","National Endowment for the Arts",30000
"Metropolitan Community College-Kansas City","Department of Education",845200.31
"Metropolitan State University","Department of Education",1103984
"Metropolitan State University","National Science Foundation",499287
"Metropolitan State University","Substance Abuse and Mental Health Services Administration",101348
"Metropolitan State University of Denver","Department of Education",2706137
"Metropolitan State University of Denver","Health Resources and Services Administration",1777123
"Metropolitan State University of Denver","National Science Foundation",109995
"Metropolitan State University of Denver","National Endowment for the Arts",25000
"Metropolitan State University of Denver","National Park Service",18231.9
"MGH Institute of Health Professions","National Institutes of Health",3046034
"MGH Institute of Health Professions","Health Resources and Services Administration",857209
"MGH Institute of Health Professions","Substance Abuse and Mental Health Services Administration",131234
"Miami Dade College","Department of Education",9392306.41
"Miami Dade College","National Science Foundation",2682692
"Miami Dade College","Offices, Boards and Divisions",297967
"Miami Dade College","Immediate Office of the Secretary of Transportation",184271.49
"Miami Dade College","Substance Abuse and Mental Health Services Administration",101984
"Miami University-Oxford","National Science Foundation",3788870
"Miami University-Oxford","National Institutes of Health",1984185
"Miami University-Oxford","Department of Education",1555802
"Miami University-Oxford","Department of Energy",1046179
"Miami University-Oxford","Department of the Army",720453
"Michigan State University","Department of Energy",122401867.4
"Michigan State University","National Science Foundation",77094242
"Michigan State University","National Institutes of Health",74467996
"Michigan State University","National Institute of Food and Agriculture",26334451.92
"Michigan State University","Agency for International Development",25012898
"Michigan State University-College of Law","Internal Revenue Service",100000
"Michigan Technological University","Department of the Army",10768309.32
"Michigan Technological University","National Science Foundation",10017314
"Michigan Technological University","National Aeronautics and Space Administration",5457734.29
"Michigan Technological University","National Institutes of Health",1953433
"Michigan Technological University","Forest Service",1399011.63
"Mid Michigan Community College","Department of Education",398396.34
"Mid Michigan Community College","Rural Business Cooperative Service",95000
"Mid-Plains Community College","Rural Utilities Service",101133
"MidAmerica Nazarene University","Department of Education",1388130
"Middle Tennessee School of Anesthesia Inc","Health Resources and Services Administration",274539
"Middle Tennessee State University","National Science Foundation",1945550
"Middle Tennessee State University","Small Business Administration",1094247
"Middle Tennessee State University","National Park Service",496000
"Middle Tennessee State University","National Institutes of Health",371623
"Middle Tennessee State University","Department of Education",310543.16
"Middlebury College","National Science Foundation",518275
"Middlebury College","National Institutes of Health",436832
"Middlebury College","Department of the Navy",393300
"Middlebury College","Department of Energy",275364
"Middlebury College","Department of the Air Force",142360
"Middlesex Community College","Department of Education",2520891.58
"Middlesex County College","Department of Education",317802
"Midland University","Administration for Children and Families",796777
"Midlands Technical College","Department of Education",1802281
"Midwestern State University","Health Resources and Services Administration",843174
"Midwestern State University","National Science Foundation",276794
"Midwestern State University","Rural Business Cooperative Service",65500
"Midwestern State University","Department of Education",9872
"Midwestern University-Glendale","Health Resources and Services Administration",8759064
"Midwestern University-Glendale","Department of the Navy",3562419.2
"Midwestern University-Glendale","National Institutes of Health",252452
"Midwestern University-Glendale","National Science Foundation",237888
"Midwestern University-Glendale","Department of Education",230557
"Miles College","Department of Education",3601066
"Millersville University of Pennsylvania","Department of Education",424727
"Millersville University of Pennsylvania","National Science Foundation",100266
"Millersville University of Pennsylvania","Centers for Disease Control and Prevention",34702
"Millersville University of Pennsylvania","Department of the Army",19858
"Millersville University of Pennsylvania","National Institute of Standards and Technology",16700.98
"Mills College","Department of Education",2550096
"Milwaukee Area Technical College","Department of Education",250631
"Milwaukee School of Engineering","National Institutes of Health",267268
"Milwaukee School of Engineering","U.S. Immigration and Customs Enforcement",7334
"Mineral Area College","Department of Education",1584919.36
"Minnesota State University-Mankato","National Science Foundation",1766971
"Minnesota State University-Mankato","Department of Education",1404320.23
"Minnesota State University-Mankato","Health Resources and Services Administration",97951
"Minot State University","Department of Education",897614
"Minot State University","Administration on Aging",858000
"Minot State University","Health Resources and Services Administration",245165
"Minot State University","Centers for Disease Control and Prevention",149837
"MiraCosta College","Department of Education",1666784
"MiraCosta College","Small Business Administration",235382
"Misericordia University","National Endowment for the Humanities",99985
"Mission College","Department of Education",1690477
"Mississippi Community College Board","Department of Education",6263315
"Mississippi Delta Community College","Department of Education",571635.37
"Mississippi State University","Department of the Army",58154558.6
"Mississippi State University","Agricultural Research Service",30286029
"Mississippi State University","National Oceanic and Atmospheric Administration",21396953.93
"Mississippi State University","National Science Foundation",10467285
"Mississippi State University","National Institute of Food and Agriculture",6984000.11
"Mississippi University for Women","Department of Education",401628
"Mississippi Valley State University","Department of Education",6575197.41
"Mississippi Valley State University","National Science Foundation",312037
"Mississippi Valley State University","Offices, Boards and Divisions",299995
"Missouri Southern State University","Department of Education",870634
"Missouri State University-Springfield","Department of the Army",2327184
"Missouri State University-Springfield","Department of Education",1452141
"Missouri State University-Springfield","Department of Energy",728621
"Missouri State University-Springfield","National Institute of Food and Agriculture",455826
"Missouri State University-Springfield","National Institutes of Health",421500
"Missouri University of Science and Technology","National Science Foundation",7714786
"Missouri University of Science and Technology","Department of Energy",4504515
"Missouri University of Science and Technology","National Aeronautics and Space Administration",912266
"Missouri University of Science and Technology","Nuclear Regulatory Commission",650000
"Missouri University of Science and Technology","Department of the Navy",554513
"Missouri Western State University","Department of the Army",18000
"Mitchell Hamline School of Law","National Science Foundation",499506
"Modesto Junior College","Department of Education",1769619.12
"Mohawk Valley Community College","Department of Education",1104064.22
"Mohawk Valley Community College","National Science Foundation",557487
"Mohawk Valley Community College","Occupational Safety and Health Administration",45876
"Molloy College","National Science Foundation",1506740
"Molloy College","Offices, Boards and Divisions",300000
"Molloy College","Department of Education",258365
"Molloy College","Substance Abuse and Mental Health Services Administration",102000
"Monmouth University","Health Resources and Services Administration",208099
"Monmouth University","Substance Abuse and Mental Health Services Administration",101963
"Monroe Community College","Department of Education",1380625
"Monroe County Community College","Department of Education",817450
"Monroe County Community College","National Science Foundation",224906
"Montana State University","National Institutes of Health",18680149
"Montana State University","National Institute of Food and Agriculture",15110651
"Montana State University","National Science Foundation",11112368
"Montana State University","Department of the Army",4860460
"Montana State University","National Aeronautics and Space Administration",4131738
"Montana State University-Billings","Department of Education",1466922.23
"Montana State University-Billings","National Institutes of Health",395533
"Montana State University-Billings","National Endowment for the Humanities",170000
"Montana State University-Billings","U.S. Army Corps of Engineers - Civil Program Financing Only",41526
"Montana State University-Northern","Department of Education",1212767
"Montana Tech of the University of Montana","Department of Education",1172131
"Montana Tech of the University of Montana","National Science Foundation",380383
"Montana Tech of the University of Montana","National Institutes of Health",249307
"Montana Tech of the University of Montana","U.S. Geological Survey",205684.1
"Montana Tech of the University of Montana","National Park Service",174068.93
"Montclair State University","National Science Foundation",2114940
"Montclair State University","Department of Education",772754
"Montclair State University","National Institutes of Health",595954
"Montclair State University","Substance Abuse and Mental Health Services Administration",535875
"Montclair State University","Environmental Protection Agency",75000
"Monterey Peninsula College","Department of Education",1991150
"Monterey Peninsula College","National Science Foundation",120402
"Montgomery College","Department of Education",504001.87
"Montgomery College","National Institute of Standards and Technology",311250
"Montgomery College","National Science Foundation",250000
"Montgomery College","National Institutes of Health",7920
"Montgomery County Community College","Department of Education",410254
"Montgomery County Community College","National Endowment for the Arts",10000
"Moraine Park Technical College","Department of Education",242136
"Moraine Valley Community College","National Science Foundation",1305497
"Moraine Valley Community College","Department of Education",1276883.42
"Moraine Valley Community College","National Endowment for the Arts",10000
"Morehead State University","Department of Education",3891034.1
"Morehead State University","Corporation for National and Community Service",206924
"Morehead State University","National Aeronautics and Space Administration",21444.26
"Morehouse College","Department of Education",5800063
"Morehouse College","National Science Foundation",3600201
"Morehouse College","Centers for Disease Control and Prevention",1047674
"Morehouse College","National Institutes of Health",472932
"Morehouse College","Department of State",67350
"Morehouse School of Medicine","National Institutes of Health",14924637
"Morehouse School of Medicine","Department of Education",12901666.96
"Morehouse School of Medicine","Office of Assistant Secretary for Health",1715872
"Morehouse School of Medicine","Health Resources and Services Administration",1436567
"Morehouse School of Medicine","Substance Abuse and Mental Health Services Administration",1194169
"Moreno Valley College","Department of Education",2945256.01
"Morgan State University","Department of Education",10036728.09
"Morgan State University","National Institutes of Health",5206632
"Morgan State University","National Science Foundation",2982488
"Morgan State University","National Aeronautics and Space Administration",665824.49
"Morgan State University","Department of the Navy",150000
"Morris College","Department of Education",2942123
"Morris College","National Science Foundation",198804
"Motlow State Community College","National Science Foundation",545000
"Mott Community College","Department of Education",1328545
"Mount Aloysius College","Health Resources and Services Administration",645000
"Mount Holyoke College","National Science Foundation",1554957
"Mount Holyoke College","National Institutes of Health",384439
"Mount Mary University","Department of Education",839136
"Mount Mary University","Health Resources and Services Administration",650000
"Mount Saint Joseph University","Health Resources and Services Administration",582764
"Mount Saint Mary's University","National Science Foundation",1349872
"Mount Saint Mary's University","Department of Education",898203.69
"Mount Saint Mary's University","Health Resources and Services Administration",649828
"Mount Saint Mary's University","National Endowment for the Arts",15000
"Mount St Mary's University","Department of the Army",11030
"Mount St Mary's University","National Endowment for the Humanities",5749
"Mount Vernon Nazarene University","Department of Education",449561
"Mount Wachusett Community College","Department of Education",2971831.15
"Mount Wachusett Community College","Health Resources and Services Administration",640000
"Mount Wachusett Community College","Office of Assistant Secretary for Health",450000
"Mount Wachusett Community College","National Endowment for the Humanities",873
"Mountain Empire Community College","Department of Education",654591
"Mountain View College","Department of Education",447392.17
"Mountwest Community and Technical College","Department of Education",291268
"Mountwest Community and Technical College","Mine Safety and Health Administration",40000
"Mt Hood Community College","Administration for Children and Families",9047587
"Mt Hood Community College","Department of Education",946194.99
"Mt Hood Community College","National Science Foundation",224983
"Mt San Antonio College","Department of Education",1619532
"Muhlenberg College","National Science Foundation",107972
"Murray State College","Department of Education",639068.53
"Murray State University","Department of Education",4347323
"Murray State University","National Science Foundation",478005
"Murray State University","National Institute of Food and Agriculture",286718
"Murray State University","Centers for Disease Control and Prevention",92358
"Murray State University","Health Resources and Services Administration",58584
"Muskegon Community College","Department of Education",287045
"Napa Valley College","Department of Education",1177457
"Napa Valley College","Federal Highway Administration",38500
"Napa Valley College","Department of the Army",7933.33
"Nassau Community College","Department of Education",1318781
"National Louis University","Department of Education",704589.12
"National Louis University","Substance Abuse and Mental Health Services Administration",102000
"National Park College","Department of Education",998015.29
"National University","Department of Education",349287
"National University","National Science Foundation",249978
"National University","Substance Abuse and Mental Health Services Administration",101918
"National University","Department of the Navy",18000
"National University of Natural Medicine","National Institutes of Health",628518
"Naugatuck Valley Community College","Department of Education",1136833
"Navajo Technical University","Department of Education",11490778
"Navajo Technical University","National Science Foundation",3925973
"Navajo Technical University","Bureau of Indian Affairs and Bureau of Indian Education",3750865
"Navajo Technical University","Economic Development Administration",1000300
"Navajo Technical University","National Institute of Food and Agriculture",383611.26
"Navarro College","Department of Education",16797
"Nazareth College","Department of Education",234365
"Nazareth College","National Institutes of Health",85308
"Nebraska Indian Community College","Department of Education",1000000
"Nebraska Indian Community College","Bureau of Indian Affairs and Bureau of Indian Education",750400
"Nebraska Indian Community College","Administration for Children and Families",400000
"Nebraska Indian Community College","Rural Business Cooperative Service",300680
"Nebraska Indian Community College","National Institute of Food and Agriculture",226147
"Nebraska Methodist College of Nursing & Allied Health","Department of Education",711705
"Neosho County Community College","Department of Education",918142
"Neosho County Community College","Corporation for National and Community Service",51488
"Neumann University","Department of Education",622341
"Neumann University","Health Resources and Services Administration",15976
"Nevada State College","Department of Education",1553466
"Nevada State College","National Science Foundation",351431
"New College of Florida","Environmental Protection Agency",294198
"New College of Florida","National Science Foundation",125449
"New College of Florida","National Institute of Standards and Technology",8930
"New England College","Department of Education",446983
"New England College of Optometry","National Institutes of Health",961953
"New England College of Optometry","Health Resources and Services Administration",26807
"New Jersey City University","Department of Education",1654960.78
"New Jersey City University","Health Resources and Services Administration",463255
"New Jersey City University","National Institutes of Health",134790
"New Jersey Institute of Technology","National Science Foundation",14857631
"New Jersey Institute of Technology","Department of Defense",8294442
"New Jersey Institute of Technology","Department of the Army",5450511.06
"New Jersey Institute of Technology","National Institutes of Health",2096289
"New Jersey Institute of Technology","National Aeronautics and Space Administration",1701833.25
"New Mexico Highlands University","Department of Education",1509812.75
"New Mexico Highlands University","National Science Foundation",661868
"New Mexico Highlands University","Forest Service",487235.11
"New Mexico Highlands University","Department of the Army",24107
"New Mexico Institute of Mining and Technology","Federal Emergency Management Agency",22000000
"New Mexico Institute of Mining and Technology","Department of the Air Force",10360124
"New Mexico Institute of Mining and Technology","National Science Foundation",1620693
"New Mexico Institute of Mining and Technology","Department of Education",1172421.37
"New Mexico Institute of Mining and Technology","Department of Energy",952264
"New Mexico Junior College","Department of Education",295501
"New Mexico Military Institute","Department of the Army",30388
"New Mexico State University-Alamogordo","Forest Service",25536.51
"New Mexico State University-Carlsbad","Department of Education",1397958
"New Mexico State University-Carlsbad","Forest Service",42999.95
"New Mexico State University-Grants","Department of Education",524845
"New Mexico State University-Main Campus","Department of the Army",43920995.66
"New Mexico State University-Main Campus","National Science Foundation",9948649
"New Mexico State University-Main Campus","National Institutes of Health",8258486
"New Mexico State University-Main Campus","Department of Education",3096442.02
"New Mexico State University-Main Campus","Department of the Navy",3061716.46
"New York Institute of Technology","National Institutes of Health",1782807
"New York Institute of Technology","National Science Foundation",1396291
"New York Institute of Technology","Department of the Navy",849613.74
"New York Institute of Technology","Rural Business Cooperative Service",828748
"New York Law School","Equal Employment Opportunity Commission",14680
"New York Medical College","National Institutes of Health",9172543
"New York Medical College","Health Resources and Services Administration",524427
"New York Medical College","Food and Drug Administration",499998
"New York Medical College","Department of the Navy",235638.98
"New York Medical College","National Science Foundation",167808
"New York University","National Institutes of Health",755472366.67
"New York University","National Science Foundation",37599879
"New York University","Centers for Disease Control and Prevention",34579091.55
"New York University","Department of the Army",11494954
"New York University","Department of Education",5710686.55
"Niagara County Community College","Department of Education",201633
"Nicholls State University","Department of Education",252181
"Nicolet Area Technical College","Forest Service",22340.4
"Norco College","Department of Education",3178851.37
"Norco College","National Science Foundation",595695
"Norfolk State University","Department of Education",8898990
"Norfolk State University","Department of Energy",4345440.85
"Norfolk State University","National Science Foundation",3518274
"Norfolk State University","Department of the Army",720604
"Normandale Community College","Department of Education",499970.27
"Normandale Community College","Health Resources and Services Administration",336568
"North Arkansas College","Department of Education",1869529.18
"North Carolina A & T State University","Department of Education",15791543
"North Carolina A & T State University","National Science Foundation",10071485
"North Carolina A & T State University","National Institute of Food and Agriculture",4040247.81
"North Carolina A & T State University","Department of Energy",2427603.44
"North Carolina A & T State University","National Institutes of Health",1786096
"North Carolina Central University","Department of Education",10876690
"North Carolina Central University","National Institutes of Health",8166320
"North Carolina Central University","National Science Foundation",6471736
"North Carolina Central University","Rural Utilities Service",788521
"North Carolina Central University","Health Resources and Services Administration",302463
"North Carolina State University at Raleigh","Department of the Army",61741944.6
"North Carolina State University at Raleigh","National Science Foundation",58689023
"North Carolina State University at Raleigh","Department of Energy",28906585.14
"North Carolina State University at Raleigh","National Institutes of Health",27583043
"North Carolina State University at Raleigh","National Institute of Food and Agriculture",26048783.45
"North Carolina Wesleyan College","Department of Education",424197
"North Central Missouri College","Administration for Children and Families",2166503
"North Central Missouri College","Department of Education",587328
"North Central State College","Department of Education",542113
"North Central State College","Administration for Children and Families",500285
"North Central State College","National Science Foundation",222833
"North Dakota State University-Main Campus","National Science Foundation",10464814
"North Dakota State University-Main Campus","National Institutes of Health",6461135
"North Dakota State University-Main Campus","Agricultural Research Service",3208648.3
"North Dakota State University-Main Campus","National Institute of Food and Agriculture",2643132.03
"North Dakota State University-Main Campus","Immediate Office of the Secretary of Transportation",2605200
"North Florida Community College","Department of Education",295820
"North Hennepin Community College","Department of Education",950612
"North Idaho College","Administration for Children and Families",2795165
"North Idaho College","Department of Education",544991
"North Idaho College","Mine Safety and Health Administration",138966.4
"North Iowa Area Community College","Department of Education",771520
"North Iowa Area Community College","Corporation for National and Community Service",129147
"North Lake College","Department of Education",342472
"North Orange County Community College District","Department of Education",545833
"North Seattle College","Department of Education",437161
"North Shore Community College","Department of Education",1222211.31
"Northampton County Area Community College","Department of Education",325385
"Northampton County Area Community College","Federal Motor Carrier Safety Administration",138397
"Northeast Iowa Community College","Department of Education",254356
"Northeast Ohio Medical University","National Institutes of Health",10416419
"Northeast Ohio Medical University","Health Resources and Services Administration",1421145
"Northeast Ohio Medical University","National Science Foundation",211202
"Northeast Ohio Medical University","Department of the Navy",171213.5
"Northeast Ohio Medical University","Substance Abuse and Mental Health Services Administration",135704
"Northeast State Community College","Department of Education",579852
"Northeast Texas Community College","Department of Education",1821511
"Northeast Wisconsin Technical College","National Science Foundation",311689
"Northeast Wisconsin Technical College","Department of Education",73342
"Northeastern Illinois University","Department of Education",10544829
"Northeastern Illinois University","National Science Foundation",1899934
"Northeastern Illinois University","National Institutes of Health",1147991
"Northeastern Illinois University","Offices, Boards and Divisions",299995
"Northeastern Junior College","Department of Education",714085
"Northeastern Oklahoma A&M College","Department of Education",1202815
"Northeastern State University","Department of Education",934034.07
"Northeastern Technical College","Rural Utilities Service",999866
"Northeastern Technical College","Department of Education",878452
"Northeastern Technical College","Federal Prison System / Bureau of Prisons",136144.32
"Northeastern University","National Science Foundation",44519856
"Northeastern University","National Institutes of Health",37774848
"Northeastern University","Department of the Army",9185678
"Northeastern University","Department of Energy",3203203.19
"Northeastern University","Department of the Navy",2305668
"Northern Arizona University","National Science Foundation",10510383
"Northern Arizona University","National Institutes of Health",7814604
"Northern Arizona University","Department of Education",7131649.8
"Northern Arizona University","Environmental Protection Agency",3537604
"Northern Arizona University","Defense Threat Reduction Agency",3449601
"Northern Essex Community College","Department of Education",402782
"Northern Illinois University","National Science Foundation",3281001
"Northern Illinois University","Department of Education",2593557.08
"Northern Illinois University","National Institutes of Health",1063882
"Northern Illinois University","Department of State",702602
"Northern Illinois University","Department of Energy",450000
"Northern Kentucky University","National Science Foundation",1111114
"Northern Kentucky University","Department of Education",1076014
"Northern Kentucky University","National Institutes of Health",397499
"Northern Kentucky University","Offices, Boards and Divisions",299432
"Northern Kentucky University","Health Resources and Services Administration",178433
"Northern Maine Community College","Department of Education",272494
"Northern Marianas College","Department of Education",652863
"Northern Michigan University","Department of Education",922066
"Northern Michigan University","National Science Foundation",515001
"Northern Michigan University","National Park Service",12000
"Northern New Mexico College","Department of Education",1670622.01
"Northern Oklahoma College","Department of Education",661940
"Northern State University","Department of Education",627965
"Northern Virginia Community College","Department of State",5375000
"Northern Virginia Community College","Department of the Navy",78092.79
"Northern Virginia Community College","Department of the Air Force",37764.2
"Northern Virginia Community College","Food and Nutrition Service",33585
"Northern Virginia Community College","National Park Service",7266.37
"Northland College","National Park Service",144737.62
"Northland College","U.S. Fish and Wildlife Service",90740.43
"Northland Pioneer College","Department of Education",518015
"Northshore Technical Community College","Mine Safety and Health Administration",111267.56
"NorthShore University HealthSystem School of Nurse Anesthesia","National Institutes of Health",7447800
"NorthShore University HealthSystem School of Nurse Anesthesia","Agency for Healthcare Research and Quality",241232
"NorthShore University HealthSystem School of Nurse Anesthesia","Health Resources and Services Administration",71219
"NorthWest Arkansas Community College","Department of Education",533008
"Northwest College","Department of Education",271782
"Northwest Florida State College","U.S. Fish and Wildlife Service",24000
"Northwest Indian College","Bureau of Indian Affairs and Bureau of Indian Education",5572714
"Northwest Indian College","Department of Education",3598555
"Northwest Indian College","National Science Foundation",3321789
"Northwest Indian College","National Institutes of Health",783066
"Northwest Indian College","National Institute of Food and Agriculture",706147
"Northwest Iowa Community College","Department of Education",740895
"Northwest Mississippi Community College","Department of Education",309337
"Northwest Missouri State University","Department of Education",1145855
"Northwest Missouri State University","National Science Foundation",300000
"Northwest Missouri State University","Substance Abuse and Mental Health Services Administration",102000
"Northwest Missouri State University","Rural Business Cooperative Service",34296
"Northwest Missouri State University","Department of the Army",20000
"Northwest Nazarene University","Forest Service",40040.02
"Northwest Nazarene University","Department of State",9700
"Northwest State Community College","Department of Education",449986
"Northwest Vista College","Department of Education",1232169
"Northwest Vista College","National Endowment for the Arts",10000
"Northwest-Shoals Community College","Department of Education",3374194.18
"Northwestern Connecticut Community College","National Science Foundation",599877
"Northwestern Connecticut Community College","Health Resources and Services Administration",179270
"Northwestern Michigan College","Maritime Administration",172000
"Northwestern Michigan College","National Park Service",62000
"Northwestern Oklahoma State University","Department of Education",840947.88
"Northwestern State University of Louisiana","Department of Education",444846
"Northwestern State University of Louisiana","National Park Service",442445.88
"Northwestern State University of Louisiana","National Endowment for the Arts",10000
"Northwestern University","National Institutes of Health",1987718822.68
"Northwestern University","National Science Foundation",54235943
"Northwestern University","Department of Energy",19096588.93
"Northwestern University","Department of the Army",13601682
"Northwestern University","Department of the Navy",11102282
"Norwalk Community College","Department of Education",942503
"Norwalk Community College","National Science Foundation",224999
"Norwich University","Department of the Navy",1446279
"Norwich University","National Science Foundation",1401817
"Norwich University","National Endowment for the Humanities",35000
"Notre Dame de Namur University","Department of Education",269262.29
"Nova Southeastern University","Department of the Army",6602190
"Nova Southeastern University","Department of the Navy",3116129.77
"Nova Southeastern University","Department of Education",2092617.38
"Nova Southeastern University","National Institutes of Health",2041263
"Nova Southeastern University","Health Resources and Services Administration",1666870
"Nueta Hidatsa Sahnish College","Bureau of Indian Affairs and Bureau of Indian Education",1779433
"Nueta Hidatsa Sahnish College","Department of Education",1595762
"Nueta Hidatsa Sahnish College","National Institute of Food and Agriculture",721147
"Nueta Hidatsa Sahnish College","Rural Housing Service",129000
"O C Collins Career Center","Department of Education",49641
"Oakland City University","Department of Education",949325
"Oakland University","National Institutes of Health",2286936
"Oakland University","National Science Foundation",1943681
"Oakland University","Department of Education",657347
"Oakland University","Department of the Navy",209268.44
"Oakland University","National Aeronautics and Space Administration",195531
"Oakton Community College","Department of Education",322272
"Oakton Community College","National Science Foundation",149998
"Oakwood University","Department of Education",2991847
"Oakwood University","Department of the Army",522368
"Oakwood University","National Science Foundation",199660
"Oberlin College","National Science Foundation",1257427
"Oberlin College","Department of State",10000
"Oberlin College","National Institute of Standards and Technology",5500
"Occidental College","National Science Foundation",1221486
"Occidental College","Department of Education",642597
"Occidental College","Department of the Navy",71215
"Occidental College","National Oceanic and Atmospheric Administration",15.18
"Ocean County College","Environmental Protection Agency",825237
"Ocean County College","Department of Education",686225
"Oconee Fall Line Technical College","Department of Education",941664
"Oconee Fall Line Technical College","Rural Utilities Service",432521
"Ogeechee Technical College","Rural Business Cooperative Service",99999
"Oglala Lakota College","Bureau of Indian Affairs and Bureau of Indian Education",8419634
"Oglala Lakota College","Administration for Children and Families",6107027
"Oglala Lakota College","Department of Education",5439421.98
"Oglala Lakota College","Rural Utilities Service",491493
"Oglala Lakota College","Health Resources and Services Administration",486000
"Ohio College of Massotherapy Inc","Department of State",3442820
"Ohio College of Massotherapy Inc","Rural Housing Service",606325
"Ohio Northern University","National Science Foundation",1227032
"Ohio Northern University","Department of State",1067275
"Ohio Northern University","Substance Abuse and Mental Health Services Administration",88094
"Ohio State University","National Institutes of Health",417140768
"Ohio State University","National Science Foundation",48256825
"Ohio State University","Department of the Army",43667980
"Ohio State University","National Aeronautics and Space Administration",39648467.8
"Ohio State University","Department of the Air Force",21451389.7
"Ohio State University Agricultural Technical Institute","Agricultural Research Service",26338.79
"Ohio University","National Science Foundation",4723619
"Ohio University","National Institutes of Health",4681022
"Ohio University","Department of Energy",3205000
"Ohio University","Economic Development Administration",1603204
"Ohio University","Federal Aviation Administration",1541371.61
"Ohio Valley University","Assistant Secretary for Housing--Federal Housing Commissioner",495534
"Ohio Wesleyan University","National Aeronautics and Space Administration",386952
"Ohio Wesleyan University","National Science Foundation",83396
"Okaloosa Technical College","Department of Education",3639335.43
"Oklahoma City Community College","Department of Education",1044539
"Oklahoma City University","Department of Homeland Security",225000
"Oklahoma Panhandle State University","Department of Education",328125
"Oklahoma State University","Employment and Training Administration",24208685.56
"Oklahoma State University","National Aeronautics and Space Administration",8895199.11
"Oklahoma State University","National Institutes of Health",8339020
"Oklahoma State University","National Science Foundation",6220388
"Oklahoma State University","Indian Health Service",3580754.73
"Old Dominion University","National Science Foundation",8493475
"Old Dominion University","Department of the Navy",7109918.2
"Old Dominion University","National Institutes of Health",5266233
"Old Dominion University","Department of Education",2479612.15
"Old Dominion University","Department of Energy",2333000
"Olivet Nazarene University","Forest Service",5000
"Olney Central College","Department of Education",1747165.88
"Olney Central College","Economic Development Administration",300000
"Olympic College","Department of the Navy",2140851.89
"Olympic College","Department of Education",334468.29
"Onondaga Community College","President's Committee on Employment of the Handicapped",978453
"Onondaga Community College","Department of Education",725874
"Orange County Community College","Department of Education",242136
"Orange Ulster BOCES-Practical Nursing Program","Department of Defense Education Activity",32997
"Orangeburg Calhoun Technical College","National Science Foundation",588711
"Orangeburg Calhoun Technical College","Department of Education",312379
"Orangeburg Calhoun Technical College","Federal Motor Carrier Safety Administration",95726
"Oregon Health & Science University","National Institutes of Health",874012248.11
"Oregon Health & Science University","Department of the Army",13255092.2
"Oregon Health & Science University","Agency for Healthcare Research and Quality",13023259
"Oregon Health & Science University","Department of Veterans Affairs",9036410.08
"Oregon Health & Science University","Health Resources and Services Administration",8989740
"Oregon Institute of Technology","Economic Development Administration",2984514
"Oregon Institute of Technology","Department of Education",272177
"Oregon Institute of Technology","Bureau of Land Management",15000
"Oregon State University","National Science Foundation",121563707
"Oregon State University","National Institutes of Health",33119979.04
"Oregon State University","National Oceanic and Atmospheric Administration",31277789.85
"Oregon State University","Department of the Navy",30413122.03
"Oregon State University","Bureau of Land Management",18380977.05
"Orleans Technical College","Corporation for National and Community Service",539984
"Orleans Technical College","Veterans Employment and Training Services",70299
"Otero Junior College","Administration for Children and Families",6749496
"Otero Junior College","Department of Education",242136
"Otsego Area BOCES-Practical Nursing Program","Rural Utilities Service",499926
"Otterbein University","National Endowment for the Arts",15000
"Ouachita Baptist University","Department of Education",915094.3
"Ouachita Baptist University","National Science Foundation",500000
"Ouachita Baptist University","Corporation for National and Community Service",266094.54
"Our Lady of the Lake College","Health Resources and Services Administration",93896
"Our Lady of the Lake University","Department of Education",893938
"Our Lady of the Lake University","Substance Abuse and Mental Health Services Administration",125000
"Owens Community College","Department of Education",235084
"Owensboro Community and Technical College","National Science Foundation",523171
"Owensboro Community and Technical College","Department of Education",242136
"Oxnard College","Department of Education",2284603
"Ozarka College","Department of Education",306436
"Ozarks Technical Community College","Department of Education",275129
"Pace University-New York","National Science Foundation",4757383
"Pace University-New York","Department of Energy",1180730
"Pace University-New York","Department of Education",634302
"Pace University-New York","National Institutes of Health",399081
"Pace University-New York","Health Resources and Services Administration",144968
"Pacific Lutheran University","Health Resources and Services Administration",857500
"Pacific Lutheran University","National Science Foundation",72858
"Pacific Northwest College of Art","National Oceanic and Atmospheric Administration",9000
"Pacific Northwest University of Health Sciences","Health Resources and Services Administration",740688
"Pacific Northwest University of Health Sciences","Department of the Navy",272680.92
"Pacific Union College","National Science Foundation",20390
"Pacific University","National Institutes of Health",695512
"Pacific University","Department of the Navy",101133.23
"Pacific University","National Science Foundation",69175
"Paine College","Department of Education",2716218
"Palm Beach State College","Department of Education",1969768.4
"Palmer College of Chiropractic","National Institutes of Health",965520
"Palo Alto College","Department of Education",2632543.38
"Palo Alto College","National Science Foundation",224997
"Palomar College","Department of Education",4906178.35
"Pardee RAND Graduate School","Department of Defense",61795381.29
