"source","target","value"
"Augsburg College","National Science Foundation",749078
"Augsburg College","Department of Education",514627
"Augusta Technical College","Department of Education",591493
"Augusta University","National Institutes of Health",42260345
"Augusta University","Department of the Army",6009846
"Augusta University","Health Resources and Services Administration",4586332
"Augusta University","Department of Veterans Affairs",4318763.41
"Augusta University","Substance Abuse and Mental Health Services Administration",3544151
"Augustana College","National Science Foundation",241819
"Augustana University","Offices, Boards and Divisions",296065
"Augustana University","National Science Foundation",110948
"Austin College","Department of Education",1252048
"Austin College","Federal Prison System / Bureau of Prisons",60246
"Austin College","National Endowment for the Arts",50000
"Austin College","National Science Foundation",6900
"Austin Peay State University","Department of Education",1257736.11
"Austin Peay State University","National Park Service",62642
"Austin Peay State University","U.S. Fish and Wildlife Service",3000
"Avila University","Department of Education",849894
"Avila University","Health Resources and Services Administration",444375
"Avila University","Offices, Boards and Divisions",272925
"Azusa Pacific University","Health Resources and Services Administration",2118611
"Azusa Pacific University","Department of Education",537916
"Azusa Pacific University","Substance Abuse and Mental Health Services Administration",101814
"Azusa Pacific University","National Science Foundation",46000
"Bacone College","Department of Education",309836
"Bakersfield College","Department of Education",1035301.15
"Bakersfield College","Rural Utilities Service",162748
"Bakersfield College","Federal Highway Administration",20000
"Baldwin Wallace University","Department of Education",515103
"Ball State University","Economic Development Administration",884393
"Ball State University","National Science Foundation",653489
"Ball State University","Department of State",640000
"Ball State University","National Institutes of Health",503519
"Ball State University","National Park Service",196213.35
"Baltimore City Community College","Department of Education",833457.5
"Bank Street College of Education","Administration for Children and Families",950194
"Bard College","Department of State",520000
"Bard College","National Endowment for the Humanities",423075
"Bard College","National Science Foundation",155610
"Bard College","National Endowment for the Arts",80000
"Bard College","U.S. Geological Survey",59604
"Bard College at Simon's Rock","National Science Foundation",24000
"Barnard College","National Science Foundation",5296152
"Barnard College","National Institutes of Health",1553568
"Barnard College","National Endowment for the Arts",15000
"Barry University","Health Resources and Services Administration",2544760
"Barton County Community College","Department of Education",1219635
"Barton County Community College","Corporation for National and Community Service",48722
"Bates College","National Science Foundation",1517275
"Bates College","National Endowment for the Arts",40000
"Bates College","National Institute of Standards and Technology",8919
"Baton Rouge Community College","Department of Education",34427861.88
"Baton Rouge Community College","National Institute of Standards and Technology",1113000
"Bay de Noc Community College","Department of Education",321779
"Bay Mills Community College","Bureau of Indian Affairs and Bureau of Indian Education",1698494
"Bay Mills Community College","Department of Education",1567012
"Bay Mills Community College","National Institute of Food and Agriculture",426031
"Bay Mills Community College","Rural Housing Service",129000
"Bay Mills Community College","Administration for Children and Families",104762
"Baylor College of Medicine","National Institutes of Health",1566329401.8
"Baylor College of Medicine","Department of the Army",16581637
"Baylor College of Medicine","Agricultural Research Service",12960500
"Baylor College of Medicine","National Aeronautics and Space Administration",6172181.74
"Baylor College of Medicine","Health Resources and Services Administration",3777931
"Baylor University","National Institutes of Health",6137108
"Baylor University","National Science Foundation",2723939
"Baylor University","Department of the Army",1535970.2
"Baylor University","Administration on Aging",1057136
"Baylor University","Department of the Navy",1025810
"Beaufort County Community College","Department of Education",373140
"Becker College","Economic Development Administration",116667
"Bellevue College","Offices, Boards and Divisions",300000
"Bellevue College","Department of Education",272496
"Bellevue College","National Science Foundation",49509
"Bellingham Technical College","Department of Education",892136
"Bellingham Technical College","National Science Foundation",649482
"Beloit College","Department of Education",924201
"Bemidji State University","Department of Education",1251641
"Bemidji State University","Health Resources and Services Administration",498176
"Bemidji State University","National Science Foundation",59373
"Benedict College","Department of Education",4832772
"Benedict College","Department of the Army",549738
"Benedict College","National Park Service",500000
"Benedict College","National Science Foundation",100000
"Benedict College","Federal Highway Administration",30500
"Benjamin Franklin Institute of Technology","Department of Education",449595
"Bennett College","Department of Education",4059326
"Bennington College","National Science Foundation",339374
"Bennington College","Department of State",10000
"Bentley University","Offices, Boards and Divisions",300000
