report_date,today
2013-08-08,90
2013-08-09,168
2013-08-13,60
2013-08-14,59
2013-08-16,114
2013-08-20,256
2013-08-21,283
2013-08-22,131
2013-08-23,565
2013-08-30,104
2013-09-03,52
2013-09-05,51
2013-09-06,133
2013-09-09,78
2013-09-11,80
2013-09-16,76
2013-09-17,58
2013-09-18,63
2013-09-20,333
2013-09-23,625
2013-09-24,151
2013-09-25,131
2013-10-01,179
2013-10-09,62
2013-10-10,56
2013-10-11,150
2013-10-16,94
2013-10-18,70
2013-10-21,554
2013-10-22,282
2013-10-23,124
2013-10-24,161
2013-10-25,110
2013-10-30,57
2013-10-31,94
2013-11-01,188
2013-11-07,108
2013-11-08,207
2013-11-13,75
2013-11-15,78
2013-11-18,53
2013-11-19,163
2013-11-20,214
2013-11-21,519
2013-11-22,210
2013-11-25,125
2013-11-27,177
2013-12-02,81
2013-12-05,50
2013-12-06,178
2013-12-11,73
2013-12-12,54
2013-12-16,127
2013-12-17,56
2013-12-18,125
2013-12-19,499
2013-12-20,303
2013-12-23,211
2013-12-24,96
2013-12-31,187
2014-01-02,93
2014-01-10,210
2014-01-15,106
2014-01-17,67
2014-01-21,682
2014-01-22,53
2014-01-23,196
2014-01-24,282
2014-01-29,50
2014-01-31,154
2014-02-03,53
2014-02-07,185
2014-02-11,99
2014-02-14,57
2014-02-18,106
2014-02-19,172
2014-02-20,328
2014-02-21,491
2014-02-24,166
2014-02-25,107
2014-02-26,55
2014-02-28,147
2014-03-04,60
2014-03-07,205
2014-03-10,80
2014-03-11,166
2014-03-13,97
2014-03-18,70
2014-03-19,51
2014-03-20,581
2014-03-21,156
2014-03-24,149
2014-03-25,101
2014-03-26,135
2014-03-27,141
2014-04-01,184
2014-04-04,115
2014-04-08,74
2014-04-09,78
2014-04-11,98
2014-04-14,62
2014-04-17,61
2014-04-18,102
2014-04-21,517
2014-04-22,139
2014-04-24,116
2014-04-25,108
2014-04-30,117
2014-05-01,179
2014-05-08,65
2014-05-09,141
2014-05-13,101
2014-05-14,95
2014-05-16,73
2014-05-19,466
2014-05-20,252
2014-05-21,139
2014-05-22,50
2014-05-23,323
2014-05-27,50
2014-05-28,54
2014-05-30,204
2014-05-30,204
2014-06-02,60
2014-06-11,184
2014-06-12,54
2014-06-16,97
2014-06-20,424
2014-06-23,491
2014-06-24,118
2014-06-25,79
2014-06-26,80
2014-06-27,94
2014-07-01,90
2014-07-11,175
2014-07-14,56
2014-07-16,72
2014-07-17,68
2014-07-18,150
2014-07-21,339
2014-07-22,386
2014-07-24,148
2014-07-25,139
2014-07-31,129
2014-08-01,171
2014-08-06,52
2014-08-08,91
2014-08-12,177
2014-08-18,114
2014-08-19,54
2014-08-20,280
2014-08-21,545
2014-08-22,131
2014-08-25,109
2014-08-26,104
2014-08-27,53
2014-08-29,293
2014-09-02,51
2014-09-08,64
2014-09-09,65
2014-09-10,100
2014-09-15,57
2014-09-16,74
2014-09-19,130
2014-09-22,684
2014-09-23,193
2014-09-24,116
2014-09-25,100
2014-09-26,52
2014-09-29,58
2014-09-30,73
2014-10-01,171
2014-10-08,53
2014-10-09,78
2014-10-10,80
2014-10-14,70
2014-10-15,106
2014-10-17,189
2014-10-20,224
2014-10-21,307
2014-10-22,90
2014-10-23,363
2014-10-24,217
2014-10-31,204
